Nr,exercise,question,answer,german,english,french,case_english,case_french,combination,explanation_verb_english,explanation_verb_french,explanation_preposition_english,explanation_preposition_french,explanation_english,explanation_french
55,2,Ihre Bitte _____ Hilfe wurde sofort erhört.,um,Ihre Bitte um Hilfe wurde sofort erhört.,Her request for help was immediately granted.,Sa demande d’aide a été immédiatement acceptée.,,,die Bitte um,the request for something = die Bitte um + Accusative,la demande de = die Bitte um + Accusatif,to introduce a central object of concern or covetousness → um,pour introduire un objet central d'intérêt ou de convoitise → um,the request for something = die Bitte um + Accusative<br><br>to introduce a central object of concern or covetousness → um,la demande de = die Bitte um + Accusatif<br><br>pour introduire un objet central d'intérêt ou de convoitise → um
56,2,Er richtete eine Bitte _____ Geduld ans Publikum.,um,Er richtete eine Bitte um Geduld ans Publikum.,He addressed a request for patience to the audience.,Il a adressé une demande de patience au public.,,,die Bitte um,the request for something = die Bitte um + Accusative,la demande de = die Bitte um + Accusatif,to introduce a central object of concern or covetousness → um,pour introduire un objet central d'intérêt ou de convoitise → um,the request for something = die Bitte um + Accusative<br><br>to introduce a central object of concern or covetousness → um,la demande de = die Bitte um + Accusatif<br><br>pour introduire un objet central d'intérêt ou de convoitise → um
57,2,Meine Bitte _____ Verständnis wurde freundlich angenommen.,um,Meine Bitte um Verständnis wurde freundlich angenommen.,My request for understanding was kindly accepted.,Ma demande de compréhension a été acceptée avec bienveillance.,,,die Bitte um,the request for something = die Bitte um + Accusative,la demande de = die Bitte um + Accusatif,to introduce a central object of concern or covetousness → um,pour introduire un objet central d'intérêt ou de convoitise → um,the request for something = die Bitte um + Accusative<br><br>to introduce a central object of concern or covetousness → um,la demande de = die Bitte um + Accusatif<br><br>pour introduire un objet central d'intérêt ou de convoitise → um
58,2,Der Traum _____ einer besseren Welt verbindet uns alle.,von,Der Traum von einer besseren Welt verbindet uns alle.,The dream of a better world connects us all.,Le rêve d’un monde meilleur nous relie tous.,,,der Traum von,the dream of = der Traum von + Dative,le rêve de = der Traum von + Datif,to introduce an expectation or a demand → von,pour introduire une attente ou une demande → von,the dream of = der Traum von + Dative<br><br>to introduce an expectation or a demand → von,le rêve de = der Traum von + Datif<br><br>pour introduire une attente ou une demande → von
59,2,Ihr Traum _____ einem eigenen Haus wurde wahr.,von,Ihr Traum von einem eigenen Haus wurde wahr.,Her dream of owning a house came true.,Son rêve de posséder une maison est devenu réalité.,,,der Traum von,the dream of = der Traum von + Dative,le rêve de = der Traum von + Datif,to introduce an expectation or a demand → von,pour introduire une attente ou une demande → von,the dream of = der Traum von + Dative<br><br>to introduce an expectation or a demand → von,le rêve de = der Traum von + Datif<br><br>pour introduire une attente ou une demande → von
60,2,Sein Traum _____ einer Reise nach Japan ging endlich in Erfüllung.,von,Sein Traum von einer Reise nach Japan ging endlich in Erfüllung.,His dream of a trip to Japan finally came true.,Son rêve d’un voyage au Japon s’est enfin réalisé.,,,der Traum von,the dream of = der Traum von + Dative,le rêve de = der Traum von + Datif,to introduce an expectation or a demand → von,pour introduire une attente ou une demande → von,the dream of = der Traum von + Dative<br><br>to introduce an expectation or a demand → von,le rêve de = der Traum von + Datif<br><br>pour introduire une attente ou une demande → von
61,3,der Stolz _____,auf,der Stolz auf,the pride in,"la fierté de, la fierté pour",Accusative,Accusatif,der Stolz auf,the pride in = der Stolz auf + Accusative,"la fierté de, la fierté pour = der Stolz auf + Accusatif",to introduce an object of focus or a target → auf,pour introduire un objet de focalisation ou une cible → auf,the pride in = der Stolz auf + Accusative<br><br>to introduce an object of focus or a target → auf,"la fierté de, la fierté pour = der Stolz auf + Accusatif<br><br>pour introduire un objet de focalisation ou une cible → auf"
62,3,die Angst _____,vor,die Angst vor,the fear of,la peur de,Dative,Datif,die Angst vor,the fear of = die Angst vor + Dative,la peur de = die Angst vor + Datif,to introduce an object of danger → vor,pour introduire un danger → vor,the fear of = die Angst vor + Dative<br><br>to introduce an object of danger → vor,la peur de = die Angst vor + Datif<br><br>pour introduire un danger → vor
63,3,der Protest _____,gegen,der Protest gegen,the protest against,la protestation contre,Accusative,Accusatif,der Protest gegen,the protest against = der Protest gegen + Accusative,la protestation contre = der Protest gegen + Accusatif,to introduce a rejection or an opposition → gegen,pour introduire un rejet ou une opposition → gegen,the protest against = der Protest gegen + Accusative<br><br>to introduce a rejection or an opposition → gegen,la protestation contre = der Protest gegen + Accusatif<br><br>pour introduire un rejet ou une opposition → gegen
64,3,das Gespräch _____,mit,das Gespräch mit,the conversation with,la conversation avec,Dative,Datif,das Gespräch mit,the conversation with = das Gespräch mit + Dative,la conversation avec = das Gespräch mit + Datif,to introduce a partner → mit,pour introduire un partenaire → mit,the conversation with = das Gespräch mit + Dative<br><br>to introduce a partner → mit,la conversation avec = das Gespräch mit + Datif<br><br>pour introduire un partenaire → mit
65,3,der Anfang _____,mit,der Anfang mit,the beginning with,"le début de, le début avec",Dative,Datif,der Anfang mit,the beginning with = der Anfang mit + Dative,"le début de, le début avec = der Anfang mit + Datif",to introduce a beginning or an end → mit,pour introduire un début ou une fin → mit,the beginning with = der Anfang mit + Dative<br><br>to introduce a beginning or an end → mit,"le début de, le début avec = der Anfang mit + Datif<br><br>pour introduire un début ou une fin → mit"
66,3,der Beginn _____,mit,der Beginn mit,the start with,le début avec,Dative,Datif,der Beginn mit,the start with = der Beginn mit + Dative,le début avec = der Beginn mit + Datif,to introduce a beginning or an end → mit,pour introduire un début ou une fin → mit,the start with = der Beginn mit + Dative<br><br>to introduce a beginning or an end → mit,le début avec = der Beginn mit + Datif<br><br>pour introduire un début ou une fin → mit
67,3,der Geruch _____,nach,der Geruch nach,the smell of,l'odeur de,Dative,Datif,der Geruch nach,the smell of = der Geruch nach + Dative,l'odeur de = der Geruch nach + Datif,to introduce the object of a sense → nach,"pour introduire l'objet d'un sens (odorat, goût) → nach",the smell of = der Geruch nach + Dative<br><br>to introduce the object of a sense → nach,"l'odeur de = der Geruch nach + Datif<br><br>pour introduire l'objet d'un sens (odorat, goût) → nach"
68,3,die Diskussion _____,über,die Diskussion über,the discussion about,la discussion sur,Accusative,Accusatif,die Diskussion über,the discussion about = die Diskussion über + Accusative,la discussion sur = die Diskussion über + Accusatif,to introduce a general subject → über,pour introduire un sujet général → über,the discussion about = die Diskussion über + Accusative<br><br>to introduce a general subject → über,la discussion sur = die Diskussion über + Accusatif<br><br>pour introduire un sujet général → über
69,3,das Gespräch _____,über,das Gespräch über,the conversation about,la conversation sur,Accusative,Accusatif,das Gespräch über,the conversation about = das Gespräch über + Accusative,la conversation sur = das Gespräch über + Accusatif,to introduce a general subject → über,pour introduire un sujet général → über,the conversation about = das Gespräch über + Accusative<br><br>to introduce a general subject → über,la conversation sur = das Gespräch über + Accusatif<br><br>pour introduire un sujet général → über
70,3,die Entschuldigung _____,für,die Entschuldigung für,the apology for,les excuses pour,Accusative,Accusatif,die Entschuldigung für,the apology for = die Entschuldigung für + Accusative,les excuses pour = die Entschuldigung für + Accusatif,"to introduce a purpose, a goal or a beneficiary → für","pour introduire un objectif, un but ou un bénéficiaire → für","the apology for = die Entschuldigung für + Accusative<br><br>to introduce a purpose, a goal or a beneficiary → für","les excuses pour = die Entschuldigung für + Accusatif<br><br>pour introduire un objectif, un but ou un bénéficiaire → für"
71,3,die Entschuldigung _____,bei,die Entschuldigung bei,the apology to,les excuses auprès de,Dative,Datif,die Entschuldigung bei,the apology to = die Entschuldigung bei + Dative,les excuses auprès de = die Entschuldigung bei + Datif,to introduce a person or an institution → bei,pour introduire une personne ou une institution → bei,the apology to = die Entschuldigung bei + Dative<br><br>to introduce a person or an institution → bei,les excuses auprès de = die Entschuldigung bei + Datif<br><br>pour introduire une personne ou une institution → bei
72,3,die Hilfe _____,bei,die Hilfe bei,the help with,"l'aide pour, l'aide à",Dative,Datif,die Hilfe bei,the help with = die Hilfe bei + Dative,"l'aide pour, l'aide à = die Hilfe bei + Datif",to introduce a context or a situation → bei,pour introduire un contexte ou une situation → bei,the help with = die Hilfe bei + Dative<br><br>to introduce a context or a situation → bei,"l'aide pour, l'aide à = die Hilfe bei + Datif<br><br>pour introduire un contexte ou une situation → bei"
