Nr,exercise,original_exercise,question,answer,german,english,french,person,preposition,article,combination,case_english_,case_french_,gender_english,gender_french,explanation_english,explanation_french,case_english,case_french
79,3,3,Wir gehen _____ Schule.,vor die,Wir gehen vor die Schule.,We go in front of the school.,Nous allons devant l'école.,der/die/das,vor,die,,Accusative,Accusatif,Feminine,Féminin,general translation of <i>in front of</i> to describe a direction → vor + Acc.,traduction générale de <i>devant</i> pour décrire une direction → vor + Acc.,", Accusative",", Accusatif"
80,4,3,Ich hänge die Lampe _____ Tisch.,über den,Ich hänge die Lampe über den Tisch.,I hang the lamp over the table.,Je suspends la lampe au-dessus de la table.,der/die/das,über,den,,Accusative,Accusatif,Masculine,Masculin,"general translation of <i>above, over</i> to describe a direction → über + Acc.",traduction générale de <i>au-dessus de</i> pour décrire une direction → über + Acc.,", Accusative",", Accusatif"
81,1,3,Das Flugzeug fliegt _____ Stadt.,über die,Das Flugzeug fliegt über die Stadt.,The plane flies over the city.,L'avion survole la ville.,der/die/das,über,die,,Accusative,Accusatif,Feminine,Féminin,"general translation of <i>above, over</i> to describe a direction → über + Acc.",traduction générale de <i>au-dessus de</i> pour décrire une direction → über + Acc.,", Accusative",", Accusatif"
82,2,3,Der Hund läuft _____ Bett.,unter das,Der Hund läuft unter das Bett.,The dog runs under the bed.,Le chien court sous le lit.,der/die/das,unter,das,,Accusative,Accusatif,Neuter,Neutre,"general translation of <i>below, under</i> to describe a direction → unter + Acc.",traduction générale de <i>ci-sous</i> pour décrire une direction → unter + Acc.,", Accusative",", Accusatif"
83,3,3,Sie schiebt die Kiste _____ Schrank.,unter den,Sie schiebt die Kiste unter den Schrank.,She pushes the box under the closet.,Elle pousse la boîte sous le placard.,der/die/das,unter,den,,Accusative,Accusatif,Masculine,Masculin,"general translation of <i>below, under</i> to describe a direction → unter + Acc.",traduction générale de <i>ci-sous</i> pour décrire une direction → unter + Acc.,", Accusative",", Accusatif"
84,4,3,Wir kriechen _____ Decke.,unter die,Wir kriechen unter die Decke.,We crawl under the covers.,Nous nous glissons sous les couvertures.,der/die/das,unter,die,,Accusative,Accusatif,Feminine,Féminin,"general translation of <i>below, under</i> to describe a direction → unter + Acc.",traduction générale de <i>ci-sous</i> pour décrire une direction → unter + Acc.,", Accusative",", Accusatif"
85,1,3,Ich stelle den Stuhl _____ Tisch und das Bett.,zwischen den,Ich stelle den Stuhl zwischen den Tisch und das Bett.,I place the chair between the table and the bed.,Je place la chaise entre la table et le lit.,der/die/das,zwischen,den,,Accusative,Accusatif,Masculine,Masculin,general translation of <i>between</i> to describe a direction → zwischen + Acc.,traduction générale de <i>entre</i> pour décrire une direction → zwischen + Acc.,", Accusative",", Accusatif"
86,2,3,Wir hängen das Bild _____ Fenster.,zwischen die,Wir hängen das Bild zwischen die Fenster.,We hang the picture between the windows.,Nous accrochons le tableau entre les fenêtres.,der/die/das,zwischen,die,,Accusative,Accusatif,Plural,Pluriel,general translation of <i>between</i> to describe a direction → zwischen + Acc.,traduction générale de <i>entre</i> pour décrire une direction → zwischen + Acc.,", Accusative",", Accusatif"
87,3,3,Der Mann schreibt seinen Namen _____ Tafel.,an die,Der Mann schreibt seinen Namen an die Tafel.,The man writes his name on the board.,L'homme inscrit son nom sur le tableau.,der/die/das,an,die,,Accusative,Accusatif,Feminine,Féminin,to indicate that an object is moved <i>on</i> a vertical area → an + Acc.,pour indiquer qu'un objet est déplacé <i>sur</i> une zone verticale → an + Acc.,", Accusative",", Accusatif"
88,4,3,Er nimmt das Buch _____ Tasche.,aus der,Er nimmt das Buch aus der Tasche.,He takes the book out of the bag.,Il sort le livre du sac.,der/die/das,aus,der,,Dative,Datif,Feminine,Féminin,"to indicate a local origin as opposite of ""in"" → aus + Dat.","pour indiquer une origine locale comme opposé à ""in"" → aus + Dat.",", Dative",", Datif"
89,1,3,Sie holt die Milch _____ Kühlschrank.,aus dem,Sie holt die Milch aus dem Kühlschrank.,She takes the milk out of the fridge.,Elle sort le lait du réfrigérateur.,der/die/das,aus,dem,,Dative,Datif,Masculine,Masculin,"to indicate a local origin as opposite of ""in"" → aus + Dat.","pour indiquer une origine locale comme opposé à ""in"" → aus + Dat.",", Dative",", Datif"
90,2,3,Das Kind schaut _____ Fenster.,aus dem,Das Kind schaut aus dem Fenster.,The child looks out of the window.,L'enfant regarde par la fenêtre.,der/die/das,aus,dem,,Dative,Datif,Neuter,Neutre,"to indicate a local origin as opposite of ""in"" → aus + Dat.","pour indiquer une origine locale comme opposé à ""in"" → aus + Dat.",", Dative",", Datif"
91,3,3,Ich gehe _____ Nachbarschaft.,in deine,Ich gehe in deine Nachbarschaft.,I'm going in your neighborhood.,Je vais dans votre quartier.,dein,in,deine,,Accusative,Accusatif,Feminine,Féminin,"to indicate that an object is moved in, inside something → in + Acc.",pour indiquer qu'un objet est déplacé à l'intérieur de quelque chose → dans + Acc.,", Accusative",", Accusatif"
92,4,3,Er legt seine Tasche _____ Tür.,vor die,Er legt seine Tasche vor die Tür.,He puts his bag in front of the door.,Il pose son sac devant la porte.,der/die/das,vor,die,,Accusative,Accusatif,Feminine,Féminin,general translation of <i>in front of</i> to describe a direction → vor + Acc.,traduction générale de <i>devant</i> pour décrire une direction → vor + Acc.,", Accusative",", Accusatif"
93,1,3,Sie stellt den Stuhl _____ Fenster.,vor das,Sie stellt den Stuhl vor das Fenster.,She puts the chair in front of the window.,Elle place la chaise devant la fenêtre.,der/die/das,vor,das,,Accusative,Accusatif,Neuter,Neutre,general translation of <i>in front of</i> to describe a direction → vor + Acc.,traduction générale de <i>devant</i> pour décrire une direction → vor + Acc.,", Accusative",", Accusatif"
94,2,3,Ich stelle den Stuhl _____ Tisch.,neben den,Ich stelle den Stuhl neben den Tisch.,I put the chair next to the table.,J'ai placé la chaise à côté de la table.,der/die/das,neben,den,,Accusative,Accusatif,Masculine,Masculin,general translation of <i>next to</i> to describe a direction → neben + Acc.,traduction générale de <i>à côté de</i> pour décrire une direction → neben + Acc.,", Accusative",", Accusatif"
95,3,3,Wir setzen uns _____ Mann.,neben den,Wir setzen uns neben den Mann.,We sit next to the man.,Nous nous asseyons à côté de l'homme.,der/die/das,neben,den,,Accusative,Accusatif,Masculine,Masculin,general translation of <i>next to</i> to describe a direction → neben + Acc.,traduction générale de <i>à côté de</i> pour décrire une direction → neben + Acc.,", Accusative",", Accusatif"
96,4,3,Das Kind läuft _____ Hund.,neben den,Das Kind läuft neben den Hund.,The child runs next to the dog.,L'enfant court à côté du chien.,der/die/das,neben,den,,Accusative,Accusatif,Masculine,Masculin,general translation of <i>next to</i> to describe a direction → neben + Acc.,traduction générale de <i>à côté de</i> pour décrire une direction → neben + Acc.,", Accusative",", Accusatif"
97,1,3,Sie hängt das Bild _____ Sofa.,über das,Sie hängt das Bild über das Sofa.,She hangs the picture over the sofa.,Elle accroche le tableau au-dessus du canapé.,der/die/das,über,das,,Accusative,Accusatif,Neuter,Neutre,"general translation of <i>above, over</i> to describe a direction → über + Acc.",traduction générale de <i>au-dessus de</i> pour décrire une direction → über + Acc.,", Accusative",", Accusatif"
98,2,3,Er stellt die Schuhe _____ Stuhl.,unter den,Er stellt die Schuhe unter den Stuhl.,He puts the shoes under the chair.,Il met les chaussures sous la chaise.,der/die/das,unter,den,,Accusative,Accusatif,Masculine,Masculin,"general translation of <i>below, under</i> to describe a direction → unter + Acc.",traduction générale de <i>ci-sous</i> pour décrire une direction → unter + Acc.,", Accusative",", Accusatif"
99,3,3,Sie legt das Buch _____ Hefte und die Zeitung.,zwischen die,Sie legt das Buch zwischen die Hefte und die Zeitung.,She places the book between the notebooks and the newspaper.,Elle place le livre entre les cahiers et le journal.,der/die/das,zwischen,die,,Accusative,Accusatif,Feminine,Féminin,general translation of <i>between</i> to describe a direction → zwischen + Acc.,traduction générale de <i>entre</i> pour décrire une direction → zwischen + Acc.,", Accusative",", Accusatif"
100,4,3,Wir sitzen _____ Tisch.,um den,Wir sitzen um den Tisch.,We are sitting around the table.,Nous sommes assis autour de la table.,der/die/das,um,den,,Accusative,Accusatif,Masculine,Masculin,to indicate that something is moving around something else → um + Acc.,pour indiquer que quelque chose bouge autour de quelque chose d'autre → um + Acc.,", Accusative",", Accusatif"
101,1,3,Er läuft _____ Block.,um den,Er läuft um den Block.,He runs around the block.,Il fait le tour du pâté de maisons en courant.,der/die/das,um,den,,Accusative,Accusatif,Masculine,Masculin,to indicate that something is moving around something else → um + Acc.,pour indiquer que quelque chose bouge autour de quelque chose d'autre → um + Acc.,", Accusative",", Accusatif"
102,2,3,Die Kinder rennen _____ Baum.,um den,Die Kinder rennen um den Baum.,The children run around the tree.,Les enfants courent autour de l'arbre.,der/die/das,um,den,,Accusative,Accusatif,Masculine,Masculin,to indicate that something is moving around something else → um + Acc.,pour indiquer que quelque chose bouge autour de quelque chose d'autre → um + Acc.,", Accusative",", Accusatif"
103,3,3,Wir kleben das Poster _____ Tür.,an die,Wir kleben das Poster an die Tür.,We stick the poster on the door.,Nous collons l'affiche sur la porte.,der/die/das,an,die,,Accusative,Accusatif,Feminine,Féminin,to indicate that an object is moved <i>on</i> a vertical area → an + Acc.,pour indiquer qu'un objet est déplacé <i>sur</i> une zone verticale → an + Acc.,", Accusative",", Accusatif"
104,4,3,Er legt das Buch _____ Rucksack.,in den,Er legt das Buch in den Rucksack.,He puts the book into the backpack.,Il met le livre dans le sac à dos.,der/die/das,in,den,,Accusative,Accusatif,Masculine,Masculin,"to indicate that an object is moved in, inside something → in + Acc.",pour indiquer qu'un objet est déplacé à l'intérieur de quelque chose → dans + Acc.,", Accusative",", Accusatif"
105,1,3,Wir fahren _____ Stadt.,in die,Wir fahren in die Stadt.,We are driving in the city.,Nous roulons en ville.,der/die/das,in,die,,Accusative,Accusatif,Feminine,Féminin,"to indicate that an object is moved in, inside something → in + Acc.",pour indiquer qu'un objet est déplacé à l'intérieur de quelque chose → dans + Acc.,", Accusative",", Accusatif"
106,2,3,Das Kind springt _____ Pool.,in den,Das Kind springt in den Pool.,The child jumps into the pool.,L'enfant saute dans la piscine.,der/die/das,in,den,,Accusative,Accusatif,Masculine,Masculin,"to indicate that an object is moved in, inside something → in + Acc.",pour indiquer qu'un objet est déplacé à l'intérieur de quelque chose → dans + Acc.,", Accusative",", Accusatif"
107,3,3,Wir fahren heute _____ Oma.,zu meiner,Wir fahren heute zu meiner Oma.,We're going to my grandma's today.,Nous allons chez ma grand-mère aujourd'hui.,mein,zu,meiner,,Dative,Datif,Feminine,Féminin,to indicate a movement towards other people → zu + Dat.,pour indiquer un mouvement vers d’autres personnes → zu + Dat.,", Dative",", Datif"
108,4,3,Am Wochenende gehen wir _____ Freunden.,zu unseren,Am Wochenende gehen wir zu unseren Freunden.,We're going to our friends' house at the weekend.,Nous allons chez nos amis ce week-end.,unser,zu,unseren,,Dative,Datif,Plural,Pluriel,to indicate a movement towards other people → zu + Dat.,pour indiquer un mouvement vers d’autres personnes → zu + Dat.,", Dative",", Datif"
109,1,3,Er legt die Tasche _____ Sofa.,hinter das,Er legt die Tasche hinter das Sofa.,He puts the bag behind the sofa.,Il pose le sac derrière le canapé.,der/die/das,hinter,das,,Accusative,Accusatif,Neuter,Neutre,general translation of <i>behind</i> to describe a direction → hinter + Acc.,traduction générale de <i>derrière</i> pour décrire une direction → hinter + Acc.,", Accusative",", Accusatif"
110,2,3,Das Kind läuft _____ Hund.,vor den,Das Kind läuft vor den Hund.,The child runs in front of the dog.,L'enfant court devant le chien.,der/die/das,vor,den,,Accusative,Accusatif,Masculine,Masculin,general translation of <i>in front of</i> to describe a direction → vor + Acc.,traduction générale de <i>devant</i> pour décrire une direction → vor + Acc.,", Accusative",", Accusatif"
111,3,3,Sie legt das Buch _____ Lampe.,neben die,Sie legt das Buch neben die Lampe.,She puts the book next to the lamp.,Elle pose le livre à côté de la lampe.,der/die/das,neben,die,,Accusative,Accusatif,Feminine,Féminin,general translation of <i>next to</i> to describe a direction → neben + Acc.,traduction générale de <i>à côté de</i> pour décrire une direction → neben + Acc.,", Accusative",", Accusatif"
112,4,3,Er stellt seine Tasche _____ Bett.,neben das,Er stellt seine Tasche neben das Bett.,He puts his bag next to the bed.,Il pose son sac à côté du lit.,der/die/das,neben,das,,Accusative,Accusatif,Neuter,Neutre,general translation of <i>next to</i> to describe a direction → neben + Acc.,traduction générale de <i>à côté de</i> pour décrire une direction → neben + Acc.,", Accusative",", Accusatif"
113,1,3,Er wirft den Ball _____ Zaun.,über den,Er wirft den Ball über den Zaun.,He throws the ball over the fence.,Il lance la balle par-dessus la clôture.,der/die/das,über,den,,Accusative,Accusatif,Masculine,Masculin,"general translation of <i>above, over</i> to describe a direction → über + Acc.",traduction générale de <i>au-dessus de</i> pour décrire une direction → über + Acc.,", Accusative",", Accusatif"
114,2,3,Wir springen _____ Bach.,über den,Wir springen über den Bach.,We jump over the stream.,Nous sautons par-dessus le ruisseau.,der/die/das,über,den,,Accusative,Accusatif,Masculine,Masculin,"general translation of <i>above, over</i> to describe a direction → über + Acc.",traduction générale de <i>au-dessus de</i> pour décrire une direction → über + Acc.,", Accusative",", Accusatif"
115,3,3,Ich lege das Buch _____ Tisch.,unter den,Ich lege das Buch unter den Tisch.,I put the book under the table.,J'ai mis le livre sous la table.,der/die/das,unter,den,,Accusative,Accusatif,Masculine,Masculin,"general translation of <i>below, under</i> to describe a direction → unter + Acc.",traduction générale de <i>ci-sous</i> pour décrire une direction → unter + Acc.,", Accusative",", Accusatif"
