Nr,level,question,answer,german,english,case,gender,type
830,106,Ich widme _____ Woche meine Zeit.,einer,Ich widme einer Woche meine Zeit.,,dative,feminine,
831,106,Sie gibt _____ Vater ein Geschenk.,einem,Sie gibt einem Vater ein Geschenk.,,dative,masculine,
832,106,Ich folge _____ Seite im Buch.,einer,Ich folge einer Seite im Buch.,,dative,feminine,
833,106,Er dankt _____ Leben für seine Erfahrungen.,einem,Er dankt einem Leben für seine Erfahrungen.,,dative,masculine,
834,106,Wir helfen _____ Mutter im Haushalt.,einer,Wir helfen einer Mutter im Haushalt.,,dative,feminine,
835,106,Sie schützt _____ Auge mit einer Brille.,einem,Sie schützt einem Auge mit einer Brille.,,dative,masculine,
836,106,Er vertraut _____ Geld nicht.,einem,Er vertraut einem Geld nicht.,,dative,masculine,
837,106,Ich folge _____ Weg zum See.,einem,Ich folge einem Weg zum See.,,dative,masculine,
838,106,Ich widme _____ Stunde meine volle Konzentration.,einer,Ich widme einer Stunde meine volle Konzentration.,,dative,feminine,
839,106,Ich erinnere mich an _____ Namen.,einem,Ich erinnere mich an einem Namen.,,dative,masculine,
840,106,Er nickt _____ Kopf zu.,einem,Er nickt einem Kopf zu.,,dative,masculine,
841,106,Ich gratuliere _____ Paar zur Hochzeit.,einem,Ich gratuliere einem Paar zur Hochzeit.,,dative,masculine,
842,106,Wir helfen _____ Unternehmen zu wachsen.,einem,Wir helfen einem Unternehmen zu wachsen.,,dative,masculine,
843,106,Ich zeige _____ Bild meine Freunde.,einem,Ich zeige einem Bild meine Freunde.,,dative,masculine,
844,106,Sie gibt _____ Buch eine neue Bedeutung.,einem,Sie gibt einem Buch eine neue Bedeutung.,,dative,masculine,
845,106,Ich helfe _____ Jahr mit einer neuen Planung.,einem,Ich helfe einem Jahr mit einer neuen Planung.,,dative,masculine,
846,106,Er gibt _____ Mal eine neue Bedeutung.,einem,Er gibt einem Mal eine neue Bedeutung.,,dative,masculine,
847,106,Sie folgt _____ Beispiel ihrer Mutter.,einem,Sie folgt einem Beispiel ihrer Mutter.,,dative,masculine,
848,106,Ich widme _____ Zeit meine Aufmerksamkeit.,einer,Ich widme einer Zeit meine Aufmerksamkeit.,,dative,feminine,
849,106,Er schenkt _____ Frau Blumen.,einer,Er schenkt einer Frau Blumen.,,dative,feminine,
850,106,Ich vertraue _____ Menschen.,einem,Ich vertraue einem Menschen.,,dative,masculine,
851,106,Sie gibt _____ Kind ein Geschenk.,einem,Sie gibt einem Kind ein Geschenk.,,dative,masculine,
852,106,Wir widmen _____ Tag eine Feier.,einem,Wir widmen einem Tag eine Feier.,,dative,masculine,
853,106,Sie hilft _____ Mann im Garten.,einem,Sie hilft einem Mann im Garten.,,dative,masculine,
854,106,Ich widme _____ Frage viel Zeit.,einer,Ich widme einer Frage viel Zeit.,,dative,feminine,
855,106,Wir nähern uns _____ Haus langsam.,einem,Wir nähern uns einem Haus langsam.,,dative,masculine,
856,106,Ich erzähle _____ Leuten eine Geschichte.,einen,Ich erzähle einen Leuten eine Geschichte.,,dative,neuter,
857,106,Er widmet _____ Arbeit seine ganze Kraft.,einer,Er widmet einer Arbeit seine ganze Kraft.,,dative,feminine,
858,106,Wir passen _____ Prozent die Werte an.,einem,Wir passen einem Prozent die Werte an.,,dative,masculine,
859,106,Ich gebe _____ Hand einen festen Druck.,einer,Ich gebe einer Hand einen festen Druck.,,dative,feminine,
860,106,Er zeigt _____ Stadt seine Kunst.,einer,Er zeigt einer Stadt seine Kunst.,,dative,feminine,
861,106,Ich danke _____ Herrn für seine Hilfe.,einem,Ich danke einem Herrn für seine Hilfe.,,dative,masculine,
862,106,Sie nähert sich _____ Problem vorsichtig.,einem,Sie nähert sich einem Problem vorsichtig.,,dative,masculine,
863,107,_____ Ende ist nah.,Ein,Ein Ende ist nah.,,nominative,neuter,
864,107,_____ Million ist viel Geld.,Eine,Eine Million ist viel Geld.,,nominative,feminine,
865,107,_____ Schule ist groß.,Eine,Eine Schule ist groß.,,nominative,feminine,
866,107,_____ Woche hat sieben Tage.,Eine,Eine Woche hat sieben Tage.,,nominative,feminine,
867,107,_____ Vater ist müde.,Ein,Ein Vater ist müde.,,nominative,masculine,
868,107,_____ Seite ist weiß.,Eine,Eine Seite ist weiß.,,nominative,feminine,
869,107,_____ Leben ist schön.,Ein,Ein Leben ist schön.,,nominative,neuter,
870,107,_____ Mutter ist nett.,Eine,Eine Mutter ist nett.,,nominative,feminine,
871,107,_____ Auge ist blau.,Ein,Ein Auge ist blau.,,nominative,neuter,
872,107,_____ Geld ist wichtig.,Ein,Ein Geld ist wichtig.,,nominative,neuter,
873,107,_____ Weg ist lang.,Ein,Ein Weg ist lang.,,nominative,masculine,
874,107,_____ Stunde dauert sechzig Minuten.,Eine,Eine Stunde dauert sechzig Minuten.,,nominative,feminine,
875,107,_____ Name ist bekannt.,Ein,Ein Name ist bekannt.,,nominative,masculine,
876,107,_____ Kopf tut weh.,Ein,Ein Kopf tut weh.,,nominative,masculine,
877,107,_____ Paar ist glücklich.,Ein,Ein Paar ist glücklich.,,nominative,neuter,
878,107,_____ Unternehmen ist groß.,Ein,Ein Unternehmen ist groß.,,nominative,neuter,
879,107,_____ Bild ist schön.,Ein,Ein Bild ist schön.,,nominative,neuter,
880,107,_____ Buch ist spannend.,Ein,Ein Buch ist spannend.,,nominative,neuter,
881,107,_____ Straße ist lang.,Eine,Eine Straße ist lang.,,nominative,feminine,
882,107,_____ Minute ist kurz.,Eine,Eine Minute ist kurz.,,nominative,feminine,
883,107,_____ Gruppe ist klein.,Eine,Eine Gruppe ist klein.,,nominative,feminine,
884,107,_____ Wert ist hoch.,Ein,Ein Wert ist hoch.,,nominative,masculine,
885,107,_____ Gesicht ist rund.,Ein,Ein Gesicht ist rund.,,nominative,neuter,
886,107,_____ Sprache ist schwer.,Eine,Eine Sprache ist schwer.,,nominative,feminine,
887,107,_____ Ort ist schön.,Ein,Ein Ort ist schön.,,nominative,masculine,
888,107,_____ Moment ist wichtig.,Ein,Ein Moment ist wichtig.,,nominative,masculine,
889,107,_____ Interesse ist groß.,Ein,Ein Interesse ist groß.,,nominative,neuter,
890,107,_____ Tür ist offen.,Eine,Eine Tür ist offen.,,nominative,feminine,
891,107,_____ Schüler ist fleißig.,Ein,Ein Schüler ist fleißig.,,nominative,masculine,
892,107,_____ Text ist lang.,Ein,Ein Text ist lang.,,nominative,masculine,
893,107,_____ Stück ist klein.,Ein,Ein Stück ist klein.,,nominative,neuter,
894,107,_____ Wohnung ist teuer.,Eine,Eine Wohnung ist teuer.,,nominative,feminine,
895,107,_____ Meter ist kurz.,Ein,Ein Meter ist kurz.,,nominative,masculine,
896,107,_____ Punkt ist klar.,Ein,Ein Punkt ist klar.,,nominative,masculine,
897,107,_____ Situation ist schwierig.,Eine,Eine Situation ist schwierig.,,nominative,feminine,
898,107,_____ Lehrer ist nett.,Ein,Ein Lehrer ist nett.,,nominative,masculine,
899,107,_____ Stelle ist wichtig.,Eine,Eine Stelle ist wichtig.,,nominative,feminine,
900,107,_____ Form ist rund.,Eine,Eine Form ist rund.,,nominative,feminine,
901,107,_____ Monat hat vier Wochen.,Ein,Ein Monat hat vier Wochen.,,nominative,masculine,
902,107,_____ Familie ist groß.,Eine,Eine Familie ist groß.,,nominative,feminine,
903,107,_____ Morgen ist schön.,Ein,Ein Morgen ist schön.,,nominative,masculine,
904,107,_____ Abend ist ruhig.,Ein,Ein Abend ist ruhig.,,nominative,masculine,
905,107,_____ Sinn ist klar.,Ein,Ein Sinn ist klar.,,nominative,masculine,
906,107,_____ Staat ist reich.,Ein,Ein Staat ist reich.,,nominative,masculine,
907,107,_____ Ziel ist weit.,Ein,Ein Ziel ist weit.,,nominative,neuter,
908,107,_____ Thema ist interessant.,Ein,Ein Thema ist interessant.,,nominative,neuter,
909,107,_____ Person ist freundlich.,Eine,Eine Person ist freundlich.,,nominative,feminine,
910,107,_____ Nacht ist dunkel.,Eine,Eine Nacht ist dunkel.,,nominative,feminine,
911,107,_____ Raum ist groß.,Ein,Ein Raum ist groß.,,nominative,masculine,
912,107,_____ Blick ist schön.,Ein,Ein Blick ist schön.,,nominative,masculine,
913,107,_____ Platz ist leer.,Ein,Ein Platz ist leer.,,nominative,masculine,
914,107,_____ Zahl ist hoch.,Eine,Eine Zahl ist hoch.,,nominative,feminine,
915,107,_____ Uhr ist kaputt.,Eine,Eine Uhr ist kaputt.,,nominative,feminine,
916,107,_____ Jahrhundert ist lang.,Ein,Ein Jahrhundert ist lang.,,nominative,neuter,
917,107,_____ Sohn ist klug.,Ein,Ein Sohn ist klug.,,nominative,masculine,
918,107,_____ Werk ist bekannt.,Ein,Ein Werk ist bekannt.,,nominative,neuter,
919,107,_____ Richtung ist richtig.,Eine,Eine Richtung ist richtig.,,nominative,feminine,
920,107,_____ Programm ist neu.,Ein,Ein Programm ist neu.,,nominative,neuter,
921,107,_____ Angst ist groß.,Eine,Eine Angst ist groß.,,nominative,feminine,
922,107,_____ Information ist wichtig.,Eine,Eine Information ist wichtig.,,nominative,feminine,
923,107,_____ Kunst ist schön.,Eine,Eine Kunst ist schön.,,nominative,feminine,
924,107,_____ Musik ist laut.,Eine,Eine Musik ist laut.,,nominative,feminine,
925,107,_____ Beruf ist spannend.,Ein,Ein Beruf ist spannend.,,nominative,masculine,
926,107,_____ Regel ist klar.,Eine,Eine Regel ist klar.,,nominative,feminine,
927,107,_____ Gott ist mächtig.,Ein,Ein Gott ist mächtig.,,nominative,masculine,
928,107,_____ Auto ist schnell.,Ein,Ein Auto ist schnell.,,nominative,neuter,
929,107,_____ Tisch ist aus Holz.,Ein,Ein Tisch ist aus Holz.,,nominative,masculine,
930,107,_____ Spiel ist spannend.,Ein,Ein Spiel ist spannend.,,nominative,neuter,
931,107,_____ Licht ist hell.,Ein,Ein Licht ist hell.,,nominative,neuter,
932,107,_____ Markt ist groß.,Ein,Ein Markt ist groß.,,nominative,masculine,
933,107,_____ Tochter ist freundlich.,Eine,Eine Tochter ist freundlich.,,nominative,feminine,
934,107,_____ Frage ist einfach.,Eine,Eine Frage ist einfach.,,nominative,feminine,
935,107,_____ Haus ist groß.,Ein,Ein Haus ist groß.,,nominative,neuter,
936,107,_____ Leute sind freundlich.,Eine,Eine Leute sind freundlich.,,nominative,feminine,
937,107,_____ Arbeit ist schwer.,Eine,Eine Arbeit ist schwer.,,nominative,feminine,
938,107,_____ Prozent ist hoch.,Ein,Ein Prozent ist hoch.,,nominative,neuter,
939,107,_____ Hand ist klein.,Eine,Eine Hand ist klein.,,nominative,feminine,
940,107,_____ Stadt ist alt.,Eine,Eine Stadt ist alt.,,nominative,feminine,
941,107,_____ Herr ist müde.,Ein,Ein Herr ist müde.,,nominative,masculine,
942,107,_____ Problem ist groß.,Ein,Ein Problem ist groß.,,nominative,neuter,
943,107,_____ Jahr haben zwölf Monate.,Ein,Ein Jahr haben zwölf Monate.,,nominative,neuter,
944,107,_____ Mal ist anders als vorher.,Ein,Ein Mal ist anders als vorher.,,nominative,neuter,
945,107,_____ Beispiel ist sehr einfach.,Ein,Ein Beispiel ist sehr einfach.,,nominative,neuter,
946,107,_____ Zeit ist knapp.,Eine,Eine Zeit ist knapp.,,nominative,feminine,
947,107,_____ Frau sind nett.,Eine,Eine Frau sind nett.,,nominative,feminine,
948,107,_____ Mensch ist intelligent.,Ein,Ein Mensch ist intelligent.,,nominative,masculine,
949,107,_____ Kind ist klein.,Ein,Ein Kind ist klein.,,nominative,neuter,
950,107,_____ Tag ist schön.,Ein,Ein Tag ist schön.,,nominative,masculine,
951,107,_____ Mann sind stark.,Ein,Ein Mann sind stark.,,nominative,masculine,
952,107,_____ Land ist groß.,Ein,Ein Land ist groß.,,nominative,neuter,
953,107,Ich sehe _____ Ende des Films.,ein,Ich sehe ein Ende des Films.,,accusative,neuter,
954,107,Er hat _____ Million gewonnen.,eine,Er hat eine Million gewonnen.,,accusative,feminine,
955,107,Wir besuchen _____ Schule jeden Tag.,eine,Wir besuchen eine Schule jeden Tag.,,accusative,feminine,
956,107,Ich plane _____ Woche im Voraus.,eine,Ich plane eine Woche im Voraus.,,accusative,feminine,
957,107,Sie ruft _____ Vater an.,einen,Sie ruft einen Vater an.,,accusative,masculine,
958,107,Ich lese _____ Seite im Buch.,eine,Ich lese eine Seite im Buch.,,accusative,feminine,
959,107,Er genießt _____ Leben.,ein,Er genießt ein Leben.,,accusative,neuter,
960,107,Wir besuchen _____ Mutter am Wochenende.,eine,Wir besuchen eine Mutter am Wochenende.,,accusative,feminine,
961,107,Sie schützt _____ Auge mit einer Brille.,ein,Sie schützt ein Auge mit einer Brille.,,accusative,neuter,
962,107,Er spart _____ Geld.,ein,Er spart ein Geld.,,accusative,neuter,
963,107,Wir nehmen _____ Weg durch den Park.,einen,Wir nehmen einen Weg durch den Park.,,accusative,masculine,
964,107,Ich lerne _____ Stunde lang.,eine,Ich lerne eine Stunde lang.,,accusative,feminine,
965,107,Ich kenne _____ Namen nicht.,einen,Ich kenne einen Namen nicht.,,accusative,masculine,
966,107,Er hält _____ Kopf hoch.,einen,Er hält einen Kopf hoch.,,accusative,masculine,
967,107,Ich sehe _____ Paar auf der Straße.,ein,Ich sehe ein Paar auf der Straße.,,accusative,neuter,
968,107,Wir unterstützen _____ Unternehmen.,ein,Wir unterstützen ein Unternehmen.,,accusative,neuter,
969,107,Sie malt _____ Bild.,ein,Sie malt ein Bild.,,accusative,neuter,
970,107,Er liest _____ Buch.,ein,Er liest ein Buch.,,accusative,neuter,
971,107,Er findet _____ Stelle interessant.,eine,Er findet eine Stelle interessant.,,accusative,feminine,
972,107,Ich ändere _____ Form des Designs.,eine,Ich ändere eine Form des Designs.,,accusative,feminine,
973,107,Wir feiern _____ Monat des Herbstes.,einen,Wir feiern einen Monat des Herbstes.,,accusative,masculine,
974,107,Sie liebt _____ Familie sehr.,eine,Sie liebt eine Familie sehr.,,accusative,feminine,
975,107,Ich genieße _____ Morgen mit Kaffee.,einen,Ich genieße einen Morgen mit Kaffee.,,accusative,masculine,
976,107,Wir verbringen _____ Abend zusammen.,einen,Wir verbringen einen Abend zusammen.,,accusative,masculine,
977,107,Ich verstehe _____ Sinn des Wortes.,einen,Ich verstehe einen Sinn des Wortes.,,accusative,masculine,
978,107,Er kennt _____ Staat gut.,einen,Er kennt einen Staat gut.,,accusative,masculine,
979,107,Wir erreichen _____ Ziel bald.,ein,Wir erreichen ein Ziel bald.,,accusative,neuter,
980,107,Er diskutiert _____ Thema im Kurs.,ein,Er diskutiert ein Thema im Kurs.,,accusative,neuter,
981,107,Ich kenne _____ Person nicht.,eine,Ich kenne eine Person nicht.,,accusative,feminine,
982,107,Sie verbringt _____ Nacht im Hotel.,eine,Sie verbringt eine Nacht im Hotel.,,accusative,feminine,
983,107,Wir betreten _____ Raum leise.,einen,Wir betreten einen Raum leise.,,accusative,masculine,
984,107,Ich genieße _____ Blick auf das Meer.,einen,Ich genieße einen Blick auf das Meer.,,accusative,masculine,
985,107,Er reserviert _____ Platz für uns.,einen,Er reserviert einen Platz für uns.,,accusative,masculine,
986,107,Ich schreibe _____ Zahl auf.,eine,Ich schreibe eine Zahl auf.,,accusative,feminine,
987,107,Ich kaufe _____ Uhr im Geschäft.,eine,Ich kaufe eine Uhr im Geschäft.,,accusative,feminine,
988,107,Ich überquere _____ Straße.,eine,Ich überquere eine Straße.,,accusative,feminine,
989,107,Ich warte _____ Minute.,eine,Ich warte eine Minute.,,accusative,feminine,
990,107,Er sieht _____ Gruppe im Park.,eine,Er sieht eine Gruppe im Park.,,accusative,feminine,
991,107,Ich verstehe _____ Wert dieser Idee.,einen,Ich verstehe einen Wert dieser Idee.,,accusative,masculine,
992,107,Sie wäscht _____ Gesicht mit Wasser.,ein,Sie wäscht ein Gesicht mit Wasser.,,accusative,neuter,
993,107,Wir lernen _____ Sprache in der Schule.,eine,Wir lernen eine Sprache in der Schule.,,accusative,feminine,
994,107,Ich besuche _____ Ort jedes Jahr.,einen,Ich besuche einen Ort jedes Jahr.,,accusative,masculine,
995,107,Er genießt _____ Moment.,einen,Er genießt einen Moment.,,accusative,masculine,
996,107,Ich habe _____ Interesse an diesem Thema.,ein,Ich habe ein Interesse an diesem Thema.,,accusative,neuter,
997,107,Sie öffnet _____ Tür.,eine,Sie öffnet eine Tür.,,accusative,feminine,
998,107,Der Lehrer hilft _____ Schüler.,einen,Der Lehrer hilft einen Schüler.,,accusative,masculine,
999,107,Ich lese _____ Text im Buch.,einen,Ich lese einen Text im Buch.,,accusative,masculine,
1000,107,Er isst _____ Stück Kuchen.,ein,Er isst ein Stück Kuchen.,,accusative,neuter,
1001,107,Wir mieten _____ Wohnung.,eine,Wir mieten eine Wohnung.,,accusative,feminine,
1002,107,Er misst _____ Meter mit dem Lineal.,einen,Er misst einen Meter mit dem Lineal.,,accusative,masculine,
1003,107,Ich setze _____ Punkt am Ende des Satzes.,einen,Ich setze einen Punkt am Ende des Satzes.,,accusative,masculine,
1004,107,Sie erklärt _____ Situation.,eine,Sie erklärt eine Situation.,,accusative,feminine,
1005,107,Ich sehe _____ Lehrer in der Schule.,einen,Ich sehe einen Lehrer in der Schule.,,accusative,masculine,
1006,107,Ich studiere _____ Jahrhundert der Geschichte.,ein,Ich studiere ein Jahrhundert der Geschichte.,,accusative,neuter,
1007,107,Sie sieht _____ Sohn im Garten.,einen,Sie sieht einen Sohn im Garten.,,accusative,masculine,
1008,107,Er kennt _____ Werk des Künstlers.,ein,Er kennt ein Werk des Künstlers.,,accusative,neuter,
1009,107,Wir nehmen _____ Richtung nach Süden.,eine,Wir nehmen eine Richtung nach Süden.,,accusative,feminine,
1010,107,Ich installiere _____ Programm auf dem Computer.,ein,Ich installiere ein Programm auf dem Computer.,,accusative,neuter,
1011,107,Er fühlt _____ Angst in seinem Herzen.,eine,Er fühlt eine Angst in seinem Herzen.,,accusative,feminine,
1012,107,Sie sucht _____ Information online.,eine,Sie sucht eine Information online.,,accusative,feminine,
1013,107,Wir bewundern _____ Kunst im Museum.,eine,Wir bewundern eine Kunst im Museum.,,accusative,feminine,
1014,107,Er hört _____ Musik im Radio.,eine,Er hört eine Musik im Radio.,,accusative,feminine,
1015,107,Ich lerne _____ Beruf in der Ausbildung.,einen,Ich lerne einen Beruf in der Ausbildung.,,accusative,masculine,
1016,107,Wir befolgen _____ Regel in der Schule.,eine,Wir befolgen eine Regel in der Schule.,,accusative,feminine,
1017,107,Er verehrt _____ Gott seiner Religion.,einen,Er verehrt einen Gott seiner Religion.,,accusative,masculine,
1018,107,Er fährt _____ Auto zur Arbeit.,ein,Er fährt ein Auto zur Arbeit.,,accusative,neuter,
1019,107,Sie deckt _____ Tisch für das Abendessen.,einen,Sie deckt einen Tisch für das Abendessen.,,accusative,masculine,
1020,107,Ich spiele _____ Spiel mit meinen Freunden.,ein,Ich spiele ein Spiel mit meinen Freunden.,,accusative,neuter,
1021,107,Er schaltet _____ Licht aus.,ein,Er schaltet ein Licht aus.,,accusative,neuter,
1022,107,Sie besucht _____ Markt jeden Samstag.,einen,Sie besucht einen Markt jeden Samstag.,,accusative,masculine,
1023,107,Er liebt _____ Tochter sehr.,eine,Er liebt eine Tochter sehr.,,accusative,feminine,
1024,107,Ich sehe _____ Jahr auf dem Kalender.,ein,Ich sehe ein Jahr auf dem Kalender.,,accusative,neuter,
1025,107,Ich erinnere mich an _____ Mal.,ein,Ich erinnere mich an ein Mal.,,accusative,neuter,
1026,107,Er gibt _____ Beispiel im Unterricht.,ein,Er gibt ein Beispiel im Unterricht.,,accusative,neuter,
1027,107,Wir brauchen _____ Zeit für das Projekt.,eine,Wir brauchen eine Zeit für das Projekt.,,accusative,feminine,
1028,107,Er kennt _____ Frau gut.,eine,Er kennt eine Frau gut.,,accusative,feminine,
1029,107,Ich treffe _____ Menschen im Park.,einen,Ich treffe einen Menschen im Park.,,accusative,masculine,
1030,107,Sie liebt _____ Kind sehr.,ein,Sie liebt ein Kind sehr.,,accusative,neuter,
1031,107,Wir genießen _____ Tag am Strand.,einen,Wir genießen einen Tag am Strand.,,accusative,masculine,
1032,107,Sie sieht _____ Mann im Restaurant.,einen,Sie sieht einen Mann im Restaurant.,,accusative,masculine,
1033,107,Er beantwortet _____ Frage richtig.,eine,Er beantwortet eine Frage richtig.,,accusative,feminine,
1034,107,Sie kauft _____ Haus in der Stadt.,ein,Sie kauft ein Haus in der Stadt.,,accusative,neuter,
1035,107,Ich treffe _____ Leute am Bahnhof.,eine,Ich treffe eine Leute am Bahnhof.,,accusative,feminine,
1036,107,Sie erledigt _____ Arbeit schnell.,eine,Sie erledigt eine Arbeit schnell.,,accusative,feminine,
1037,107,Ich berechne _____ Prozent.,ein,Ich berechne ein Prozent.,,accusative,neuter,
1038,107,Er hält _____ Hand seines Freundes.,eine,Er hält eine Hand seines Freundes.,,accusative,feminine,
1039,107,Wir besuchen _____ Stadt am Wochenende.,eine,Wir besuchen eine Stadt am Wochenende.,,accusative,feminine,
1040,107,Ich rufe _____ Herrn am Telefon an.,einen,Ich rufe einen Herrn am Telefon an.,,accusative,masculine,
1041,107,Sie löst _____ Problem leicht.,ein,Sie löst ein Problem leicht.,,accusative,neuter,
1042,107,Er widmet sich _____ Jahrhundert der Geschichte.,einem,Er widmet sich einem Jahrhundert der Geschichte.,,dative,masculine,
1043,107,Sie gibt _____ Sohn ein Geschenk.,einem,Sie gibt einem Sohn ein Geschenk.,,dative,masculine,
1044,107,Er vertraut _____ Werk des Künstlers.,einem,Er vertraut einem Werk des Künstlers.,,dative,masculine,
1045,107,Ich folge _____ Richtung des Weges.,einer,Ich folge einer Richtung des Weges.,,dative,feminine,
1046,107,Ich helfe _____ Programm bei der Installation.,einem,Ich helfe einem Programm bei der Installation.,,dative,masculine,
1047,107,Er stellt sich _____ Angst.,einer,Er stellt sich einer Angst.,,dative,feminine,
1048,107,Sie folgt _____ Information auf der Website.,einer,Sie folgt einer Information auf der Website.,,dative,feminine,
1049,107,Wir danken _____ Kunst für ihre Schönheit.,einer,Wir danken einer Kunst für ihre Schönheit.,,dative,feminine,
1050,107,Er lauscht _____ Musik.,einer,Er lauscht einer Musik.,,dative,feminine,
1051,107,Ich widme mich _____ Beruf.,einem,Ich widme mich einem Beruf.,,dative,masculine,
1052,107,Wir folgen _____ Regel in der Schule.,einer,Wir folgen einer Regel in der Schule.,,dative,feminine,
1053,107,Er glaubt _____ Gott seiner Religion.,einem,Er glaubt einem Gott seiner Religion.,,dative,masculine,
1054,107,Ich nähere mich _____ Auto.,einem,Ich nähere mich einem Auto.,,dative,masculine,
1055,107,Er gibt _____ Tisch eine neue Farbe.,einem,Er gibt einem Tisch eine neue Farbe.,,dative,masculine,
1056,107,Ich folge _____ Spiel mit Spannung.,einem,Ich folge einem Spiel mit Spannung.,,dative,masculine,
1057,107,Er nähert sich _____ Licht am Ende des Tunnels.,einem,Er nähert sich einem Licht am Ende des Tunnels.,,dative,masculine,
1058,107,Sie hilft _____ Markt mit Werbung.,einem,Sie hilft einem Markt mit Werbung.,,dative,masculine,
1059,107,Er schenkt _____ Tochter eine Puppe.,einer,Er schenkt einer Tochter eine Puppe.,,dative,feminine,
1060,107,Ich folge _____ Straße bis zum Park.,einer,Ich folge einer Straße bis zum Park.,,dative,feminine,
1061,107,Ich widme _____ Minute meine volle Aufmerksamkeit.,einer,Ich widme einer Minute meine volle Aufmerksamkeit.,,dative,feminine,
1062,107,Er hilft _____ Gruppe mit den Aufgaben.,einer,Er hilft einer Gruppe mit den Aufgaben.,,dative,feminine,
1063,107,Ich vertraue _____ Wert dieser Information.,einem,Ich vertraue einem Wert dieser Information.,,dative,masculine,
1064,107,Sie wendet sich _____ Gesicht zu.,einem,Sie wendet sich einem Gesicht zu.,,dative,masculine,
1065,107,Wir danken _____ Sprache für ihre Schönheit.,einer,Wir danken einer Sprache für ihre Schönheit.,,dative,feminine,
1066,107,Ich nähere mich _____ Ort langsam.,einem,Ich nähere mich einem Ort langsam.,,dative,masculine,
1067,107,Er erinnert sich an _____ Moment.,einem,Er erinnert sich an einem Moment.,,dative,masculine,
1068,107,Sie folgt _____ Interesse des Publikums.,einem,Sie folgt einem Interesse des Publikums.,,dative,masculine,
1069,107,Ich stehe _____ Tür gegenüber.,einer,Ich stehe einer Tür gegenüber.,,dative,feminine,
1070,107,Der Lehrer hilft _____ Schüler.,einem,Der Lehrer hilft einem Schüler.,,dative,masculine,
1071,107,Ich folge _____ Text im Buch.,einem,Ich folge einem Text im Buch.,,dative,masculine,
1072,107,Er gibt _____ Stück eine neue Interpretation.,einem,Er gibt einem Stück eine neue Interpretation.,,dative,masculine,
1073,107,Wir helfen _____ Wohnungssuche.,einer,Wir helfen einer Wohnungssuche.,,dative,feminine,
1074,107,Er misst _____ Meter mit dem Lineal.,einem,Er misst einem Meter mit dem Lineal.,,dative,masculine,
1075,107,Ich nähere mich _____ Punkt im Text.,einem,Ich nähere mich einem Punkt im Text.,,dative,masculine,
1076,107,Ich passe mich _____ Situation an.,einer,Ich passe mich einer Situation an.,,dative,feminine,
1077,107,Ich danke _____ Lehrer für die Hilfe.,einem,Ich danke einem Lehrer für die Hilfe.,,dative,masculine,
1078,107,Er hilft _____ Stelle mit neuen Ideen.,einer,Er hilft einer Stelle mit neuen Ideen.,,dative,feminine,
1079,107,Ich passe _____ Form an.,einer,Ich passe einer Form an.,,dative,feminine,
1080,107,Wir widmen _____ Monat besondere Bedeutung.,einem,Wir widmen einem Monat besondere Bedeutung.,,dative,masculine,
1081,107,Sie hilft _____ Familie oft.,einer,Sie hilft einer Familie oft.,,dative,feminine,
1082,107,Ich genieße _____ Morgen mit einem Kaffee.,einem,Ich genieße einem Morgen mit einem Kaffee.,,dative,masculine,
1083,107,Wir danken _____ Abend für die Ruhe.,einem,Wir danken einem Abend für die Ruhe.,,dative,masculine,
1084,107,Ich vertraue _____ Sinn seiner Worte.,einem,Ich vertraue einem Sinn seiner Worte.,,dative,masculine,
1085,107,Er dient _____ Staat als Beamter.,einem,Er dient einem Staat als Beamter.,,dative,masculine,
1086,107,Sie nähert sich _____ Ziel langsam.,einem,Sie nähert sich einem Ziel langsam.,,dative,masculine,
1087,107,Wir bleiben _____ Thema treu.,einem,Wir bleiben einem Thema treu.,,dative,masculine,
1088,107,Ich danke _____ Person für ihre Hilfe.,einer,Ich danke einer Person für ihre Hilfe.,,dative,feminine,
1089,107,Er widmet sich _____ Nacht und den Sternen.,einer,Er widmet sich einer Nacht und den Sternen.,,dative,feminine,
1090,107,Ich gebe _____ Raum eine neue Farbe.,einem,Ich gebe einem Raum eine neue Farbe.,,dative,masculine,
1091,107,Sie folgt _____ Blick des Fotografen.,einem,Sie folgt einem Blick des Fotografen.,,dative,masculine,
1092,107,Er nähert sich _____ Platz vorsichtig.,einem,Er nähert sich einem Platz vorsichtig.,,dative,masculine,
1093,107,Ich vertraue _____ Zahl auf dem Formular.,einer,Ich vertraue einer Zahl auf dem Formular.,,dative,feminine,
1094,107,Ich glaube _____ Uhr nicht.,einer,Ich glaube einer Uhr nicht.,,dative,feminine,
1095,107,Ich sehe _____ Ende des Films entgegen.,einem,Ich sehe einem Ende des Films entgegen.,,dative,masculine,
1096,107,Er vertraut _____ Million an der Börse.,einer,Er vertraut einer Million an der Börse.,,dative,feminine,
1097,107,Wir helfen _____ Schule mit Spenden.,einer,Wir helfen einer Schule mit Spenden.,,dative,feminine,
1098,107,Ich widme _____ Woche meine Zeit.,einer,Ich widme einer Woche meine Zeit.,,dative,feminine,
1099,107,Sie gibt _____ Vater ein Geschenk.,einem,Sie gibt einem Vater ein Geschenk.,,dative,masculine,
1100,107,Ich folge _____ Seite im Buch.,einer,Ich folge einer Seite im Buch.,,dative,feminine,
