Nr,exercise,level_verben,Nr_verben,level_noun,level_goethe,level_routledge,question,answer,german,root_english,english,root_french,french,german_verb,english_verb,french_verb,german_noun,english_noun,french_noun,gender_english,gender_french
134,8,A2,200,A2,A2,B1,fliegen,der Flug,,"to fly, to travel by plane",the flight,"voler, voyager en avion",Loading...,fliegen,"to fly, to travel by plane","voler, voyager en avion",der Flug,the flight,Loading...,Masculine,Masculin
135,8,A2,,A1,A1,A1,danken,der Dank,,to thank,"the thanks, the gratitude",remercier,"les remerciements, la gratitude",danken,to thank,remercier,der Dank,"the thanks, the gratitude","les remerciements, la gratitude",Masculine,Masculin
136,8,A2,,A2,A1,B1,ausgehen,der Ausgang,,"to go out, to run out (e.g. of money)",the exit,"sortir, être à court (par exemple d'argent)",Loading...,ausgehen,"to go out, to run out (e.g. of money)","sortir, être à court (par exemple d'argent)",der Ausgang,the exit,Loading...,Masculine,Masculin
137,8,A2,117,A2,B1,A1,fernsehen,das Fernsehen,,to watch TV,the television,regarder la télévision,Loading...,fernsehen,to watch TV,regarder la télévision,das Fernsehen,the television,Loading...,Neuter,Neutre
138,8,A2,120,A2,A2,B1,feiern,die Feier,,to celebrate,the celebration,célébrer,la célébration,feiern,to celebrate,célébrer,die Feier,the celebration,la célébration,Feminine,Féminin
139,8,A2,148,A1,B1,A1,bauen,das Gebäude,,to build,the building,construire,Loading...,bauen,to build,construire,das Gebäude,the building,Loading...,Neuter,Neutre
140,8,A2,138,A1,B1,A1,kämpfen,der Kampf,,"to fight, to struggle",the fight,"se battre, lutter",Loading...,kämpfen,"to fight, to struggle","se battre, lutter",der Kampf,the fight,Loading...,Masculine,Masculin
141,8,A2,141,A2,B1,A1,vorstellen,die Vorstellung,,"to introduce, to present oneself (refl.), to move forward, to represent",the introduction,"introduire, se présenter (réfl.), représenter",Loading...,vorstellen,"to introduce, to present oneself (refl.), to move forward, to represent","introduire, se présenter (réfl.), représenter",die Vorstellung,the introduction,Loading...,Feminine,Féminin
142,8,A2,143,A1,B1,A1,entscheiden,die Entscheidung,,to decide,the decision,décider,Loading...,entscheiden,to decide,décider,die Entscheidung,the decision,Loading...,Feminine,Féminin
143,8,A2,180,A2,B1,A1,vergleichen,der Vergleich,,to compare,the comparison,comparer,la comparaison,vergleichen,to compare,comparer,der Vergleich,the comparison,la comparaison,Masculine,Masculin
144,8,A2,,A1,B1,A2,stimmen,die Stimmung,,"to be true, to vote, to tune","the mood, the atmosphere","être vrai, voter, s'accorder","l'ambiance, l'atmosphère",stimmen,"to be true, to vote, to tune","être vrai, voter, s'accorder",die Stimmung,"the mood, the atmosphere","l'ambiance, l'atmosphère",Feminine,Féminin
145,9,A1,45,A1,B1,A1,der Versuch,versuchen,,the attempt,"to try, to attempt",Loading...,"essayer, tenter",versuchen,"to try, to attempt","essayer, tenter",der Versuch,the attempt,Loading...,,
146,9,A1,50,A2,,A2,die Suche,suchen,,the search,"to seek, to search",Loading...,"chercher, rechercher",suchen,"to seek, to search","chercher, rechercher",die Suche,the search,Loading...,,
147,9,A1,12,A2,B1,A1,die Tat,tun,,"the action, the act, the deed","to do, to do something to someone",Loading...,"faire, faire quelque chose à quelqu'un",tun,"to do, to do something to someone","faire, faire quelque chose à quelqu'un",die Tat,"the action, the act, the deed",Loading...,,
148,9,A1,14,A2,B1,A1,der Gang,gehen,,the walk,"to go, to leave, to work, to function (coll.), to be going (Dat.), to be all right (Dat.)",Loading...,"aller, partir, fonctionner (familier)",gehen,"to go, to leave, to work, to function (coll.), to be going (Dat.), to be all right (Dat.)","aller, partir, fonctionner (familier)",der Gang,the walk,Loading...,,
149,9,A1,15,A2,,A1,die Sicht,sehen,,the sight,"to see, to realise",la vue,"voir, se rendre compte",sehen,"to see, to realise","voir, se rendre compte",die Sicht,the sight,la vue,,
150,9,A1,18,B1,,,der Glaube,glauben,,the belief,to believe,Loading...,croire,glauben,to believe,croire,der Glaube,the belief,Loading...,,
151,9,A1,34,B1,,,die Bekannte,kennen,,the acquaintance,"to know, to be acquainted with, to be familiar with",Loading...,"connaître, être familier avec",kennen,"to know, to be acquainted with, to be familiar with","connaître, être familier avec",die Bekannte,the acquaintance,Loading...,,
152,9,A1,35,A1,B1,A2,das Verständnis,verstehen,,the understanding,"to understand, to get along with someone",Loading...,"comprendre, s'entendre avec quelqu'un",verstehen,"to understand, to get along with someone","comprendre, s'entendre avec quelqu'un",das Verständnis,the understanding,Loading...,,
153,9,A1,36,A1,B1,A1,der Gedanke,denken,,the thought,"to think, to consider",Loading...,"penser, considérer",denken,"to think, to consider","penser, considérer",der Gedanke,the thought,Loading...,,
154,9,A1,36,B1,B1,,das Denkmal,denken,,the monument,"to think, to consider",Loading...,"penser, considérer",denken,"to think, to consider","penser, considérer",das Denkmal,the monument,Loading...,,
155,9,A1,44,A2,,A2,die Fahrt,fahren,,the drive,"to go (by vehicle), to leave, to drive",Loading...,"aller (en véhicule), partir, conduire",fahren,"to go (by vehicle), to leave, to drive","aller (en véhicule), partir, conduire",die Fahrt,the drive,Loading...,,
156,9,A1,48,B1,,,das Treffen,treffen,,the meeting,"to meet (refl.), to encounter (refl.), to hit, to affect",Loading...,"rencontrer (refl.), se rencontrer (refl.), heurter, frapper",treffen,"to meet (refl.), to encounter (refl.), to hit, to affect","rencontrer (refl.), se rencontrer (refl.), heurter, frapper",das Treffen,the meeting,Loading...,,
157,9,A1,56,A2,,A1,der Lauf,laufen,,the run,"to walk, to flow (of a fluid), to run (of an event)",la course,"marcher, couler (un fluide), se dérouler (un événement)",laufen,"to walk, to flow (of a fluid), to run (of an event)","marcher, couler (un fluide), se dérouler (un événement)",der Lauf,the run,la course,,
158,9,A1,58,A2,B1,A2,die Zahlung,zahlen,,the payment,"to pay (for something), to atone for",Loading...,"payer (pour quelque chose), expier",zahlen,"to pay (for something), to atone for","payer (pour quelque chose), expier",die Zahlung,the payment,Loading...,,
159,9,A1,61,B1,B1,B1,die Zeichnung,zeichnen,,the drawing,"to draw, to sketch",le dessin,"dessiner, esquisser",zeichnen,"to draw, to sketch","dessiner, esquisser",die Zeichnung,the drawing,le dessin,,
160,9,A1,68,A2,B1,,die Kosten,kosten,,the costs,"to cost, to taste",Loading...,coûter,kosten,"to cost, to taste",coûter,die Kosten,the costs,Loading...,,
161,9,A1,69,B2,B1,,die Wiederholung,wiederholen,,the repetition,to repeat,Loading...,répéter,wiederholen,to repeat,répéter,die Wiederholung,the repetition,Loading...,,
162,9,A1,80,A1,B1,A1,der Verlust,verlieren,,the loss,to lose,Loading...,perdre,verlieren,to lose,perdre,der Verlust,the loss,Loading...,,
163,9,A1,87,B2,,,die Bezahlung,bezahlen,,the payment,"to pay, to pay someone (transitive)",Loading...,"payer, payer quelqu'un (transitif)",bezahlen,"to pay, to pay someone (transitive)","payer, payer quelqu'un (transitif)",die Bezahlung,the payment,Loading...,,
164,9,A1,91,B1,,,das Lachen,lachen,,the laughter,to laugh,Loading...,rire,lachen,to laugh,rire,das Lachen,the laughter,Loading...,,
165,10,A1,12,A2,B1,A1,tun,die Tat,,"to do, to do something to someone","the action, the act, the deed","faire, faire quelque chose à quelqu'un",Loading...,tun,"to do, to do something to someone","faire, faire quelque chose à quelqu'un",die Tat,"the action, the act, the deed",Loading...,Feminine,Féminin
166,10,A1,14,A2,B1,A1,gehen,der Gang,,"to go, to leave, to work, to function (coll.), to be going (Dat.), to be all right (Dat.)",the walk,"aller, partir, fonctionner (familier)",Loading...,gehen,"to go, to leave, to work, to function (coll.), to be going (Dat.), to be all right (Dat.)","aller, partir, fonctionner (familier)",der Gang,the walk,Loading...,Masculine,Masculin
167,10,A1,15,A2,,A1,sehen,die Sicht,,"to see, to realise",the sight,"voir, se rendre compte",la vue,sehen,"to see, to realise","voir, se rendre compte",die Sicht,the sight,la vue,Feminine,Féminin
168,10,A1,18,B1,,,glauben,der Glaube,,to believe,the belief,croire,Loading...,glauben,to believe,croire,der Glaube,the belief,Loading...,Masculine,Masculin
169,10,A1,34,B1,,,kennen,die Bekannte,,"to know, to be acquainted with, to be familiar with",the acquaintance,"connaître, être familier avec",Loading...,kennen,"to know, to be acquainted with, to be familiar with","connaître, être familier avec",die Bekannte,the acquaintance,Loading...,Feminine,Féminin
170,10,A1,35,A1,B1,A2,verstehen,das Verständnis,,"to understand, to get along with someone",the understanding,"comprendre, s'entendre avec quelqu'un",Loading...,verstehen,"to understand, to get along with someone","comprendre, s'entendre avec quelqu'un",das Verständnis,the understanding,Loading...,Neuter,Neutre
171,10,A1,36,A1,B1,A1,denken,der Gedanke,,"to think, to consider",the thought,"penser, considérer",Loading...,denken,"to think, to consider","penser, considérer",der Gedanke,the thought,Loading...,Masculine,Masculin
172,10,A1,36,B1,B1,,denken,das Denkmal,,"to think, to consider",the monument,"penser, considérer",Loading...,denken,"to think, to consider","penser, considérer",das Denkmal,the monument,Loading...,Neuter,Neutre
173,10,A1,,A2,,A2,fahren,die Fahrt,,"to go (by vehicle), to leave, to drive",the drive,"aller (en véhicule), partir, conduire",Loading...,fahren,"to go (by vehicle), to leave, to drive","aller (en véhicule), partir, conduire",die Fahrt,the drive,Loading...,Feminine,Féminin
174,10,A1,,A1,B1,A1,versuchen,der Versuch,,"to try, to attempt",the attempt,"essayer, tenter",Loading...,versuchen,"to try, to attempt","essayer, tenter",der Versuch,the attempt,Loading...,Masculine,Masculin
175,10,A1,,B1,,,treffen,das Treffen,,"to meet (refl.), to encounter (refl.), to hit, to affect",the meeting,"rencontrer (refl.), se rencontrer (refl.), heurter, frapper",Loading...,treffen,"to meet (refl.), to encounter (refl.), to hit, to affect","rencontrer (refl.), se rencontrer (refl.), heurter, frapper",das Treffen,the meeting,Loading...,Neuter,Neutre
176,10,A1,,A2,,A2,suchen,die Suche,,"to seek, to search",the search,"chercher, rechercher",Loading...,suchen,"to seek, to search","chercher, rechercher",die Suche,the search,Loading...,Feminine,Féminin
177,10,A1,,A2,,A1,laufen,der Lauf,,"to walk, to flow (of a fluid), to run (of an event)",the run,"marcher, couler (un fluide), se dérouler (un événement)",la course,laufen,"to walk, to flow (of a fluid), to run (of an event)","marcher, couler (un fluide), se dérouler (un événement)",der Lauf,the run,la course,Masculine,Masculin
178,10,A1,,A2,B1,A2,zahlen,die Zahlung,,"to pay (for something), to atone for",the payment,"payer (pour quelque chose), expier",Loading...,zahlen,"to pay (for something), to atone for","payer (pour quelque chose), expier",die Zahlung,the payment,Loading...,Feminine,Féminin
179,10,A1,,B1,B1,B1,zeichnen,die Zeichnung,,"to draw, to sketch",the drawing,"dessiner, esquisser",le dessin,zeichnen,"to draw, to sketch","dessiner, esquisser",die Zeichnung,the drawing,le dessin,Feminine,Féminin
180,10,A1,,A2,B1,,kosten,die Kosten,,"to cost, to taste",the costs,coûter,Loading...,kosten,"to cost, to taste",coûter,die Kosten,the costs,Loading...,Plural,Pluriel
181,10,A1,,B2,B1,,wiederholen,die Wiederholung,,to repeat,the repetition,répéter,Loading...,wiederholen,to repeat,répéter,die Wiederholung,the repetition,Loading...,Feminine,Féminin
182,10,A1,,A1,B1,A1,verlieren,der Verlust,,to lose,the loss,perdre,Loading...,verlieren,to lose,perdre,der Verlust,the loss,Loading...,Masculine,Masculin
183,10,A1,,B2,,,bezahlen,die Bezahlung,,"to pay, to pay someone (transitive)",the payment,"payer, payer quelqu'un (transitif)",Loading...,bezahlen,"to pay, to pay someone (transitive)","payer, payer quelqu'un (transitif)",die Bezahlung,the payment,Loading...,Feminine,Féminin
184,10,A1,,B1,,,lachen,das Lachen,,to laugh,the laughter,rire,Loading...,lachen,to laugh,rire,das Lachen,the laughter,Loading...,Neuter,Neutre
185,11,A1,93,B1,B1,A2,die Änderung,ändern,,the change,to change (one's personality or behavior),Loading...,changer (sa personnalité ou son comportement),ändern,to change (one's personality or behavior),changer (sa personnalité ou son comportement),die Änderung,the change,Loading...,,
186,11,A1,96,A2,B1,A2,der Sitz,sitzen,,the seat,"to be seated, to stay, to fit (of clothing)",Loading...,"être assis, rester",sitzen,"to be seated, to stay, to fit (of clothing)","être assis, rester",der Sitz,the seat,Loading...,,
187,11,A1,,C1,,,die Sage,sagen,,the legend,"to say, to tell",Loading...,"dire, raconter",sagen,"to say, to tell","dire, raconter",die Sage,the legend,Loading...,,
188,11,A1,,C1,,,die Gabe,geben,,the gift,to give,Loading...,donner,geben,to give,donner,die Gabe,the gift,Loading...,,
189,11,A1,,C1,,,das Gehör,hören,,the hearing,"to hear, to listen to",Loading...,"entendre, écouter",hören,"to hear, to listen to","entendre, écouter",das Gehör,the hearing,Loading...,,
190,11,A1,,C1,,,die Bleibe,bleiben,,"the place to stay, the accommodation","to remain, to stay",l'hébergement,rester,bleiben,"to remain, to stay",rester,die Bleibe,"the place to stay, the accommodation",l'hébergement,,
191,11,A1,,C1,,,der Brauch,brauchen,,the custom,to need,la coutume,avoir besoin,brauchen,to need,avoir besoin,der Brauch,the custom,la coutume,,
192,11,A1,,A1,,A1,der Stand,stehen,,"the state, the situation","to stand, to be, to appear","l'état, la situation","être debout, apparaître",stehen,"to stand, to be, to appear","être debout, apparaître",der Stand,"the state, the situation","l'état, la situation",,
193,11,A1,,B2,,,der Auszug,ausziehen,,the extract,"to take something off, to undress, to pull out, to move out",l'extrait,"enlever quelque chose, se déshabiller, se retirer, sortir",ausziehen,"to take something off, to undress, to pull out, to move out","enlever quelque chose, se déshabiller, se retirer, sortir",der Auszug,the extract,l'extrait,,
194,11,A1,,C2+,,,der Zeiger,zeigen,,the pointer,"to show, to point at, to demonstrate",le pointeur,"montrer, pointer du doigt, démontrer",zeigen,"to show, to point at, to demonstrate","montrer, pointer du doigt, démontrer",der Zeiger,the pointer,le pointeur,,
195,11,A1,,A1,B1,B1,der Koch,kochen,,the cook,"to cook, to boil (to heat a liquid), to boil something",le cuisinier,"cuire, faire bouillir (chauffer un liquide), faire bouillir quelque chose",kochen,"to cook, to boil (to heat a liquid), to boil something","cuire, faire bouillir (chauffer un liquide), faire bouillir quelque chose",der Koch,the cook,le cuisinier,,
196,11,A1,,A2,B1,A2,die Schrift,schreiben,,"the writing, the script",to write,"l'écriture, le script",écrire,schreiben,to write,écrire,die Schrift,"the writing, the script","l'écriture, le script",,
197,11,A1,,C1,,,der Schreiber,schreiben,,the writer,to write,l'écrivain,écrire,schreiben,to write,écrire,der Schreiber,the writer,l'écrivain,,
198,11,A1,86,B1,,B1,die Öffnung,öffnen,,the opening,to open,Loading...,ouvrir,öffnen,to open,ouvrir,die Öffnung,the opening,Loading...,,
199,11,A1,,B2,,B1,die Benutzung,benutzen,,the use,to use (transitive),l'utilisation,utiliser (transitif),benutzen,to use (transitive),utiliser (transitif),die Benutzung,the use,l'utilisation,,
200,11,A1,,B1,B1,B1,der Schein,scheinen,,"the appearance, the shine","to shine, to seem (formal)","l'apparence, l'éclat","briller, paraître (formel)",scheinen,"to shine, to seem (formal)","briller, paraître (formel)",der Schein,"the appearance, the shine","l'apparence, l'éclat",,
201,11,A1,,C1,,,der Aufstand,aufstehen,,the uprising,"to get up, to be open (e.g. a window, door)",Loading...,"se lever, être ouvert (par exemple une fenêtre, une porte)",aufstehen,"to get up, to be open (e.g. a window, door)","se lever, être ouvert (par exemple une fenêtre, une porte)",der Aufstand,the uprising,Loading...,,
202,11,A1,,B2,,,die Bestimmung,bestimmen,,the determination,to determine,la détermination,déterminer,bestimmen,to determine,déterminer,die Bestimmung,the determination,la détermination,,
203,11,A1,5,B1,,A2,der Wille,wollen,,the will,to want,la volonté,vouloir,wollen,to want,vouloir,der Wille,the will,la volonté,,
