Nr,level,question,answer,german,adjective,gender,case,article
751,12,Der Chef gibt diesen _____ Dokumenten höchste Priorität.,wichtigen,Der Chef gibt diesen wichtigen Dokumenten höchste Priorität.,wichtig,Plural,Dativ,Demonstrative artikel
752,12,Ich vertraue diesen _____ Nachbarn vollkommen.,netten,Ich vertraue diesen netten Nachbarn vollkommen.,nett,Plural,Dativ,Demonstrative artikel
753,12,Ich kenne diese _____ Schülerin seit Jahren.,fleißige,Ich kenne diese fleißige Schülerin seit Jahren.,fleißig,Feminin,Akkusativ,Demonstrative artikel
754,12,Er besucht diese _____ Frau regelmäßig im Pflegeheim.,alte,Er besucht diese alte Frau regelmäßig im Pflegeheim.,alt,Feminin,Akkusativ,Demonstrative artikel
755,12,Wir haben diese _____ Künstlerin auf einer Ausstellung getroffen.,junge,Wir haben diese junge Künstlerin auf einer Ausstellung getroffen.,jung,Feminin,Akkusativ,Demonstrative artikel
756,12,Der Reporter interviewt diese _____ Politikerin.,wichtige,Der Reporter interviewt diese wichtige Politikerin.,wichtig,Feminin,Akkusativ,Demonstrative artikel
757,12,Ich lade diese _____ Nachbarin zu meinem Geburtstag ein.,nette,Ich lade diese nette Nachbarin zu meinem Geburtstag ein.,nett,Feminin,Akkusativ,Demonstrative artikel
758,12,Dieser _____ Schüler hat die beste Note bekommen.,fleißige,Dieser fleißige Schüler hat die beste Note bekommen.,fleißig,Maskulin,Nominativ,Demonstrative artikel
759,12,Dieser _____ Mann erzählt immer interessante Geschichten.,alte,Dieser alte Mann erzählt immer interessante Geschichten.,alt,Maskulin,Nominativ,Demonstrative artikel
760,12,Dieser _____ Künstler hat ein beeindruckendes Gemälde geschaffen.,junge,Dieser junge Künstler hat ein beeindruckendes Gemälde geschaffen.,jung,Maskulin,Nominativ,Demonstrative artikel
761,12,Dieser _____ Politiker hält heute eine Rede.,wichtige,Dieser wichtige Politiker hält heute eine Rede.,wichtig,Maskulin,Nominativ,Demonstrative artikel
762,12,Dieser _____ Nachbar hilft uns immer mit dem Garten.,nette,Dieser nette Nachbar hilft uns immer mit dem Garten.,nett,Maskulin,Nominativ,Demonstrative artikel
763,12,Ich helfe diesem _____ Schüler bei den Hausaufgaben.,fleißigen,Ich helfe diesem fleißigen Schüler bei den Hausaufgaben.,fleißig,Maskulin,Dativ,Demonstrative artikel
764,12,Sie spricht mit diesem _____ Mann über seine Vergangenheit.,alten,Sie spricht mit diesem alten Mann über seine Vergangenheit.,alt,Maskulin,Dativ,Demonstrative artikel
765,12,Er gratuliert diesem _____ Künstler zu seinem Erfolg.,jungen,Er gratuliert diesem jungen Künstler zu seinem Erfolg.,jung,Maskulin,Dativ,Demonstrative artikel
766,12,Wir danken diesem _____ Politiker für seine Rede.,wichtigen,Wir danken diesem wichtigen Politiker für seine Rede.,wichtig,Maskulin,Dativ,Demonstrative artikel
767,12,Ich vertraue diesem _____ Nachbarn vollkommen.,netten,Ich vertraue diesem netten Nachbarn vollkommen.,nett,Maskulin,Dativ,Demonstrative artikel
768,12,Dieses _____ Kind lernt jeden Tag neue Vokabeln.,fleißige,Dieses fleißige Kind lernt jeden Tag neue Vokabeln.,fleißig,Neutral,Nominativ,Demonstrative artikel
769,12,Dieses _____ Haus hat eine lange Geschichte.,alte,Dieses alte Haus hat eine lange Geschichte.,alt,Neutral,Nominativ,Demonstrative artikel
770,12,Dieses _____ Unternehmen wächst sehr schnell.,junge,Dieses junge Unternehmen wächst sehr schnell.,jung,Neutral,Nominativ,Demonstrative artikel
771,12,Dieses _____ Dokument muss unterschrieben werden.,wichtige,Dieses wichtige Dokument muss unterschrieben werden.,wichtig,Neutral,Nominativ,Demonstrative artikel
772,12,Dieses _____ Lächeln macht den Tag schöner.,nette,Dieses nette Lächeln macht den Tag schöner.,nett,Neutral,Nominativ,Demonstrative artikel
773,12,Ich sehe diese _____ Schüler jeden Tag in der Schule.,fleißigen,Ich sehe diese fleißigen Schüler jeden Tag in der Schule.,fleißig,Plural,Akkusativ,Demonstrative artikel
774,12,Wir besuchen diese _____ Häuser in unserer Stadt.,alten,Wir besuchen diese alten Häuser in unserer Stadt.,alt,Plural,Akkusativ,Demonstrative artikel
775,12,Sie hat diese _____ Künstler zur Ausstellung eingeladen.,jungen,Sie hat diese jungen Künstler zur Ausstellung eingeladen.,jung,Plural,Akkusativ,Demonstrative artikel
776,12,Der Chef überprüft diese _____ Dokumente sorgfältig.,wichtigen,Der Chef überprüft diese wichtigen Dokumente sorgfältig.,wichtig,Plural,Akkusativ,Demonstrative artikel
777,12,Wir treffen diese _____ Nachbarn oft im Park.,netten,Wir treffen diese netten Nachbarn oft im Park.,nett,Plural,Akkusativ,Demonstrative artikel
778,12,Trotz dieser _____ Schüler harter Arbeit gab es wenige Belohnungen.,fleißigen,Trotz dieser fleißigen Schüler harter Arbeit gab es wenige Belohnungen.,fleißig,Plural,Genitiv,Demonstrative artikel
779,12,Während dieser _____ Häuser Renovierung mussten viele Menschen umziehen.,alten,Während dieser alten Häuser Renovierung mussten viele Menschen umziehen.,alt,Plural,Genitiv,Demonstrative artikel
780,12,Aufgrund dieser _____ Künstler kreativen Ideen wurde die Ausstellung ein Erfolg.,jungen,Aufgrund dieser jungen Künstler kreativen Ideen wurde die Ausstellung ein Erfolg.,jung,Plural,Genitiv,Demonstrative artikel
781,12,Wegen dieser _____ Dokumente Bearbeitung verzögerte sich der Prozess.,wichtigen,Wegen dieser wichtigen Dokumente Bearbeitung verzögerte sich der Prozess.,wichtig,Plural,Genitiv,Demonstrative artikel
782,12,Ich bin mir der Hilfe dieser _____ Nachbarn bewusst.,netten,Ich bin mir der Hilfe dieser netten Nachbarn bewusst.,nett,Plural,Genitiv,Demonstrative artikel
783,12,Während dieses _____ Schülers Abwesenheit hat die Klasse weitergearbeitet.,fleißigen,Während dieses fleißigen Schülers Abwesenheit hat die Klasse weitergearbeitet.,fleißig,Maskulin,Genitiv,Demonstrative artikel
784,12,Trotz dieses _____ Mannes Warnungen ging er weiter.,alten,Trotz dieses alten Mannes Warnungen ging er weiter.,alt,Maskulin,Genitiv,Demonstrative artikel
785,12,Anlässlich dieses _____ Künstlers Ausstellung kamen viele Besucher.,jungen,Anlässlich dieses jungen Künstlers Ausstellung kamen viele Besucher.,jung,Maskulin,Genitiv,Demonstrative artikel
786,12,Wegen dieses _____ Politikers Entscheidung ändert sich die Gesetzgebung.,wichtigen,Wegen dieses wichtigen Politikers Entscheidung ändert sich die Gesetzgebung.,wichtig,Maskulin,Genitiv,Demonstrative artikel
787,12,Ich bin mir der Hilfe dieses _____ Nachbarn bewusst.,netten,Ich bin mir der Hilfe dieses netten Nachbarn bewusst.,nett,Maskulin,Genitiv,Demonstrative artikel
788,12,Ich kaufe dieses _____ Kind ein neues Buch.,fleißige,Ich kaufe dieses fleißige Kind ein neues Buch.,fleißig,Neutral,Akkusativ,Demonstrative artikel
789,12,Wir besichtigen dieses _____ Haus am Wochenende.,alte,Wir besichtigen dieses alte Haus am Wochenende.,alt,Neutral,Akkusativ,Demonstrative artikel
790,12,Er unterstützt dieses _____ Unternehmen finanziell.,junge,Er unterstützt dieses junge Unternehmen finanziell.,jung,Neutral,Akkusativ,Demonstrative artikel
791,12,Sie unterschreibt dieses _____ Dokument sofort.,wichtige,Sie unterschreibt dieses wichtige Dokument sofort.,wichtig,Neutral,Akkusativ,Demonstrative artikel
792,12,Ich bewundere dieses _____ Lächeln jeden Tag.,nette,Ich bewundere dieses nette Lächeln jeden Tag.,nett,Neutral,Akkusativ,Demonstrative artikel
793,12,Diese _____ Schüler bereiten sich auf die Prüfung vor.,fleißigen,Diese fleißigen Schüler bereiten sich auf die Prüfung vor.,fleißig,Plural,Nominativ,Demonstrative artikel
794,12,Diese _____ Häuser erzählen viele Geschichten.,alten,Diese alten Häuser erzählen viele Geschichten.,alt,Plural,Nominativ,Demonstrative artikel
795,12,Diese _____ Künstler haben beeindruckende Werke geschaffen.,jungen,Diese jungen Künstler haben beeindruckende Werke geschaffen.,jung,Plural,Nominativ,Demonstrative artikel
796,12,Diese _____ Dokumente müssen heute abgegeben werden.,wichtigen,Diese wichtigen Dokumente müssen heute abgegeben werden.,wichtig,Plural,Nominativ,Demonstrative artikel
797,12,Diese _____ Nachbarn helfen uns immer gern.,netten,Diese netten Nachbarn helfen uns immer gern.,nett,Plural,Nominativ,Demonstrative artikel
798,12,Ich helfe dieser _____ Schülerin bei den Matheaufgaben.,fleißigen,Ich helfe dieser fleißigen Schülerin bei den Matheaufgaben.,fleißig,Feminin,Dativ,Demonstrative artikel
799,12,Er schenkt dieser _____ Frau einen Blumenstrauß.,alten,Er schenkt dieser alten Frau einen Blumenstrauß.,alt,Feminin,Dativ,Demonstrative artikel
800,12,Wir gratulieren dieser _____ Künstlerin zu ihrem Erfolg.,jungen,Wir gratulieren dieser jungen Künstlerin zu ihrem Erfolg.,jung,Feminin,Dativ,Demonstrative artikel
801,12,Der Reporter stellt dieser _____ Politikerin eine Frage.,wichtigen,Der Reporter stellt dieser wichtigen Politikerin eine Frage.,wichtig,Feminin,Dativ,Demonstrative artikel
802,12,Ich vertraue dieser _____ Nachbarin voll und ganz.,netten,Ich vertraue dieser netten Nachbarin voll und ganz.,nett,Feminin,Dativ,Demonstrative artikel
803,13,Die Qualität keiner _____ Bücher ist zufriedenstellend.,neuen,Die Qualität keiner neuen Bücher ist zufriedenstellend.,neu,Plural,Genitiv,Negationsartikel
804,13,Die Geschichten keiner _____ Freunde wurden erzählt.,alten,Die Geschichten keiner alten Freunde wurden erzählt.,alt,Plural,Genitiv,Negationsartikel
805,13,Die Größe keiner _____ Taschen ist praktisch.,großen,Die Größe keiner großen Taschen ist praktisch.,groß,Plural,Genitiv,Negationsartikel
806,13,Die Ideen keiner _____ Kinder wurden berücksichtigt.,klugen,Die Ideen keiner klugen Kinder wurden berücksichtigt.,klug,Plural,Genitiv,Negationsartikel
807,13,Die Unterstützung keiner _____ Eltern war hilfreich.,stolzen,Die Unterstützung keiner stolzen Eltern war hilfreich.,stolz,Plural,Genitiv,Negationsartikel
808,13,Ich sehe keine _____ Bücher auf dem Tisch.,neuen,Ich sehe keine neuen Bücher auf dem Tisch.,neu,Plural,Akkusativ,Negationsartikel
809,13,Er kennt keine _____ Freunde in der Stadt.,alten,Er kennt keine alten Freunde in der Stadt.,alt,Plural,Akkusativ,Negationsartikel
810,13,Wir bringen keine _____ Taschen in den Raum.,großen,Wir bringen keine großen Taschen in den Raum.,groß,Plural,Akkusativ,Negationsartikel
811,13,Sie loben keine _____ Kinder für ihre Arbeit.,klugen,Sie loben keine klugen Kinder für ihre Arbeit.,klug,Plural,Akkusativ,Negationsartikel
812,13,Sie sehen keine _____ Eltern auf der Feier.,stolzen,Sie sehen keine stolzen Eltern auf der Feier.,stolz,Plural,Akkusativ,Negationsartikel
813,13,Ich gebe keinem _____ Auto eine Chance.,neuen,Ich gebe keinem neuen Auto eine Chance.,neu,Neutral,Dativ,Negationsartikel
814,13,Er hilft keinem _____ Haus bei der Renovierung.,alten,Er hilft keinem alten Haus bei der Renovierung.,alt,Neutral,Dativ,Negationsartikel
815,13,Sie widmet keinem _____ Fenster ihre Aufmerksamkeit.,großen,Sie widmet keinem großen Fenster ihre Aufmerksamkeit.,groß,Neutral,Dativ,Negationsartikel
816,13,Wir zeigen keinem _____ Kind unsere Lösung.,klugen,Wir zeigen keinem klugen Kind unsere Lösung.,klug,Neutral,Dativ,Negationsartikel
817,13,Sie schenkt keinem _____ Pferd einen Blick.,stolzen,Sie schenkt keinem stolzen Pferd einen Blick.,stolz,Neutral,Dativ,Negationsartikel
818,13,Ich finde keine _____ Wohnung in der Stadt.,neue,Ich finde keine neue Wohnung in der Stadt.,neu,Feminin,Akkusativ,Negationsartikel
819,13,Er kennt keine _____ Freundin aus der Schule.,alte,Er kennt keine alte Freundin aus der Schule.,alt,Feminin,Akkusativ,Negationsartikel
820,13,Sie trägt keine _____ Tasche zum Einkaufen.,große,Sie trägt keine große Tasche zum Einkaufen.,groß,Feminin,Akkusativ,Negationsartikel
821,13,Wir unterstützen keine _____ Tochter bei der Arbeit.,kluge,Wir unterstützen keine kluge Tochter bei der Arbeit.,klug,Feminin,Akkusativ,Negationsartikel
822,13,Sie füttert keine _____ Katze im Garten.,stolze,Sie füttert keine stolze Katze im Garten.,stolz,Feminin,Akkusativ,Negationsartikel
823,13,Die Idee keines _____ Freundes war überzeugend.,neuen,Die Idee keines neuen Freundes war überzeugend.,neu,Maskulin,Genitiv,Negationsartikel
824,13,Die Meinung keines _____ Mannes wurde gehört.,alten,Die Meinung keines alten Mannes wurde gehört.,alt,Maskulin,Genitiv,Negationsartikel
825,13,Die Entscheidung keines _____ Bruders war relevant.,großen,Die Entscheidung keines großen Bruders war relevant.,groß,Maskulin,Genitiv,Negationsartikel
826,13,Die Erklärung keines _____ Lehrers half uns weiter.,klugen,Die Erklärung keines klugen Lehrers half uns weiter.,klug,Maskulin,Genitiv,Negationsartikel
827,13,Die Unterstützung keines _____ Vaters war notwendig.,stolzen,Die Unterstützung keines stolzen Vaters war notwendig.,stolz,Maskulin,Genitiv,Negationsartikel
828,13,Die Farbe keiner _____ Tasche gefällt mir.,neuen,Die Farbe keiner neuen Tasche gefällt mir.,neu,Feminin,Genitiv,Negationsartikel
829,13,Die Meinung keiner _____ Freundin war hilfreich.,alten,Die Meinung keiner alten Freundin war hilfreich.,alt,Feminin,Genitiv,Negationsartikel
830,13,Die Größe keiner _____ Tasche war ausreichend.,großen,Die Größe keiner großen Tasche war ausreichend.,groß,Feminin,Genitiv,Negationsartikel
831,13,Die Unterstützung keiner _____n Tochter wurde benötigt.,kluge,Die Unterstützung keiner klugen Tochter wurde benötigt.,klug,Feminin,Genitiv,Negationsartikel
832,13,Die Aufmerksamkeit keiner _____n Katze war notwendig.,stolze,Die Aufmerksamkeit keiner stolzen Katze war notwendig.,stolz,Feminin,Genitiv,Negationsartikel
833,13,Kein _____ Auto steht auf dem Parkplatz.,neues,Kein neues Auto steht auf dem Parkplatz.,neu,Neutral,Nominativ,Negationsartikel
834,13,Kein _____ Haus wird renoviert.,altes,Kein altes Haus wird renoviert.,alt,Neutral,Nominativ,Negationsartikel
835,13,Kein _____ Fenster ist offen.,großes,Kein großes Fenster ist offen.,groß,Neutral,Nominativ,Negationsartikel
836,13,Kein _____ Kind hat die Antwort gefunden.,kluges,Kein kluges Kind hat die Antwort gefunden.,klug,Neutral,Nominativ,Negationsartikel
837,13,Kein _____ Pferd ist im Stall.,stolzes,Kein stolzes Pferd ist im Stall.,stolz,Neutral,Nominativ,Negationsartikel
838,13,Die Farbe keines _____ Autos ist so schön.,neuen,Die Farbe keines neuen Autos ist so schön.,neu,Neutral,Genitiv,Negationsartikel
839,13,Die Geschichte keines _____ Hauses wurde erzählt.,alten,Die Geschichte keines alten Hauses wurde erzählt.,alt,Neutral,Genitiv,Negationsartikel
840,13,Die Größe keines _____ Fensters war beeindruckend.,großen,Die Größe keines großen Fensters war beeindruckend.,groß,Neutral,Genitiv,Negationsartikel
841,13,Die Idee keines _____ Kindes war nützlich.,klugen,Die Idee keines klugen Kindes war nützlich.,klug,Neutral,Genitiv,Negationsartikel
842,13,Die Stärke keines _____ Pferdes war ausreichend.,stolzen,Die Stärke keines stolzen Pferdes war ausreichend.,stolz,Neutral,Genitiv,Negationsartikel
843,13,Kein _____ Hund bellt in der Nachbarschaft.,neuer,Kein neuer Hund bellt in der Nachbarschaft.,neu,Maskulin,Nominativ,Negationsartikel
844,13,Kein _____ Mann sitzt auf der Bank.,alter,Kein alter Mann sitzt auf der Bank.,alt,Maskulin,Nominativ,Negationsartikel
845,13,Kein _____ Vogel fliegt über das Haus.,großer,Kein großer Vogel fliegt über das Haus.,groß,Maskulin,Nominativ,Negationsartikel
846,13,Kein _____ Schüler hat die Antwort gewusst.,kluger,Kein kluger Schüler hat die Antwort gewusst.,klug,Maskulin,Nominativ,Negationsartikel
847,13,Kein _____ Vater hat protestiert.,stolzer,Kein stolzer Vater hat protestiert.,stolz,Maskulin,Nominativ,Negationsartikel
848,13,Ich helfe keiner _____ Freundin bei den Hausaufgaben.,neuen,Ich helfe keiner neuen Freundin bei den Hausaufgaben.,neu,Feminin,Dativ,Negationsartikel
849,13,Er gibt keiner _____ Freundin ein Geschenk.,alten,Er gibt keiner alten Freundin ein Geschenk.,alt,Feminin,Dativ,Negationsartikel
850,13,Du vertraust keiner _____ Tasche deine Wertsachen.,großen,Du vertraust keiner großen Tasche deine Wertsachen.,groß,Feminin,Dativ,Negationsartikel
851,13,Wir danken keiner _____n Tochter für die Idee.,kluge,Wir danken keiner klugen Tochter für die Idee.,klug,Feminin,Dativ,Negationsartikel
852,13,Sie schenkt keiner _____n Katze Aufmerksamkeit.,stolze,Sie schenkt keiner stolzen Katze Aufmerksamkeit.,stolz,Feminin,Dativ,Negationsartikel
853,13,Ich gebe keinen _____ Büchern eine Chance.,neuen,Ich gebe keinen neuen Büchern eine Chance.,neu,Plural,Dativ,Negationsartikel
854,13,Er hilft keinen _____ Freunden bei der Arbeit.,alten,Er hilft keinen alten Freunden bei der Arbeit.,alt,Plural,Dativ,Negationsartikel
855,13,Wir danken keinen _____ Taschen für die Hilfe.,großen,Wir danken keinen großen Taschen für die Hilfe.,groß,Plural,Dativ,Negationsartikel
856,13,Sie schenken keinen _____ Kindern Aufmerksamkeit.,klugen,Sie schenken keinen klugen Kindern Aufmerksamkeit.,klug,Plural,Dativ,Negationsartikel
857,13,Sie erzählen keinen _____ Eltern von ihrem Erfolg.,stolzen,Sie erzählen keinen stolzen Eltern von ihrem Erfolg.,stolz,Plural,Dativ,Negationsartikel
858,13,Keine _____ Bücher liegen auf dem Tisch.,neuen,Keine neuen Bücher liegen auf dem Tisch.,neu,Plural,Nominativ,Negationsartikel
859,13,Keine _____ Freunde besuchen uns heute.,alten,Keine alten Freunde besuchen uns heute.,alt,Plural,Nominativ,Negationsartikel
860,13,Keine _____ Taschen stehen im Flur.,großen,Keine großen Taschen stehen im Flur.,groß,Plural,Nominativ,Negationsartikel
861,13,Keine _____ Kinder spielen im Garten.,klugen,Keine klugen Kinder spielen im Garten.,klug,Plural,Nominativ,Negationsartikel
862,13,Keine _____ Eltern sind auf der Feier.,stolzen,Keine stolzen Eltern sind auf der Feier.,stolz,Plural,Nominativ,Negationsartikel
863,13,Keine _____ Wohnung ist verfügbar.,neue,Keine neue Wohnung ist verfügbar.,neu,Feminin,Nominativ,Negationsartikel
864,13,Keine _____ Freundin hat angerufen.,alte,Keine alte Freundin hat angerufen.,alt,Feminin,Nominativ,Negationsartikel
865,13,Keine _____ Tasche liegt auf dem Tisch.,große,Keine große Tasche liegt auf dem Tisch.,groß,Feminin,Nominativ,Negationsartikel
866,13,Keine _____ Tochter hat die Aufgabe gelöst.,kluge,Keine kluge Tochter hat die Aufgabe gelöst.,klug,Feminin,Nominativ,Negationsartikel
867,13,Keine _____ Katze ist im Garten.,stolze,Keine stolze Katze ist im Garten.,stolz,Feminin,Nominativ,Negationsartikel
868,13,Ich helfe keinem _____ Freund mit den Aufgaben.,neuen,Ich helfe keinem neuen Freund mit den Aufgaben.,neu,Maskulin,Dativ,Negationsartikel
869,13,Er gibt keinem _____ Mann Geld.,alten,Er gibt keinem alten Mann Geld.,alt,Maskulin,Dativ,Negationsartikel
870,13,Wir erzählen keinem _____ Bruder die Neuigkeiten.,großen,Wir erzählen keinem großen Bruder die Neuigkeiten.,groß,Maskulin,Dativ,Negationsartikel
871,13,Sie vertraut keinem _____ Lehrer ihre Probleme an.,klugen,Sie vertraut keinem klugen Lehrer ihre Probleme an.,klug,Maskulin,Dativ,Negationsartikel
872,13,Sie schenkt keinem _____ Vater Aufmerksamkeit.,stolzen,Sie schenkt keinem stolzen Vater Aufmerksamkeit.,stolz,Maskulin,Dativ,Negationsartikel
873,13,Ich habe keinen _____ Hund gesehen.,neuen,Ich habe keinen neuen Hund gesehen.,neu,Maskulin,Akkusativ,Negationsartikel
874,13,Er kennt keinen _____ Mann in der Stadt.,alten,Er kennt keinen alten Mann in der Stadt.,alt,Maskulin,Akkusativ,Negationsartikel
875,13,Sie hört keinen _____ Vogel singen.,großen,Sie hört keinen großen Vogel singen.,groß,Maskulin,Akkusativ,Negationsartikel
876,13,Wir fanden keinen _____ Schüler in der Klasse.,klugen,Wir fanden keinen klugen Schüler in der Klasse.,klug,Maskulin,Akkusativ,Negationsartikel
877,13,Sie hat keinen _____ Vater gesehen.,stolzen,Sie hat keinen stolzen Vater gesehen.,stolz,Maskulin,Akkusativ,Negationsartikel
878,13,Ich kaufe kein _____ Auto dieses Jahr.,neues,Ich kaufe kein neues Auto dieses Jahr.,neu,Neutral,Akkusativ,Negationsartikel
879,13,Er sieht kein _____ Haus am Horizont.,altes,Er sieht kein altes Haus am Horizont.,alt,Neutral,Akkusativ,Negationsartikel
880,13,Sie öffnet kein _____ Fenster im Zimmer.,großes,Sie öffnet kein großes Fenster im Zimmer.,groß,Neutral,Akkusativ,Negationsartikel
881,13,Wir bewundern kein _____ Kind auf der Bühne.,kluges,Wir bewundern kein kluges Kind auf der Bühne.,klug,Neutral,Akkusativ,Negationsartikel
882,13,Sie streichelt kein _____ Pferd auf der Wiese.,stolzes,Sie streichelt kein stolzes Pferd auf der Wiese.,stolz,Neutral,Akkusativ,Negationsartikel
883,14,Das ist das Buch der _____ Lehrerin.,klugen,Das ist das Buch der klugen Lehrerin.,klug,Feminin,Genitiv,Bestimmt
884,14,Das ist das Spielzeug der _____ Katze.,alten,Das ist das Spielzeug der alten Katze.,alt,Feminin,Genitiv,Bestimmt
885,14,Das ist das Gemälde der _____ Künstlerin.,schönen,Das ist das Gemälde der schönen Künstlerin.,schön,Feminin,Genitiv,Bestimmt
886,14,Der Erfolg der _____ Schülerin ist beeindruckend.,fleißigen,Der Erfolg der fleißigen Schülerin ist beeindruckend.,fleißig,Feminin,Genitiv,Bestimmt
887,14,Das Lob der _____ Nachbarin war herzlich.,freundlichen,Das Lob der freundlichen Nachbarin war herzlich.,freundlich,Feminin,Genitiv,Bestimmt
888,14,Das ist das Buch eines _____ Lehrers.,klugen,Das ist das Buch eines klugen Lehrers.,klug,Maskulin,Genitiv,Unbestimmt
889,14,Das ist das Spielzeug eines _____ Hundes.,alten,Das ist das Spielzeug eines alten Hundes.,alt,Maskulin,Genitiv,Unbestimmt
890,14,Das ist das Gemälde eines _____ Künstlers.,schönen,Das ist das Gemälde eines schönen Künstlers.,schön,Maskulin,Genitiv,Unbestimmt
891,14,Der Erfolg eines _____ Studenten ist bemerkenswert.,fleißigen,Der Erfolg eines fleißigen Studenten ist bemerkenswert.,fleißig,Maskulin,Genitiv,Unbestimmt
892,14,Das Lob eines _____ Kellners war herzlich.,freundlichen,Das Lob eines freundlichen Kellners war herzlich.,freundlich,Maskulin,Genitiv,Unbestimmt
893,14,Das sind die Bücher der _____ Kinder.,klugen,Das sind die Bücher der klugen Kinder.,klug,Plural,Genitiv,Bestimmt
894,14,Das sind die Spielsachen der _____ Katzen.,alten,Das sind die Spielsachen der alten Katzen.,alt,Plural,Genitiv,Bestimmt
895,14,Das sind die Gemälde der _____ Künstler.,schönen,Das sind die Gemälde der schönen Künstler.,schön,Plural,Genitiv,Bestimmt
896,14,Der Erfolg der _____ Schüler ist beeindruckend.,fleißigen,Der Erfolg der fleißigen Schüler ist beeindruckend.,fleißig,Plural,Genitiv,Bestimmt
897,14,Das Lob der _____ Nachbarn war herzlich.,freundlichen,Das Lob der freundlichen Nachbarn war herzlich.,freundlich,Plural,Genitiv,Bestimmt
898,14,Das ist das Buch des _____ Lehrers.,klugen,Das ist das Buch des klugen Lehrers.,klug,Maskulin,Genitiv,Bestimmt
899,14,Das ist das Haus des _____ Hundes.,alten,Das ist das Haus des alten Hundes.,alt,Maskulin,Genitiv,Bestimmt
900,14,Das ist das Bild des _____ Künstlers.,schönen,Das ist das Bild des schönen Künstlers.,schön,Maskulin,Genitiv,Bestimmt
901,14,Der Erfolg des _____ Studenten ist bewundernswert.,fleißigen,Der Erfolg des fleißigen Studenten ist bewundernswert.,fleißig,Maskulin,Genitiv,Bestimmt
902,14,Das Lob des _____ Kellners war wohlverdient.,freundlichen,Das Lob des freundlichen Kellners war wohlverdient.,freundlich,Maskulin,Genitiv,Bestimmt
903,14,Das ist das Buch einer _____ Lehrerin.,klugen,Das ist das Buch einer klugen Lehrerin.,klug,Feminin,Genitiv,Unbestimmt
904,14,Das ist das Spielzeug einer _____ Katze.,alten,Das ist das Spielzeug einer alten Katze.,alt,Feminin,Genitiv,Unbestimmt
905,14,Das ist das Gemälde einer _____ Künstlerin.,schönen,Das ist das Gemälde einer schönen Künstlerin.,schön,Feminin,Genitiv,Unbestimmt
906,14,Der Erfolg einer _____ Schülerin ist bewundernswert.,fleißigen,Der Erfolg einer fleißigen Schülerin ist bewundernswert.,fleißig,Feminin,Genitiv,Unbestimmt
907,14,Das Lob einer _____ Nachbarin war herzlich.,freundlichen,Das Lob einer freundlichen Nachbarin war herzlich.,freundlich,Feminin,Genitiv,Unbestimmt
908,14,Das sind die Bücher _____ Kinder.,kluger,Das sind die Bücher kluger Kinder.,klug,Plural,Genitiv,Ohne Artikel
909,14,Das sind die Spielsachen _____ Katzen.,alter,Das sind die Spielsachen alter Katzen.,alt,Plural,Genitiv,Ohne Artikel
910,14,Das sind die Gemälde _____ Künstler.,schöner,Das sind die Gemälde schöner Künstler.,schön,Plural,Genitiv,Ohne Artikel
911,14,Der Erfolg _____ Schüler ist bewundernswert.,fleißiger,Der Erfolg fleißiger Schüler ist bewundernswert.,fleißig,Plural,Genitiv,Ohne Artikel
912,14,Das Lob _____ Nachbarn war herzlich.,freundlicher,Das Lob freundlicher Nachbarn war herzlich.,freundlich,Plural,Genitiv,Ohne Artikel
913,14,Das ist das Buch _____ Kindes.,klugen,Das ist das Buch klugen Kindes.,klug,Neutral,Genitiv,Ohne Artikel
914,14,Das ist das Spielzeug _____ Buches.,alten,Das ist das Spielzeug alten Buches.,alt,Neutral,Genitiv,Ohne Artikel
915,14,Das ist das Gemälde _____ Bildes.,schönen,Das ist das Gemälde schönen Bildes.,schön,Neutral,Genitiv,Ohne Artikel
916,14,Der Erfolg _____ Mädchens ist bewundernswert.,fleißigen,Der Erfolg fleißigen Mädchens ist bewundernswert.,fleißig,Neutral,Genitiv,Ohne Artikel
917,14,Das Lob _____ Lächelns war herzlich.,freundlichen,Das Lob freundlichen Lächelns war herzlich.,freundlich,Neutral,Genitiv,Ohne Artikel
918,14,Das ist das Buch eines _____ Kindes.,klugen,Das ist das Buch eines klugen Kindes.,klug,Neutral,Genitiv,Unbestimmt
919,14,Das ist das Spielzeug eines _____ Buches.,alten,Das ist das Spielzeug eines alten Buches.,alt,Neutral,Genitiv,Unbestimmt
920,14,Das ist das Gemälde eines _____ Bildes.,schönen,Das ist das Gemälde eines schönen Bildes.,schön,Neutral,Genitiv,Unbestimmt
921,14,Der Erfolg eines _____ Mädchens ist bemerkenswert.,fleißigen,Der Erfolg eines fleißigen Mädchens ist bemerkenswert.,fleißig,Neutral,Genitiv,Unbestimmt
922,14,Das Lob eines _____ Lächelns war herzlich.,freundlichen,Das Lob eines freundlichen Lächelns war herzlich.,freundlich,Neutral,Genitiv,Unbestimmt
923,14,Das ist das Buch des _____ Kindes.,klugen,Das ist das Buch des klugen Kindes.,klug,Neutral,Genitiv,Bestimmt
924,14,Das ist das Spielzeug des _____ Buches.,alten,Das ist das Spielzeug des alten Buches.,alt,Neutral,Genitiv,Bestimmt
925,14,Das ist das Gemälde des _____ Bildes.,schönen,Das ist das Gemälde des schönen Bildes.,schön,Neutral,Genitiv,Bestimmt
