Nr,level,reflx,verb,preposition,case,english_verb,german,english_sentence,answer,question
844,12,,die Teilnahme,an,,,Seine Teilnahme an dem Wettbewerb brachte ihm Anerkennung.,His participation in the competition brought him recognition.,an,Seine Teilnahme _____ dem Wettbewerb brachte ihm Anerkennung.
845,12,,der Zweifel,an,,,Der Zweifel an ihrer Aussage wuchs.,The doubt about her statement grew.,an,Der Zweifel _____ ihrer Aussage wuchs.
846,12,,der Zweifel,an,,,Er äußerte Zweifel an der Richtigkeit der Ergebnisse.,He expressed doubts about the accuracy of the results.,an,Er äußerte Zweifel _____ der Richtigkeit der Ergebnisse.
847,12,,das Vertrauen,auf,,,Das Vertrauen auf seine Erfahrung ist groß.,The trust in his experience is strong.,auf,Das Vertrauen _____ seine Erfahrung ist groß.
848,12,,das Vertrauen,auf,,,Ihr Vertrauen auf das Team motiviert alle.,Her trust in the team motivates everyone.,auf,Ihr Vertrauen _____ das Team motiviert alle.
849,12,,die Übersetzung,in,,,Die Übersetzung in mehrere Sprachen ist geplant.,The translation into several languages is planned.,in,Die Übersetzung _____ mehrere Sprachen ist geplant.
850,12,,die Übersetzung,in,,,Seine Übersetzung in das Deutsche war sehr präzise.,His translation into German was very precise.,in,Seine Übersetzung _____ das Deutsche war sehr präzise.
851,12,,die Verwandlung,in,,,Die Verwandlung in einen modernen Raum war beeindruckend.,The transformation into a modern space was impressive.,in,Die Verwandlung _____ einen modernen Raum war beeindruckend.
852,12,,die Verwandlung,in,,,Die Verwandlung in eine grüne Stadt ist ein großes Ziel.,The transformation into a green city is a big goal.,in,Die Verwandlung _____ eine grüne Stadt ist ein großes Ziel.
853,12,,der Traum,von,,,Der Traum von einer besseren Welt verbindet uns alle.,The dream of a better world connects us all.,von,Der Traum _____ einer besseren Welt verbindet uns alle.
854,12,,der Traum,von,,,Ihr Traum von einem eigenen Haus wurde wahr.,Her dream of owning a house came true.,von,Ihr Traum _____ einem eigenen Haus wurde wahr.
855,12,,die Überzeugung,von,,,Die Überzeugung von der Notwendigkeit der Reform war stark.,The conviction of the need for reform was strong.,von,Die Überzeugung _____ der Notwendigkeit der Reform war stark.
856,12,,die Überzeugung,von,,,Seine Überzeugung von ihrer Ehrlichkeit blieb unerschütterlich.,His conviction of her honesty remained unwavering.,von,Seine Überzeugung _____ ihrer Ehrlichkeit blieb unerschütterlich.
857,12,,die Erwartung,von,,,Die Erwartung von hohen Ergebnissen setzte alle unter Druck.,The expectation of high results put everyone under pressure.,von,Die Erwartung _____ hohen Ergebnissen setzte alle unter Druck.
858,12,,die Erwartung,von,,,Ihre Erwartung von einer schnellen Antwort wurde erfüllt.,Her expectation of a quick response was met.,von,Ihre Erwartung _____ einer schnellen Antwort wurde erfüllt.
859,12,,die Angst,vor,,,Die Angst vor Veränderung hielt ihn zurück.,The fear of change held him back.,vor,Die Angst _____ Veränderung hielt ihn zurück.
860,12,,die Angst,vor,,,Ihre Angst vor dem Scheitern war unbegründet.,Her fear of failure was unfounded.,vor,Ihre Angst _____ dem Scheitern war unbegründet.
861,12,,die Furcht,vor,,,Die Furcht vor der Prüfung ließ ihn nicht schlafen.,The fear of the exam kept him awake.,vor,Die Furcht _____ der Prüfung ließ ihn nicht schlafen.
862,12,,die Furcht,vor,,,Seine Furcht vor Ablehnung war sichtbar.,His fear of rejection was visible.,vor,Seine Furcht _____ Ablehnung war sichtbar.
863,12,,die Warnung,vor,,,Die Warnung vor dem Sturm kam rechtzeitig.,The warning about the storm came in time.,vor,Die Warnung _____ dem Sturm kam rechtzeitig.
864,12,,die Warnung,vor,,,Ihre Warnung vor den Gefahren wurde ernst genommen.,Her warning about the dangers was taken seriously.,vor,Ihre Warnung _____ den Gefahren wurde ernst genommen.
865,12,,der Glückwunsch,zu,,,Der Glückwunsch zu ihrem Erfolg war herzlich.,The congratulations on her success were heartfelt.,zu,Der Glückwunsch _____ ihrem Erfolg war herzlich.
866,12,,der Glückwunsch,zu,,,Sein Glückwunsch zu ihrer Hochzeit war sehr persönlich.,His congratulations on her wedding were very personal.,zu,Sein Glückwunsch _____ ihrer Hochzeit war sehr persönlich.
867,12,,die Einladung,zu,,,Die Einladung zu der Feier wurde freudig angenommen.,The invitation to the party was happily accepted.,zu,Die Einladung _____ der Feier wurde freudig angenommen.
868,12,,die Einladung,zu,,,Ihre Einladung zu dem Event überraschte alle.,Her invitation to the event surprised everyone.,zu,Ihre Einladung _____ dem Event überraschte alle.
869,12,,die Gratulation,zu,,,Die Gratulation zu seinem Sieg war ehrlich gemeint.,The congratulations on his victory were sincere.,zu,Die Gratulation _____ seinem Sieg war ehrlich gemeint.
870,12,,die Gratulation,zu,,,Ihre Gratulation zu seiner Beförderung war herzlich.,Her congratulations on his promotion were heartfelt.,zu,Ihre Gratulation _____ seiner Beförderung war herzlich.
871,12,,die Fähigkeit,zu,,,Die Fähigkeit zu schneller Analyse ist ein Vorteil.,The ability for quick analysis is an advantage.,zu,Die Fähigkeit _____ schneller Analyse ist ein Vorteil.
872,12,,die Fähigkeit,zu,,,Ihre Fähigkeit zu kreativen Lösungen beeindruckte viele.,Her ability for creative solutions impressed many.,zu,Ihre Fähigkeit _____ kreativen Lösungen beeindruckte viele.
873,12,,der Beitrag,zu,,,Der Beitrag zu dem Projekt war entscheidend.,The contribution to the project was crucial.,zu,Der Beitrag _____ dem Projekt war entscheidend.
874,12,,der Beitrag,zu,,,Sein Beitrag zu der Diskussion brachte neue Perspektiven.,His contribution to the discussion brought new perspectives.,zu,Sein Beitrag _____ der Diskussion brachte neue Perspektiven.
875,12,,der Rat,zu,,,Der Rat zu mehr Geduld war hilfreich.,The advice for more patience was helpful.,zu,Der Rat _____ mehr Geduld war hilfreich.
876,12,,der Rat,zu,,,Ihr Rat zu diesem Thema wurde ernst genommen.,Her advice on this topic was taken seriously.,zu,Ihr Rat _____ diesem Thema wurde ernst genommen.
877,12,,die Wahl,zu,,,Die Wahl zu ihrem Vorsitzenden wurde einstimmig getroffen.,The election as their chairperson was unanimous.,zu,Die Wahl _____ ihrem Vorsitzenden wurde einstimmig getroffen.
878,12,,die Wahl,zu,,,Seine Wahl zu diesem Posten überraschte viele.,His election to this position surprised many.,zu,Seine Wahl _____ diesem Posten überraschte viele.
879,13,,ärgerlich,über,,annoyed about,,,,
880,13,,aufgeregt,über,,excited about,,,,
881,13,,froh,über,,happy about,,,,
882,13,,glücklich,über,,happy about,,,,
883,13,,traurig,über,,sad about,,,,
884,13,,wütend,über,,angry about,,,,
885,13,,konzentriert,auf,,focused on,,,,
886,13,,stolz,auf,,proud of,,,,
887,13,,wütend,auf,,angry at,,,,
888,13,,neugierig,auf,,curious about,,,,
889,13,,gespannt,auf,,excited about,,,,
890,13,,verantwortlich,für,,responsible for,,,,
891,13,,bekannt,bei,,known to,,,,
892,13,,beliebt,bei,,popular with,,,,
893,13,,befreundet,mit,,friends with,,,,
894,13,,verheiratet,mit,,married to,,,,
895,13,,fertig,mit,,finished with,,,,
896,13,,verrückt,nach,,crazy about,,,,
897,13,,gewöhnt,an,,used to,,,,
898,13,,schuldig,an,,guilty of,,,,
899,13,,begeistert,von,,enthusiastic about,,,,
900,13,,enttäuscht,von,,disappointed by,,,,
901,13,,abhängig,von,,dependent on,,,,
902,13,,frei,von,,free from,,,,
903,13,,müde,von,,tired from,,,,
904,13,,bereit,zu,,ready for,,,,
905,13,,fähig,zu,,capable of,,,,
906,14,,ärgerlich,über,,,Ich bin ärgerlich über die ständigen Verspätungen.,I am annoyed about the constant delays.,über,Ich bin ärgerlich _____ die ständigen Verspätungen.
907,14,,ärgerlich,über,,,Sie ist ärgerlich über den Fehler im Bericht.,She is annoyed about the mistake in the report.,über,Sie ist ärgerlich _____ den Fehler im Bericht.
908,14,,aufgeregt,über,,,Er ist aufgeregt über die Neuigkeiten.,He is excited about the news.,über,Er ist aufgeregt _____ die Neuigkeiten.
909,14,,aufgeregt,über,,,Die Kinder sind aufgeregt über das bevorstehende Fest.,The children are excited about the upcoming celebration.,über,Die Kinder sind aufgeregt _____ das bevorstehende Fest.
910,14,,froh,über,,,Ich bin froh über deine Entscheidung.,I am happy about your decision.,über,Ich bin froh _____ deine Entscheidung.
911,14,,froh,über,,,Sie ist froh über die positive Entwicklung.,She is happy about the positive development.,über,Sie ist froh _____ die positive Entwicklung.
912,14,,glücklich,über,,,Wir sind glücklich über die Geburt unseres Kindes.,We are happy about the birth of our child.,über,Wir sind glücklich _____ die Geburt unseres Kindes.
913,14,,glücklich,über,,,Er ist glücklich über die Unterstützung seiner Freunde.,He is happy about the support of his friends.,über,Er ist glücklich _____ die Unterstützung seiner Freunde.
914,14,,traurig,über,,,Ich bin traurig über das Ende unserer Freundschaft.,I am sad about the end of our friendship.,über,Ich bin traurig _____ das Ende unserer Freundschaft.
915,14,,traurig,über,,,Sie ist traurig über den Verlust ihres Haustiers.,She is sad about the loss of her pet.,über,Sie ist traurig _____ den Verlust ihres Haustiers.
916,14,,wütend,über,,,Er ist wütend über die ungerechte Behandlung.,He is angry about the unfair treatment.,über,Er ist wütend _____ die ungerechte Behandlung.
917,14,,wütend,über,,,Sie ist wütend über den schlechten Kundenservice.,She is angry about the poor customer service.,über,Sie ist wütend _____ den schlechten Kundenservice.
918,14,,konzentriert,auf,,,Sie ist völlig konzentriert auf ihre Arbeit.,She is completely focused on her work.,auf,Sie ist völlig konzentriert _____ ihre Arbeit.
919,14,,konzentriert,auf,,,"Er bleibt konzentriert auf sein Ziel, trotz der Ablenkungen.",He remains focused on his goal despite the distractions.,auf,"Er bleibt konzentriert _____ sein Ziel, trotz der Ablenkungen."
920,14,,stolz,auf,,,"Ich bin stolz auf meinen Bruder, der die Prüfung bestanden hat.","I am proud of my brother, who passed the exam.",auf,"Ich bin stolz _____ meinen Bruder, der die Prüfung bestanden hat."
921,14,,stolz,auf,,,Sie ist stolz auf ihr Team nach dem erfolgreichen Projektabschluss.,She is proud of her team after the successful project completion.,auf,Sie ist stolz _____ ihr Team nach dem erfolgreichen Projektabschluss.
922,14,,wütend,auf,,,Er ist wütend auf seinen Kollegen wegen des Fehlers.,He is angry at his colleague because of the mistake.,auf,Er ist wütend _____ seinen Kollegen wegen des Fehlers.
923,14,,wütend,auf,,,Sie ist wütend auf die Behörden wegen der Verzögerung.,She is angry at the authorities because of the delay.,auf,Sie ist wütend _____ die Behörden wegen der Verzögerung.
924,14,,neugierig,auf,,,Ich bin neugierig auf die Ergebnisse der Untersuchung.,I am curious about the results of the investigation.,auf,Ich bin neugierig _____ die Ergebnisse der Untersuchung.
925,14,,neugierig,auf,,,Die Kinder sind neugierig auf das neue Spielzeug.,The children are curious about the new toy.,auf,Die Kinder sind neugierig _____ das neue Spielzeug.
926,14,,gespannt,auf,,,Wir sind gespannt auf die Präsentation der neuen Produkte.,We are excited about the presentation of the new products.,auf,Wir sind gespannt _____ die Präsentation der neuen Produkte.
927,14,,gespannt,auf,,,Er ist gespannt auf den Ausgang des Wettbewerbs.,He is excited about the outcome of the competition.,auf,Er ist gespannt _____ den Ausgang des Wettbewerbs.
928,14,,verantwortlich,für,,,Er ist verantwortlich für die Organisation der Konferenz.,He is responsible for organizing the conference.,für,Er ist verantwortlich _____ die Organisation der Konferenz.
929,14,,verantwortlich,für,,,Sie ist verantwortlich für das gesamte Marketingteam.,She is responsible for the entire marketing team.,für,Sie ist verantwortlich _____ das gesamte Marketingteam.
930,14,,bekannt,bei,,,Er ist bekannt bei seinen Kollegen für seine Zuverlässigkeit.,He is known by his colleagues for his reliability.,bei,Er ist bekannt _____ seinen Kollegen für seine Zuverlässigkeit.
931,14,,bekannt,bei,,,Das Restaurant ist bekannt bei Touristen für seine gute Küche.,The restaurant is known among tourists for its good cuisine.,bei,Das Restaurant ist bekannt _____ Touristen für seine gute Küche.
932,14,,beliebt,bei,,,Sie ist beliebt bei ihren Schülern wegen ihrer Geduld.,She is popular with her students because of her patience.,bei,Sie ist beliebt _____ ihren Schülern wegen ihrer Geduld.
933,14,,beliebt,bei,,,Das Hotel ist beliebt bei Familien wegen seiner Kinderfreundlichkeit.,The hotel is popular with families because of its child-friendliness.,bei,Das Hotel ist beliebt _____ Familien wegen seiner Kinderfreundlichkeit.
934,14,,befreundet,mit,,,Er ist seit Jahren mit seinem Nachbarn befreundet.,He has been friends with his neighbor for years.,mit,Er ist seit Jahren _____ seinem Nachbarn befreundet.
935,14,,befreundet,mit,,,Sie ist eng mit ihrer ehemaligen Kollegin befreundet.,She is close friends with her former colleague.,mit,Sie ist eng _____ ihrer ehemaligen Kollegin befreundet.
936,14,,verheiratet,mit,,,Er ist seit zehn Jahren mit seiner Jugendliebe verheiratet.,He has been married to his childhood sweetheart for ten years.,mit,Er ist seit zehn Jahren _____ seiner Jugendliebe verheiratet.
937,14,,verheiratet,mit,,,Sie ist glücklich mit einem Lehrer verheiratet.,She is happily married to a teacher.,mit,Sie ist glücklich _____ einem Lehrer verheiratet.
938,14,,fertig,mit,,,Ich bin endlich fertig mit meiner Arbeit.,I am finally finished with my work.,mit,Ich bin endlich fertig _____ meiner Arbeit.
939,14,,fertig,mit,,,Er ist fertig mit der Vorbereitung für die Präsentation.,He is finished with the preparation for the presentation.,mit,Er ist fertig _____ der Vorbereitung für die Präsentation.
940,14,,verrückt,nach,,,Sie ist verrückt nach Schokolade.,She is crazy about chocolate.,nach,Sie ist verrückt _____ Schokolade.
941,14,,verrückt,nach,,,Er ist verrückt nach alten Autos.,He is crazy about vintage cars.,nach,Er ist verrückt _____ alten Autos.
942,14,,gewöhnt,an,,,Ich bin an die langen Arbeitszeiten gewöhnt.,I am used to the long working hours.,an,Ich bin _____ die langen Arbeitszeiten gewöhnt.
943,14,,gewöhnt,an,,,Sie ist an das Leben in der Großstadt gewöhnt.,She is used to life in the big city.,an,Sie ist _____ das Leben in der Großstadt gewöhnt.
944,14,,schuldig,an,,,Er ist schuldig an dem Unfall.,He is guilty of the accident.,an,Er ist schuldig _____ dem Unfall.
945,14,,schuldig,an,,,Sie wurde schuldig an der Verzögerung befunden.,She was found guilty of the delay.,an,Sie wurde schuldig _____ der Verzögerung befunden.
946,14,,begeistert,von,,,Ich bin begeistert von ihrer Kreativität.,I am impressed by her creativity.,von,Ich bin begeistert _____ ihrer Kreativität.
947,14,,begeistert,von,,,Er war begeistert von der Show gestern Abend.,He was excited about the show last night.,von,Er war begeistert _____ der Show gestern Abend.
948,14,,enttäuscht,von,,,Ich bin enttäuscht von dem Ergebnis.,I am disappointed with the result.,von,Ich bin enttäuscht _____ dem Ergebnis.
949,14,,enttäuscht,von,,,Sie war enttäuscht von seinem Verhalten.,She was disappointed with his behavior.,von,Sie war enttäuscht _____ seinem Verhalten.
950,14,,abhängig,von,,,Er ist abhängig von der Unterstützung seiner Familie.,He is dependent on his family's support.,von,Er ist abhängig _____ der Unterstützung seiner Familie.
951,14,,abhängig,von,,,Die Firma ist abhängig von den Marktbedingungen.,The company is dependent on market conditions.,von,Die Firma ist abhängig _____ den Marktbedingungen.
952,14,,frei,von,,,Das Produkt ist frei von chemischen Zusatzstoffen.,The product is free from chemical additives.,von,Das Produkt ist frei _____ chemischen Zusatzstoffen.
953,14,,frei,von,,,Sie ist endlich frei von ihrer Angst vor Versagen.,She is finally free from her fear of failure.,von,Sie ist endlich frei _____ ihrer Angst vor Versagen.
954,14,,müde,von,,,Ich bin müde von der langen Reise.,I am tired from the long journey.,von,Ich bin müde _____ der langen Reise.
955,14,,müde,von,,,Er ist müde von der anstrengenden Arbeit.,He is tired from the exhausting work.,von,Er ist müde _____ der anstrengenden Arbeit.
956,14,,bereit,zu,,,Sie ist bereit zu neuen Herausforderungen.,She is ready for new challenges.,zu,Sie ist bereit _____ neuen Herausforderungen.
957,14,,bereit,zu,,,Er ist bereit zu einem Kompromiss.,He is ready for a compromise.,zu,Er ist bereit _____ einem Kompromiss.
958,14,,fähig,zu,,,Er ist fähig zu großen Leistungen.,He is capable of great achievements.,zu,Er ist fähig _____ großen Leistungen.
959,14,,fähig,zu,,,Sie ist fähig zu einer schnellen Problemlösung.,She is capable of quick problem-solving.,zu,Sie ist fähig _____ einer schnellen Problemlösung.
960,15,,abbringen,von,D,to dissuade from,,,von,
961,15,,abhängen,von,D,to depend on,,,von,
962,15,,adressieren,an,A,to address to,,,an,
963,15,,ängstigen,um,A,to worry about,,,um,
964,15,,ängstigen,vor,D,to be afraid of,,,vor,
965,15,,anpassen,an,A,to adjust to,,,an,
966,15,,anregen,zu,D,to encourage to,,,zu,
967,15,,ansehen,als,A,to regard as,,,,
968,15,,auffordern,zu,D,to invite to,,,zu,
969,15,,aufregen,über,A,to get upset about,,,über,
970,15,,auseinandersetzen,mit,D,to deal with,,,mit,
971,15,,ausgeben,für,A,to spend for,,,für,
972,15,,ausgehen,von,D,"to assume, to come from",,,,
973,15,,basieren,auf,D,to be based on,,,auf,
974,15,,befassen,mit,D,to deal with,,,mit,
975,15,,befreien,von,D,to free from,,,von,
976,15,,beharren,auf,D,to insist on,,,auf,
977,15,,beklagen,über,A,to complain about,,,über,
978,15,,beklagen,bei,D,to complain to,,,bei,
979,15,,beruhen,auf,D,to be based on,,,auf,
980,15,,bezeichnen,als,A,to designate as,,,als,
981,15,sich,beziehen,auf,A,to refer to,,,auf,
982,15,,debattieren,über,A,to debate about,,,über,
983,15,,debattieren,mit,D,to debate with,,,mit,
984,15,,demonstrieren,für,A,to demonstrate for,,,für,
985,15,,demonstrieren,gegen,A,to demonstrate against,,,gegen,
986,15,,dienen,zu,D,to serve as,,,zu,
987,15,,dienen,als,D,to serve as,,,als,
988,15,,eignen,für,A,to be suitable for,,,für,
989,15,,eignen,zu,D,to be suitable for,,,zu,
990,15,,einigen,auf,A,to agree on,,,auf,
991,15,,einigen,mit,D,to come to an agreement with,,,mit,
992,15,,einsetzen,für,A,to advocate for,,,für,
993,15,,ekeln,vor,D,to be disgusted by,,,vor,
994,15,sich,entschliessen,zu,D,to resolve to,,,zu,
995,15,,erfahren,von,D,to learn about,Ich habe von dem Unfall erfahren.,I heard about the accident.,,
996,15,,erkennen,an,D,to recognize by,,,,
997,15,,erkranken,an,D,to fall ill from,,,an,
998,15,sich,erkundigen,nach,D,"to ask after, to inquire about",,,nach,
999,15,,erkundigen,bei,D,to inquire at,,,bei,
1000,15,,ernähren,von,D,to nourish from,,,von,
1001,15,,ernennen,zu,D,to appoint to,,,zu,
1002,15,,erschrecken,über,A,to get frightened by,,,über,
1003,15,,erschrecken,vor,D,to be scared of,,,vor,
1004,15,,erziehen,zu,D,to raise to,,,zu,
1005,15,,experimentieren,mit,D,to experiment with,,,mit,
1006,15,,flüchten,vor,D,to flee from,,,vor,
1007,15,,fordern,von,D,to demand from,,,von,
1008,15,,fussen,auf,D,to be based on,,,auf,
1009,15,,gliedern,in,A,to divide into,,,in,
1010,15,,gratulieren,zu,D,to gratulate on,,,zu,
1011,15,,halten,an,A,to adhere to,,,,
1012,15,sich,handeln,um,A,to be about,,,um,
1013,15,,handeln,von,D,to revolve around / be about,,,von,
1014,15,,irren,in,D,to be mistaken in,,,in,
1015,15,,klagen,über,A,to complain about,,,über,
1016,15,,klagen,gegen,A,to sue,,,gegen,
1017,15,,kommen,auf,A,"to come up with, to think of",,,,
1018,15,,liegen,an,D,to be due to,,,an,
1019,15,,neigen,zu,D,to tend to,,,zu,
1020,15,,orientieren,an,D,to orient oneself to,,,an,
1021,15,,protestieren,gegen,A,to protest against,,,gegen,
1022,15,,rächen,für,A,to take revenge for,,,für,
1023,15,,rächen,an,D,to take revenge on,,,an,
1024,15,,richten,nach,D,to follow,,,,
1025,15,,richten,an,A,to address to,,,,
1026,15,,rufen,nach,D,to call for,,,,
1027,15,,sagen,zu,D,to say to,Was hast du dazu zu sagen?,What do you have to say about it?,,
1028,15,,sagen,über,A,to speak / say about,Was sagt er über dich?,What does he say about you?,,
1029,15,,schicken,an,A,to send to,Sie schickt einen Brief an ihre Freundin.,She sends a letter to her friend.,an,
1030,15,,schicken,zu,D,to send to,Sie schickt ihn zum Arzt.,She sends him to the doctor.,zu,
1031,15,,schimpfen,über,A,to complain / swear about,,,über,
1032,15,,schimpfen,auf,A,to scold about,,,auf,
1033,15,,schimpfen,mit,D,to scold with,,,mit,
1034,15,,sehnen,nach,D,to long for,,,nach,
1035,15,,spielen,um,A,to play for,,,um,
1036,15,,spotten,über,A,to mock about,,,über,
1037,15,,staunen,über,A,to marvel at,,,über,
1038,15,,stinken,nach,D,to stink of,,,nach,
1039,15,,streiten,um,A,to argue about,,,um,
1040,15,,streiten,über,A,to argue about,,,über,
1041,15,,streiten,mit,D,to argue with,,,mit,
1042,15,,telefonieren,mit,D,"to call, to phone with",,,mit,
1043,15,,überreden,zu,D,to persuade to,,,zu,
1044,15,,umstellen,auf,A,to switch to,,,auf,
1045,15,sich,unterhalten,mit,D,to talk with,,,mit,
1046,15,sich,unterhalten,über,A,"to talk, converse about",,,über,
1047,15,,unterscheiden,in,D,to differentiate in,,,in,
1048,15,sich,verabreden,mit,D,to arrange to meet with,,,mit,
1049,15,,verheimlichen,vor,D,to conceal from,,,vor,
1050,15,,verlangen,von,D,to demand from,,,von,
1051,15,,verleiten,zu,D,to tempt to,,,zu,
1052,15,,versetzen,in,A,to put into,,,in,
1053,15,,verstossen,gegen,A,to violate,,,gegen,
1054,15,,verteidigen,gegen,A,to defend against,,,gegen,
1055,15,,vertragen,mit,D,to get along with,,,mit,
1056,15,,wehren,gegen,A,to defend against,,,gegen,
1057,15,,werden,zu,D,"to change into, turn into",Das Wasser wird zu Eis.,The water turns into ice.,zu,
1058,15,sich,wundern,über,A,to wonder about,,,über,
1059,15,,zuhören,bei,D,to listen to,,,bei,
1060,15,,zusammensetzen,aus,D,to assemble from,,,aus,
1061,15,,zuschauen,bei,D,to watch,,,bei,
1062,15,,zusehen,bei,D,to watch,,,bei,
1063,16,,ansehen,als,,,Er sieht sie als seine beste Freundin an.,He considers her his best friend.,als,Er sieht sie _____ seine beste Freundin an.
1064,16,,ansehen,als,,,Viele Menschen sehen Künstliche Intelligenz als eine große Chance an.,Many people consider artificial intelligence a great opportunity.,als,Viele Menschen sehen Künstliche Intelligenz _____ eine große Chance an.
1065,16,,ausgehen,von,,,"Ich gehe davon aus, dass du pünktlich kommst.",I assume that you will be on time.,davon,"Ich gehe _____ aus, dass du pünktlich kommst."
1066,16,,ausgehen,von,,,"Wir können davon ausgehen, dass das Projekt ein Erfolg wird.",We can assume that the project will be a success.,davon,"Wir können _____ ausgehen, dass das Projekt ein Erfolg wird."
1067,16,,erfahren,von,,,Ich habe von dem Unfall in den Nachrichten erfahren.,I heard about the accident on the news.,von,Ich habe _____ dem Unfall in den Nachrichten erfahren.
1068,16,,erfahren,von,,,Wir haben von ihrem Erfolg über die Zeitung erfahren.,We learned about her success through the newspaper.,von,Wir haben _____ ihrem Erfolg über die Zeitung erfahren.
1069,16,,erkennen,an,,,Ich erkenne ihn an seiner Stimme.,I recognize him by his voice.,an,Ich erkenne ihn _____ seiner Stimme.
1070,16,,erkennen,an,,,Man erkennt das Original an der Unterschrift.,You can recognize the original by the signature.,an,Man erkennt das Original _____ der Unterschrift.
1071,16,,halten,an,,,Er hält an seinen alten Gewohnheiten fest.,He sticks to his old habits.,an,Er hält _____ seinen alten Gewohnheiten fest.
1072,16,,halten,an,,,Wir sollten an unseren Prinzipien festhalten.,We should stick to our principles.,an,Wir sollten _____ unseren Prinzipien festhalten.
1073,16,,kommen,auf,,,Wie bist du auf diese Idee gekommen?,How did you come up with this idea?,auf,Wie bist du _____ diese Idee gekommen?
1074,16,,kommen,auf,,,Ich bin auf eine interessante Lösung gekommen.,I came up with an interesting solution.,auf,Ich bin _____ eine interessante Lösung gekommen.
1075,16,,richten,nach,,,Ich richte mich nach den Regeln der Firma.,I follow the company's rules.,nach,Ich richte mich _____ den Regeln der Firma.
1076,16,,richten,nach,,,Wir richten uns nach den aktuellen Entwicklungen.,We adapt to current developments.,nach,Wir richten uns _____ den aktuellen Entwicklungen.
1077,16,,richten,an,,,Bitte richten Sie alle Fragen an die Verwaltung.,Please direct all questions to the administration.,an,Bitte richten Sie alle Fragen _____ die Verwaltung.
1078,16,,richten,an,,,Er richtet seinen Blick an die Zukunft.,He directs his gaze towards the future.,an,Er richtet seinen Blick _____ die Zukunft.
1079,16,,rufen,nach,,,Das Kind ruft nach seiner Mutter.,The child is calling for his mother.,nach,Das Kind ruft _____ seiner Mutter.
1080,16,,rufen,nach,,,"Er rief nach Hilfe, aber niemand hörte ihn.","He called for help, but no one heard him.",nach,"Er rief _____ Hilfe, aber niemand hörte ihn."
1081,16,,sagen,zu,,to say to,Ich sage etwas zu dem Thema.,I say something about the topic.,zu,Ich sage etwas _____ dem Thema.
1082,16,,sagen,zu,,to say to,Er sagt nichts zu der Frage.,He says nothing about the question.,zu,Er sagt nichts _____ der Frage.
1083,16,,sagen,über,,to speak / say about,Sie sagt viel über ihren Urlaub.,She says a lot about her vacation.,über,Sie sagt viel _____ ihren Urlaub.
1084,16,,sagen,über,,to speak / say about,Er sagt etwas über seinen Job.,He says something about his job.,über,Er sagt etwas _____ seinen Job.
1085,17,,die Immunität,gegen,,the immunity against,,,,
1086,17,,die Verwunderung,über,,the amazement about,,,,
1087,17,,die Unterhaltung,über,,the entertainment about,,,,
1088,17,,der Bezug,auf,,the reference to,,,,
1089,17,,die Wut,auf,,the rage at,,,,
1090,17,,die Demonstration,für,,the demonstration for,,,,
1091,17,,das Engagement,für,,the commitment to,,,,
1092,17,,die Verteidigung,gegen,,the defense against,,,,
1093,17,,die Einigung,mit,,the agreement with,,,,
1094,17,,das Telefonat,mit,,the phone call with,,,,
1095,17,,die Unterhaltung,mit,,the conversation with,,,,
1096,17,,die Erkundigung,nach,,the inquiry about,,,,
1097,17,,der Ruf,nach,,the call for,,,,
1098,17,,der Gestank,nach,,the stink of,,,,
1099,17,,die Bezeichnung,als,,the designation as,,,,
1100,17,,die Erkrankung,an,,the illness of,,,,
1101,17,,das Leiden,an,,the suffering from,,,,
1102,17,,die Orientierung,an,,the orientation to,,,,
1103,17,,die Unterscheidung,in,,the distinction in,,,,
1104,17,,die Bereitschaft,zu,,the readiness for,,,,
1105,17,,die Ernennung,zu,,the appointment as,,,,
1106,17,,die Erziehung,zu,,the education to,,,,
1107,17,,die Aufregung,über,,,,,,
1108,17,,das Entsetzen,über,,,,,,
1109,17,,die Klage,über,,,,,,
1110,17,,der Spott,über,,,,,,
1111,17,,das Erstaunen,über,,,,,,
1112,17,,die Eifersucht,auf,,,,,,
1113,17,,die Einigung,auf,,,,,,
1114,17,,der Neid,auf,,,,,,
1115,17,,der Verzicht,auf,,,,,,
1116,17,,die Eignung,für,,,,,,
1117,17,,die Rache,für,,,,,,
1118,17,,der Verstoß,gegen,,,,,,
1119,17,,die Entstehung,aus,,,,,,
1120,17,,die Zusammensetzung,aus,,,,,,
1121,17,,die Auseinandersetzung,mit,,,,,,
1122,17,,die Sehnsucht,nach,,,,,,
1123,17,,das Ansehen,als,,,,,,
1124,17,,die Anpassung,an,,,,,,
1125,17,,die Rache,an,,,,,,
1126,17,,der Irrtum,in,,,,,,
1127,17,,die Täuschung,in,,,,,,
1128,17,,die Gliederung,in,,,,,,
1129,17,,die Abhängigkeit,von,,,,,,
1130,17,,die Befreiung,von,,,,,,
1131,17,,der Ekel,vor,,,,,,
1132,17,,die Flucht,vor,,,,,,
1133,17,,der Schutz,vor,,,,,,
1134,17,,die Eignung,zu,,,,,,
1135,17,,die Zugehörigkeit,zu,,,,,,
1136,17,,die Neigung,zu,,,,,,
1137,17,,die Anregung,zu,,,,,,
1138,17,,die Aufforderung,zu,,,,,,
1139,17,,die Beförderung,zu,,,,,,
1140,17,,der Entschluss,zu,,,,,,
1141,17,,die Überredung,zu,,,,,,
