Nr,exercise,question,answer,combination,german,english,french,gender_english,gender_french,explanation_english,explanation_french,case,bedeutung
347,16,"Wenn sie gestresst ist, sollte man sie lieber in Ruhe _____.",lassen,in Ruhe lassen,"Wenn sie gestresst ist, sollte man sie lieber in Ruhe lassen.","When she is stressed, it’s better to leave her alone.","Quand elle est stressée, il vaut mieux la laisser tranquille.",,,in Ruhe lassen = to leave alone,in Ruhe lassen = laisser tranquille,,
348,16,"Die Patienten baten darum, für die Nacht in Ruhe _____ zu werden.",gelassen,in Ruhe lassen,"Die Patienten baten darum, für die Nacht in Ruhe gelassen zu werden.",The patients asked to be left alone for the night.,Les patients ont demandé à être laissés tranquilles pour la nuit.,,,in Ruhe lassen = to leave alone,in Ruhe lassen = laisser tranquille,,
349,16,Der Artikel _____ den Politiker in große Schwierigkeiten.,brachte,in Schwierigkeiten bringen,Der Artikel brachte den Politiker in große Schwierigkeiten.,The article put the politician in serious trouble.,L’article a mis le politicien en grande difficulté.,,,in Schwierigkeiten bringen = to get into trouble,in Schwierigkeiten bringen = mettre en difficulté,,
350,16,"Wenn du vertrauliche Informationen weitergibst, _____ du deinen Kollegen in Schwierigkeiten.",bringst,in Schwierigkeiten bringen,"Wenn du vertrauliche Informationen weitergibst, bringst du deinen Kollegen in Schwierigkeiten.","If you share confidential information, you put your colleague in trouble.","Si tu diffuses des informations confidentielles, tu mets ton collègue en difficulté.",,,in Schwierigkeiten bringen = to get into trouble,in Schwierigkeiten bringen = mettre en difficulté,,
351,16,Das Team _____ ein gemeinsames Ziel und arbeitet eng zusammen.,verfolgt,ein Ziel verfolgen,Das Team verfolgt ein gemeinsames Ziel und arbeitet eng zusammen.,The team is pursuing a common goal and working closely together.,L’équipe poursuit un objectif commun et travaille en étroite collaboration.,,,"ein Ziel verfolgen = to strive, to pursue a target",ein Ziel verfolgen = poursuivre un objectif,,
352,16,"Wenn man ein Ziel konsequent _____, kann man auch schwierige Hindernisse überwinden.",verfolgt,ein Ziel verfolgen,"Wenn man ein Ziel konsequent verfolgt, kann man auch schwierige Hindernisse überwinden.","If you pursue a goal consistently, you can overcome even difficult obstacles.","Si on poursuit un objectif de manière constante, on peut surmonter même des obstacles difficiles.",,,"ein Ziel verfolgen = to strive, to pursue a target",ein Ziel verfolgen = poursuivre un objectif,,
353,16,"Um das Projekt erfolgreich abzuschließen, muss jedes Teammitglied seinen Beitrag _____.",leisten,einen Beitrag leisten,"Um das Projekt erfolgreich abzuschließen, muss jedes Teammitglied seinen Beitrag leisten.","To complete the project successfully, each team member must do their part.","Pour terminer le projet avec succès, chaque membre de l’équipe doit apporter sa contribution.",,,einen Beitrag leisten = to contribute,"einen Beitrag leisten = apporter une contribution, contribuer",,
354,16,"Auch kleine Gesten können einen großen Beitrag _____, wenn viele Menschen mitmachen.",leisten,einen Beitrag leisten,"Auch kleine Gesten können einen großen Beitrag leisten, wenn viele Menschen mitmachen.",Even small gestures can make a big contribution when many people take part.,Même les petits gestes peuvent apporter une grande contribution si beaucoup de gens participent.,,,einen Beitrag leisten = to contribute,"einen Beitrag leisten = apporter une contribution, contribuer",,
355,16,Die Verbraucher _____ ein Recht auf klare und verständliche Informationen.,haben,ein Recht haben,Die Verbraucher haben ein Recht auf klare und verständliche Informationen.,Consumers have the right to clear and understandable information.,Les consommateurs ont le droit à des informations claires et compréhensibles.,,,"ein Recht haben = to have a right, to be entitled to","ein Recht haben = avoir le droit, avoir un droit",,
356,16,"Sie _____ ein Recht darauf, die Entscheidung anzufechten, wenn sie nicht einverstanden ist.",hat,ein Recht haben,"Sie hat ein Recht darauf, die Entscheidung anzufechten, wenn sie nicht einverstanden ist.",She has the right to challenge the decision if she disagrees with it.,Elle a le droit de contester la décision si elle n’est pas d’accord.,,,"ein Recht haben = to have a right, to be entitled to","ein Recht haben = avoir le droit, avoir un droit",,
357,16,"Wenn du eine Wahl _____ sollst, solltest du dir vorher alle Informationen genau anschauen.",treffen,eine Wahl treffen,"Wenn du eine Wahl treffen sollst, solltest du dir vorher alle Informationen genau anschauen.","If you have to make a choice, you should carefully look at all the information beforehand.","Si tu dois faire un choix, tu devrais examiner toutes les informations attentivement.",,,eine Wahl treffen = to make a choice,eine Wahl treffen = faire un choix,,
358,16,Der Ausschuss hat nach langer Diskussion eine einstimmige Wahl _____.,getroffen,eine Wahl treffen,Der Ausschuss hat nach langer Diskussion eine einstimmige Wahl getroffen.,"After a long discussion, the committee made a unanimous choice.","Après une longue discussion, le comité a fait un choix unanime.",,,eine Wahl treffen = to make a choice,eine Wahl treffen = faire un choix,,
359,16,In den Ferien will ich vor allem zur Ruhe _____ und mich erholen.,kommen,zur Ruhe kommen,In den Ferien will ich vor allem zur Ruhe kommen und mich erholen.,"On vacation, I mainly want to unwind and relax.","En vacances, je veux surtout me détendre et me reposer.",,,"zur Ruhe kommen = to calm down, to relax","zur Ruhe kommen = se calmer, se reposer",,
360,16,"Die Situation war so chaotisch, dass niemand richtig zur Ruhe _____ konnte.",kommen,zur Ruhe kommen,"Die Situation war so chaotisch, dass niemand richtig zur Ruhe kommen konnte.",The situation was so chaotic that no one could really calm down.,La situation était tellement chaotique que personne ne pouvait vraiment se détendre.,,,"zur Ruhe kommen = to calm down, to relax","zur Ruhe kommen = se calmer, se reposer",,
361,17,_____ bauen,einen Unfall,einen Unfall bauen,einen Unfall bauen,"to crash, to cause an accident",provoquer un accident. créer un accident,Masculine,Masculin,"einen Unfall bauen = to crash, to cause an accident",einen Unfall bauen = provoquer un accident. créer un accident,,
362,17,sich _____ geben,Mühe,sich Mühe geben,sich Mühe geben,"to take care, to make an effort",faire un effort,Feminine,Féminin,"sich Mühe geben = to take care, to make an effort",sich Mühe geben = faire un effort,,sich bemühen
363,17,_____ kommen,zu einem Ergebnis,zu einem Ergebnis kommen,zu einem Ergebnis kommen,"to reach a conclusion, to arrive at a finding, to be an outcome","parvenir à un résultat, arriver à un résultat",Neuter,Neutre,"zu einem Ergebnis kommen = to reach a conclusion, to arrive at a finding, to be an outcome","zu einem Ergebnis kommen = parvenir à un résultat, arriver à un résultat",,
364,17,_____ bringen,in Erfahrung,in Erfahrung bringen,in Erfahrung bringen,"to find out, to learn, to come to know","apprendre, se renseigner",Feminine,Féminin,"in Erfahrung bringen = to find out, to learn, to come to know","in Erfahrung bringen = apprendre, se renseigner",,
365,17,_____ gehen,in Erfüllung,in Erfüllung gehen,in Erfüllung gehen,"to come true, to fulfill",se réaliser,Feminine,Féminin,"in Erfüllung gehen = to come true, to fulfill",in Erfüllung gehen = se réaliser,,
366,17,_____ ablegen,eine Prüfung,eine Prüfung ablegen,eine Prüfung ablegen,to take an exam,passer un examen,Feminine,Féminin,eine Prüfung ablegen = to take an exam,eine Prüfung ablegen = passer un examen,,
367,17,_____ halten,eine Rede,eine Rede halten,eine Rede halten,to give a speech,"faire un discours, prononcer un discours",Feminine,Féminin,eine Rede halten = to give a speech,"eine Rede halten = faire un discours, prononcer un discours",,jemandem etw. raten / empfehlen
368,17,_____ fassen,einen Entschluss,einen Entschluss fassen,einen Entschluss fassen,to decide,prendre une décision,Masculine,Masculin,einen Entschluss fassen = to decide,einen Entschluss fassen = prendre une décision,,
369,17,_____ kommen,zum Abschluss,zum Abschluss kommen,zum Abschluss kommen,to come to a conclusion,arriver à une conclusion,Masculine,Masculin,zum Abschluss kommen = to come to a conclusion,zum Abschluss kommen = arriver à une conclusion,,abschließen
370,17,_____ ergreifen,einen Beruf,einen Beruf ergreifen,einen Beruf ergreifen,"to choose a profession, to take up a profession","choisir une profession, exercer une profession",Masculine,Masculin,"einen Beruf ergreifen = to choose a profession, to take up a profession","einen Beruf ergreifen = choisir une profession, exercer une profession",,
371,17,_____ führen,Beweis,Beweis führen,Beweis führen,to provide evidence,"apporter une preuve, apporter des évidences",Masculine,Masculin,Beweis führen = to provide evidence,"Beweis führen = apporter une preuve, apporter des évidences",,
372,17,_____ stellen,in Aussicht,in Aussicht stellen,in Aussicht stellen,"to promise, to have in prospect",promettre,Feminine,Féminin,"in Aussicht stellen = to promise, to have in prospect",in Aussicht stellen = promettre,,
373,17,_____ ziehen,in Betracht,in Betracht ziehen,in Betracht ziehen,"to consider, to take into account, to take into consideration","prendre en considération, envisager",Masculine,Masculin,"in Betracht ziehen = to consider, to take into account, to take into consideration","in Betracht ziehen = prendre en considération, envisager",,
374,17,_____ nehmen,Rücksicht,Rücksicht nehmen,Rücksicht nehmen,"to be considerate of, to take something into account",faire preuve de considération,Feminine,Féminin,"Rücksicht nehmen = to be considerate of, to take something into account",Rücksicht nehmen = faire preuve de considération,auf,
375,17,_____ nehmen,in Anspruch,in Anspruch nehmen,in Anspruch nehmen,"to use, to make use of",utiliser,Masculine,Masculin,"in Anspruch nehmen = to use, to make use of",in Anspruch nehmen = utiliser,,
376,18,einen Unfall _____,bauen,einen Unfall bauen,einen Unfall bauen,"to crash, to cause an accident",provoquer un accident. créer un accident,,,"einen Unfall bauen = to crash, to cause an accident",einen Unfall bauen = provoquer un accident. créer un accident,,
377,18,sich Mühe _____,geben,sich Mühe geben,sich Mühe geben,"to take care, to make an effort",faire un effort,,,"sich Mühe geben = to take care, to make an effort",sich Mühe geben = faire un effort,,
378,18,zu einem Ergebnis _____,kommen,zu einem Ergebnis kommen,zu einem Ergebnis kommen,"to reach a conclusion, to arrive at a finding, to be an outcome","parvenir à un résultat, arriver à un résultat",,,"zu einem Ergebnis kommen = to reach a conclusion, to arrive at a finding, to be an outcome","zu einem Ergebnis kommen = parvenir à un résultat, arriver à un résultat",,
379,18,in Erfahrung _____,bringen,in Erfahrung bringen,in Erfahrung bringen,"to find out, to learn, to come to know","apprendre, se renseigner",,,"in Erfahrung bringen = to find out, to learn, to come to know","in Erfahrung bringen = apprendre, se renseigner",,
380,18,in Erfüllung _____,gehen,in Erfüllung gehen,in Erfüllung gehen,"to come true, to fulfill",se réaliser,,,"in Erfüllung gehen = to come true, to fulfill",in Erfüllung gehen = se réaliser,,
381,18,eine Prüfung _____,ablegen,eine Prüfung ablegen,eine Prüfung ablegen,to take an exam,passer un examen,,,eine Prüfung ablegen = to take an exam,eine Prüfung ablegen = passer un examen,,
382,18,eine Rede _____,halten,eine Rede halten,eine Rede halten,to give a speech,"faire un discours, prononcer un discours",,,eine Rede halten = to give a speech,"eine Rede halten = faire un discours, prononcer un discours",,
383,18,einen Entschluss _____,fassen,einen Entschluss fassen,einen Entschluss fassen,to decide,prendre une décision,,,einen Entschluss fassen = to decide,einen Entschluss fassen = prendre une décision,,
384,18,zum Abschluss _____,kommen,zum Abschluss kommen,zum Abschluss kommen,to come to a conclusion,arriver à une conclusion,,,zum Abschluss kommen = to come to a conclusion,zum Abschluss kommen = arriver à une conclusion,,
385,18,einen Beruf _____,ergreifen,einen Beruf ergreifen,einen Beruf ergreifen,"to choose a profession, to take up a profession","choisir une profession, exercer une profession",,,"einen Beruf ergreifen = to choose a profession, to take up a profession","einen Beruf ergreifen = choisir une profession, exercer une profession",,
386,18,Beweis _____,führen,Beweis führen,Beweis führen,to provide evidence,"apporter une preuve, apporter des évidences",,,Beweis führen = to provide evidence,"Beweis führen = apporter une preuve, apporter des évidences",,
387,18,in Aussicht _____,stellen,in Aussicht stellen,in Aussicht stellen,"to promise, to have in prospect",promettre,,,"in Aussicht stellen = to promise, to have in prospect",in Aussicht stellen = promettre,,
388,18,in Betracht _____,ziehen,in Betracht ziehen,in Betracht ziehen,"to consider, to take into account, to take into consideration","prendre en considération, envisager",,,"in Betracht ziehen = to consider, to take into account, to take into consideration","in Betracht ziehen = prendre en considération, envisager",,
389,18,Rücksicht _____,nehmen,Rücksicht nehmen,Rücksicht nehmen,"to be considerate of, to take something into account",faire preuve de considération,,,"Rücksicht nehmen = to be considerate of, to take something into account",Rücksicht nehmen = faire preuve de considération,,
390,18,in Anspruch _____,nehmen,in Anspruch nehmen,in Anspruch nehmen,"to use, to make use of",utiliser,,,"in Anspruch nehmen = to use, to make use of",in Anspruch nehmen = utiliser,,
391,19,"Er hat gestern mit seinem Motorrad einen _____ gebaut, ist aber zum Glück nicht verletzt worden.",Unfall,einen Unfall bauen,"Er hat gestern mit seinem Motorrad einen Unfall gebaut, ist aber zum Glück nicht verletzt worden.","He had an accident on his motorcycle yesterday, but luckily he wasn’t injured.","Il a eu un accident avec sa moto hier, mais heureusement il n’a pas été blessé.",,,"einen Unfall bauen = to crash, to cause an accident",einen Unfall bauen = provoquer un accident. créer un accident,,
392,19,"Wenn man müde fährt, kann man schnell einen _____ bauen, ohne es zu merken.",Unfall,einen Unfall bauen,"Wenn man müde fährt, kann man schnell einen Unfall bauen, ohne es zu merken.","If you drive while tired, you can easily have an accident without realizing it.","Quand on conduit fatigué, on peut rapidement provoquer un accident sans s’en rendre compte.",,,"einen Unfall bauen = to crash, to cause an accident",einen Unfall bauen = provoquer un accident. créer un accident,,
393,19,"Wenn man sich _____ gibt, kann man auch schwierige Ziele erreichen.",Mühe,sich Mühe geben,"Wenn man sich Mühe gibt, kann man auch schwierige Ziele erreichen.","If you make an effort, you can achieve even difficult goals.","Si on fait des efforts, on peut atteindre même des objectifs difficiles.",,,"sich Mühe geben = to take care, to make an effort",sich Mühe geben = faire un effort,,
394,19,Er hat sich bei der Präsentation wirklich _____ gegeben und alles klar erklärt.,Mühe,sich Mühe geben,Er hat sich bei der Präsentation wirklich Mühe gegeben und alles klar erklärt.,He really made an effort during the presentation and explained everything clearly.,Il a vraiment fait un effort pendant la présentation et a tout expliqué clairement.,,,"sich Mühe geben = to take care, to make an effort",sich Mühe geben = faire un effort,,
395,19,Nach langen Diskussionen ist das Team endlich zu einem _____ gekommen.,Ergebnis,zu einem Ergebnis kommen,Nach langen Diskussionen ist das Team endlich zu einem Ergebnis gekommen.,"After long discussions, the team finally reached a result.","Après de longues discussions, l’équipe est finalement arrivée à un résultat.",,,"zu einem Ergebnis kommen = to reach a conclusion, to arrive at a finding, to be an outcome","zu einem Ergebnis kommen = parvenir à un résultat, arriver à un résultat",,
396,19,"Wir sind noch nicht zu einem _____ gekommen, weil wichtige Daten fehlen.",Ergebnis,zu einem Ergebnis kommen,"Wir sind noch nicht zu einem Ergebnis gekommen, weil wichtige Daten fehlen.",We have not yet reached a conclusion because important data is missing.,"Nous ne sommes pas encore arrivés à un résultat, car il manque des données importantes.",,,"zu einem Ergebnis kommen = to reach a conclusion, to arrive at a finding, to be an outcome","zu einem Ergebnis kommen = parvenir à un résultat, arriver à un résultat",,
397,19,"Ich versuche gerade _____ zu bringen, wer für das neue Projekt verantwortlich ist.",in Erfahrung,in Erfahrung bringen,"Ich versuche gerade in Erfahrung zu bringen, wer für das neue Projekt verantwortlich ist.",I'm currently trying to find out who is responsible for the new project.,J’essaie en ce moment de découvrir qui est responsable du nouveau projet.,,,"in Erfahrung bringen = to find out, to learn, to come to know","in Erfahrung bringen = apprendre, se renseigner",,
398,19,"Wir müssen _____ bringen, welche Anforderungen der Kunde wirklich hat.",in Erfahrung,in Erfahrung bringen,"Wir müssen in Erfahrung bringen, welche Anforderungen der Kunde wirklich hat.",We need to find out what the client’s real requirements are.,Nous devons découvrir quelles sont réellement les exigences du client.,,,"in Erfahrung bringen = to find out, to learn, to come to know","in Erfahrung bringen = apprendre, se renseigner",,
399,19,"Für sie ging ein großer Wunsch _____, als sie ihr eigenes Café eröffnen konnte.",in Erfüllung,in Erfüllung gehen,"Für sie ging ein großer Wunsch in Erfüllung, als sie ihr eigenes Café eröffnen konnte.",A big wish came true for her when she was able to open her own café.,Un grand souhait s’est réalisé pour elle quand elle a pu ouvrir son propre café.,,,"in Erfüllung gehen = to come true, to fulfill",in Erfüllung gehen = se réaliser,,
400,19,"Wenn all diese Bedingungen erfüllt sind, kann der Vertrag offiziell _____ gehen.",in Erfüllung,in Erfüllung gehen,"Wenn all diese Bedingungen erfüllt sind, kann der Vertrag offiziell in Erfüllung gehen.","If all these conditions are met, the contract can officially come into effect.","Si toutes ces conditions sont remplies, le contrat peut officiellement entrer en vigueur.",,,"in Erfüllung gehen = to come true, to fulfill",in Erfüllung gehen = se réaliser,,
401,19,Nach monatelangem Lernen hat sie endlich ihre _____ abgelegt.,Prüfung,eine Prüfung ablegen,Nach monatelangem Lernen hat sie endlich ihre Prüfung abgelegt.,"After months of studying, she finally took her exam.","Après des mois d’étude, elle a enfin passé son examen.",,,eine Prüfung ablegen = to take an exam,eine Prüfung ablegen = passer un examen,,
402,19,"Bevor man an der Universität studieren kann, muss man eine _____ ablegen.",Prüfung,eine Prüfung ablegen,"Bevor man an der Universität studieren kann, muss man eine Prüfung ablegen.","Before you can study at the university, you have to take an exam.","Avant de pouvoir étudier à l’université, il faut passer un examen.",,,eine Prüfung ablegen = to take an exam,eine Prüfung ablegen = passer un examen,,
403,19,Er musste vor mehr als dreihundert Leuten eine _____ halten und war vorher sehr nervös.,Rede,eine Rede halten,Er musste vor mehr als dreihundert Leuten eine Rede halten und war vorher sehr nervös.,He had to give a speech in front of more than three hundred people and was very nervous beforehand.,Il a dû prononcer un discours devant plus de trois cents personnes et il était très nerveux avant.,,,eine Rede halten = to give a speech,"eine Rede halten = faire un discours, prononcer un discours",,
404,19,"Die Präsidentin hielt eine _____, in der sie die wichtigsten Ziele für das kommende Jahr erklärte.",Rede,eine Rede halten,"Die Präsidentin hielt eine Rede, in der sie die wichtigsten Ziele für das kommende Jahr erklärte.",The president gave a speech in which she explained the main goals for the coming year.,La présidente a prononcé un discours dans lequel elle a expliqué les objectifs principaux pour l’année à venir.,,,eine Rede halten = to give a speech,"eine Rede halten = faire un discours, prononcer un discours",,
405,19,"Nach langen Diskussionen fasste das Team den _____, das Projekt zu verschieben.",Entschluss,einen Entschluss fassen,"Nach langen Diskussionen fasste das Team den Entschluss, das Projekt zu verschieben.","After long discussions, the team made the decision to postpone the project.","Après de longues discussions, l’équipe a pris la décision de reporter le projet.",,,einen Entschluss fassen = to decide,einen Entschluss fassen = prendre une décision,,
406,19,"Sie hat den _____ gefasst, ein Jahr im Ausland zu arbeiten.",Entschluss,einen Entschluss fassen,"Sie hat den Entschluss gefasst, ein Jahr im Ausland zu arbeiten.",She made the decision to work abroad for a year.,Elle a pris la décision de travailler à l’étranger pendant un an.,,,einen Entschluss fassen = to decide,einen Entschluss fassen = prendre une décision,,
407,19,Nach mehreren Monaten Arbeit ist das Projekt endlich _____ gekommen.,zum Abschluss,zum Abschluss kommen,Nach mehreren Monaten Arbeit ist das Projekt endlich zum Abschluss gekommen.,"After several months of work, the project has finally come to an end.","Après plusieurs mois de travail, le projet est enfin arrivé à son terme.",,,zum Abschluss kommen = to come to a conclusion,zum Abschluss kommen = arriver à une conclusion,,
408,19,Die Verhandlungen kamen erst spät in der Nacht _____.,zum Abschluss,zum Abschluss kommen,Die Verhandlungen kamen erst spät in der Nacht zum Abschluss.,The negotiations only came to an end late at night.,Les négociations ne se sont terminées que tard dans la nuit.,,,zum Abschluss kommen = to come to a conclusion,zum Abschluss kommen = arriver à une conclusion,,
409,19,"Viele junge Menschen wollen einen _____ ergreifen, der sowohl sicher als auch abwechslungsreich ist.",Beruf,einen Beruf ergreifen,"Viele junge Menschen wollen einen Beruf ergreifen, der sowohl sicher als auch abwechslungsreich ist.",Many young people want to pursue a profession that is both secure and varied.,Beaucoup de jeunes veulent exercer un métier qui soit à la fois sûr et varié.,,,"einen Beruf ergreifen = to choose a profession, to take up a profession","einen Beruf ergreifen = choisir une profession, exercer une profession",,
410,19,"Sie hat schon früh entschieden, einen sozialen _____ zu ergreifen.",Beruf,einen Beruf ergreifen,"Sie hat schon früh entschieden, einen sozialen Beruf zu ergreifen.",She decided early on to pursue a social profession.,Elle a décidé très tôt d’exercer un métier dans le domaine social.,,,"einen Beruf ergreifen = to choose a profession, to take up a profession","einen Beruf ergreifen = choisir une profession, exercer une profession",,
411,19,"Der Anwalt konnte keinen klaren _____ führen, dass sein Mandant unschuldig war.",Beweis,Beweis führen,"Der Anwalt konnte keinen klaren Beweis führen, dass sein Mandant unschuldig war.",The lawyer was unable to provide clear proof that his client was innocent.,L’avocat n’a pas pu apporter une preuve claire que son client était innocent.,,,Beweis führen = to provide evidence,"Beweis führen = apporter une preuve, apporter des évidences",,
412,19,"Um seine These zu unterstützen, führte er mehrere wissenschaftliche _____.",Beweise,Beweis führen,"Um seine These zu unterstützen, führte er mehrere wissenschaftliche Beweise.","To support his thesis, he presented several scientific proofs.","Pour soutenir sa thèse, il a apporté plusieurs preuves scientifiques.",,,Beweis führen = to provide evidence,"Beweis führen = apporter une preuve, apporter des évidences",,
413,19,"Die Firma hat den Mitarbeitern eine Bonuszahlung _____ gestellt, wenn die Ziele erreicht werden.",in Aussicht,in Aussicht stellen,"Die Firma hat den Mitarbeitern eine Bonuszahlung in Aussicht gestellt, wenn die Ziele erreicht werden.",The company has promised employees a bonus payment if the targets are met.,L’entreprise a promis une prime aux employés si les objectifs sont atteints.,,,"in Aussicht stellen = to promise, to have in prospect",in Aussicht stellen = promettre,,
414,19,"Der Politiker stellte weitere Investitionen _____, um die Lage zu verbessern.",in Aussicht,in Aussicht stellen,"Der Politiker stellte weitere Investitionen in Aussicht, um die Lage zu verbessern.",The politician promised additional investments to improve the situation.,Le politicien a annoncé d’éventuels investissements pour améliorer la situation.,,,"in Aussicht stellen = to promise, to have in prospect",in Aussicht stellen = promettre,,
415,19,"Wir sollten _____ ziehen, das Projekt zu verschieben, wenn die Ressourcen nicht ausreichen.",in Betracht,in Betracht ziehen,"Wir sollten in Betracht ziehen, das Projekt zu verschieben, wenn die Ressourcen nicht ausreichen.",We should consider postponing the project if the resources aren’t sufficient.,Nous devrions envisager de reporter le projet si les ressources ne suffisent pas.,,,"in Betracht ziehen = to consider, to take into account, to take into consideration","in Betracht ziehen = prendre en considération, envisager",,
416,19,"Sie zieht _____, nächstes Jahr eine Weiterbildung zu machen.",in Betracht,in Betracht ziehen,"Sie zieht in Betracht, nächstes Jahr eine Weiterbildung zu machen.",She is considering doing further training next year.,Elle envisage de suivre une formation l’année prochaine.,,,"in Betracht ziehen = to consider, to take into account, to take into consideration","in Betracht ziehen = prendre en considération, envisager",,
417,19,Man sollte im Alltag mehr _____ auf ältere Menschen nehmen.,Rücksicht,Rücksicht nehmen,Man sollte im Alltag mehr Rücksicht auf ältere Menschen nehmen.,People should be more considerate of elderly people in everyday life.,On devrait être plus attentif aux personnes âgées dans la vie quotidienne.,,,"Rücksicht nehmen = to be considerate of, to take something into account",Rücksicht nehmen = faire preuve de considération,,
418,19,"Wenn du krank bist, musst du _____ auf deine Kollegen nehmen und zu Hause bleiben.",Rücksicht,Rücksicht nehmen,"Wenn du krank bist, musst du Rücksicht auf deine Kollegen nehmen und zu Hause bleiben.","If you’re sick, you have to be considerate of your colleagues and stay home.","Si tu es malade, tu dois faire attention à tes collègues et rester chez toi.",,,"Rücksicht nehmen = to be considerate of, to take something into account",Rücksicht nehmen = faire preuve de considération,,
419,19,"Die Reparatur hat mehr Zeit _____ genommen, als wir erwartet hatten.",in Anspruch,in Anspruch nehmen,"Die Reparatur hat mehr Zeit in Anspruch genommen, als wir erwartet hatten.",The repair took more time than we expected.,La réparation a pris plus de temps que prévu.,,,"in Anspruch nehmen = to use, to make use of",in Anspruch nehmen = utiliser,,
420,19,"Viele Menschen nehmen professionelle Unterstützung _____, wenn sie überfordert sind.",in Anspruch,in Anspruch nehmen,"Viele Menschen nehmen professionelle Unterstützung in Anspruch, wenn sie überfordert sind.",Many people make use of professional support when they feel overwhelmed.,Beaucoup de gens ont recours à un soutien professionnel lorsqu’ils se sentent dépassés.,,,"in Anspruch nehmen = to use, to make use of",in Anspruch nehmen = utiliser,,
421,20,"Sie hat beim Einparken einen Unfall _____, weil sie das andere Auto nicht gesehen hat.",gebaut,einen Unfall bauen,"Sie hat beim Einparken einen Unfall gebaut, weil sie das andere Auto nicht gesehen hat.",She caused an accident while parking because she didn’t see the other car.,"Elle a eu un accident en se garant, parce qu’elle n’a pas vu l’autre voiture.",,,"einen Unfall bauen = to crash, to cause an accident",einen Unfall bauen = provoquer un accident. créer un accident,,
422,20,"Er hat aus Unachtsamkeit einen Unfall _____, und nun muss er den Schaden selbst bezahlen.",gebaut,einen Unfall bauen,"Er hat aus Unachtsamkeit einen Unfall gebaut, und nun muss er den Schaden selbst bezahlen.","He caused an accident due to carelessness, and now he has to pay for the damage himself.","Il a provoqué un accident par manque d’attention, et maintenant il doit payer les dégâts lui-même.",,,"einen Unfall bauen = to crash, to cause an accident",einen Unfall bauen = provoquer un accident. créer un accident,,
423,20,"Sie _____ sich große Mühe, ihr Deutsch zu verbessern, und macht jeden Tag Fortschritte.",gibt,sich Mühe geben,"Sie gibt sich große Mühe, ihr Deutsch zu verbessern, und macht jeden Tag Fortschritte.",She is making a great effort to improve her German and is making progress every day.,Elle fait beaucoup d’efforts pour améliorer son allemand et elle progresse chaque jour.,,,"sich Mühe geben = to take care, to make an effort",sich Mühe geben = faire un effort,,
424,20,"Wenn sich beide Parteien Mühe _____, kann eine Beziehung lange funktionieren.",geben,sich Mühe geben,"Wenn sich beide Parteien Mühe geben, kann eine Beziehung lange funktionieren.","If both parties make an effort, a relationship can work for a long time.","Si les deux parties font des efforts, une relation peut durer longtemps.",,,"sich Mühe geben = to take care, to make an effort",sich Mühe geben = faire un effort,,
425,20,Erst nach mehreren Tests konnte die Forschung zu einem klaren Ergebnis _____.,kommen,zu einem Ergebnis kommen,Erst nach mehreren Tests konnte die Forschung zu einem klaren Ergebnis kommen.,Only after several tests was the research able to reach a clear result.,Ce n’est qu’après plusieurs tests que la recherche a pu arriver à un résultat clair.,,,"zu einem Ergebnis kommen = to reach a conclusion, to arrive at a finding, to be an outcome","zu einem Ergebnis kommen = parvenir à un résultat, arriver à un résultat",,
426,20,"Wenn beide Seiten kompromissbereit sind, kann man schneller zu einem Ergebnis _____.",kommen,zu einem Ergebnis kommen,"Wenn beide Seiten kompromissbereit sind, kann man schneller zu einem Ergebnis kommen.","If both sides are willing to compromise, you can reach a result more quickly.","Si les deux parties sont prêtes à faire des compromis, on peut arriver plus vite à un résultat.",,,"zu einem Ergebnis kommen = to reach a conclusion, to arrive at a finding, to be an outcome","zu einem Ergebnis kommen = parvenir à un résultat, arriver à un résultat",,
427,20,"Er hat in Erfahrung _____, dass die Firma bald eine neue Filiale eröffnen wird.",gebracht,in Erfahrung bringen,"Er hat in Erfahrung gebracht, dass die Firma bald eine neue Filiale eröffnen wird.",He found out that the company will soon open a new branch.,Il a appris que l’entreprise va bientôt ouvrir une nouvelle filiale.,,,"in Erfahrung bringen = to find out, to learn, to come to know","in Erfahrung bringen = apprendre, se renseigner",,
428,20,"Um eine gute Entscheidung treffen zu können, sollte man zuerst alle wichtigen Details in Erfahrung _____.",bringen,in Erfahrung bringen,"Um eine gute Entscheidung treffen zu können, sollte man zuerst alle wichtigen Details in Erfahrung bringen.","To be able to make a good decision, one should first find out all the important details.","Pour pouvoir prendre une bonne décision, il faut d’abord découvrir tous les détails importants.",,,"in Erfahrung bringen = to find out, to learn, to come to know","in Erfahrung bringen = apprendre, se renseigner",,
429,20,"Sein Kindheitstraum _____ endlich in Erfüllung, als er Pilot wurde.",ging,in Erfüllung gehen,"Sein Kindheitstraum ging endlich in Erfüllung, als er Pilot wurde.",His childhood dream finally came true when he became a pilot.,Son rêve d’enfance s’est enfin réalisé quand il est devenu pilote.,,,"in Erfüllung gehen = to come true, to fulfill",in Erfüllung gehen = se réaliser,,
430,20,Hoffentlich _____ deine Pläne nächstes Jahr in Erfüllung.,gehen,in Erfüllung gehen,Hoffentlich gehen deine Pläne nächstes Jahr in Erfüllung.,Hopefully your plans will come true next year.,J’espère que tes projets se réaliseront l’année prochaine.,,,"in Erfüllung gehen = to come true, to fulfill",in Erfüllung gehen = se réaliser,,
