Nr,exercise,level_verb,answer,question,english,french,type,prefix,root_german,root_english,root_french
187,100,C1,aufgeben,,"to give up on, to give up (refl.), to abandon","renoncer à, abandonner (réfl.),",1. verb,auf,geben,to give,donner
188,100,C1,aufführen,,"to perform, to present","exécuter, présenter",1. verb,auf,führen,"to lead, to guide","guider, conduire"
189,100,C1,einnehmen,,"to capture, to earn, to ingest","capturer, gagner, ingérer",1. verb,ein,nehmen,"to take, to cause oneself to be (in some state)","prendre, se mettre (dans un état)"
190,100,C1,einschalten,,"to switch on, to intervene, to turn on","allumer, intervenir",1. verb,ein,schalten,"to switch, to shift gears, to turn on, to turn off","changer, changer de vitesse, allumer, éteindre"
191,100,C1,einsteigen,,"to enter, to get in, to board","entrer, monter à bord, embarquer",1. verb,ein,steigen,"to ascend, to climb, to rise","monter, grimper, s'élever"
192,100,C1,einziehen,,"to move in, to penetrate, to infiltrate","s'introduire, pénétrer, s'infiltrer",1. verb,ein,ziehen,"to pull, to drag, to move","tirer, traîner, déplacer"
193,100,C1,zusehen,,"to watch, to see, to make sure (that something happens)","regarder, voir, s'assurer (que quelque chose se passe)",1. verb,zu,sehen,"to see, to realise","voir, se rendre compte"
194,100,C1,zuhören,,to listen to someone (with dative),écouter quelqu'un,1. verb,zu,hören,"to hear, to listen to","entendre, écouter"
195,100,C1,zurückziehen,,"to withdraw, to pull back, to retreat","se retirer, se replier",1. verb,zurück,ziehen,"to pull, to drag, to move","tirer, traîner, déplacer"
196,100,C1,zusammenfassen,,"to summarize, to condense, to abstract","résumer, condenser, abstraire",1. verb,zusammen,fassen,"to grasp, to seize, to capture, to comprehend","saisir, capturer, comprendre"
197,100,C1,vorlesen,,"to read aloud, to read out",lire à haute voix,1. verb,vor,lesen,to read,lire
198,100,C1,begehen,,"to commit, perpetrate (a crime, an offence)","commettre, perpétrer (un crime, un délit)",1. verb,be,gehen,"to go, to leave, to work, to function (coll.)","aller, partir, fonctionner (familier)"
199,100,C1,ertragen,,"to bear, to stand","supporter, se tenir debout",1. verb,er,tragen,"to wear (clothing), to carry, to hold","porter (des vêtements), transporter, tenir"
200,100,C1,verbrauchen,,"to consume, to use","consommer, utiliser",1. verb,ver,brauchen,to need,avoir besoin
201,100,C1,umdrehen,,to turn around,faire demi-tour,1. verb,um,drehen,"to turn, to veer","tourner, dévier"
202,100,C1,unterstreichen,,"to underline, to emphasize, to highlight","souligner, mettre en valeur, mettre en valeur",1. verb,unter,streichen,"to stroke, to cancel, to spread, to rub, to paint","caresser, annuler, étaler, frotter, peindre"
203,100,C1,überleben,,to survive,survivre,1. verb,über,leben,to live,vivre
204,100,C1,anstellen,,"to queue (refl.), to employ someone, to get into mischief","faire la queue (réfl.), employer quelqu'un, faire des bêtises",1. verb,an,stellen,"to position, to put, to catch","positionner, mettre"
205,100,C1,auftauchen,,"to arise, to surface, to turn up","surgir, faire surface, apparaître",1. verb,auf,tauchen,"to dive, to dip","plonger, tremper"
206,100,C1,einfallen,,"to collapse, to come to mind","s'effondrer, venir à l'esprit",1. verb,ein,fallen,"to fall, to fall in battle, to collapse","tomber, tomber au combat, s'effondrer"
207,100,C1,weitermachen,,"go on, keep going, continue to do something","continuer, continuer à faire quelque chose",1. verb,weiter,machen,"to make, to prepare (e.g. food), to do","faire, préparer (par exemple de la nourriture)"
208,100,C1,bekämpfen,,to fight against something,lutter contre quelque chose,1. verb,be,kämpfen,"to fight, to struggle","se battre, lutter"
209,100,C1,verhandeln,,to negotiate,négocier,1. verb,ver,handeln,"to act, to deal, to trade, to negotiate","agir, traiter, commercer, négocier"
210,100,C1,verhalten,,"to behave (refl.), to act (refl.), to press (coll.)","se comporter (réfl.), agir (réfl.), faire pression (familier)",1. verb,ver,halten,"to hold, to stop (a movement), to support, to keep","tenir, arrêter (un mouvement), soutenir, garder"
211,100,C1,bewirken,,"to bring about, to cause, to effect","provoquer, causer, effectuer",1. verb,be,wirken,"to have an effect, to work","avoir un effet, functionner"
212,100,C1,befürchten,,"to fear, to apprehend, to be afraid","craindre, appréhender, avoir peur",1. verb,be,fürchten,"to fear, to be afraid of",avoir peur de
213,100,C1,abbilden,,"to depict, to map, to illustrate","représenter, cartographier, illustrer",1. verb,ab,bilden,"to form, to constitute, to educate","former, constituer, éduquer"
214,100,C1,ablaufen,,"to expire, to run out, to discharge","expirer, s'épuiser, se décharger",1. verb,ab,laufen,"to walk, to flow (of a fluid), to run (of an event)","marcher, couler (un fluide), se dérouler (un événement)"
215,100,C1,ableiten,,"to derive, to deduce","dériver, déduire",1. verb,ab,leiten,"to lead, to manage, to conduct","diriger, gérer, conduire"
216,100,C1,abstimmen,,"to coordinate, to vote, to adjust","coordonner, voter, ajuster",1. verb,ab,stimmen,"to be true, to vote, to tune","être vrai, voter, s'accorder"
217,100,C1,anschließen,,"to join, to attach, to affiliate, to connect","rejoindre, attacher, s'affilier, se connecter",1. verb,an,schließen,"to shut, to close, to lock, to conclude","fermer, clore, verrouiller, conclure"
218,100,C1,anführen,,"to cite, to lead, to quote","citer, diriger",1. verb,an,führen,"to lead, to guide","guider, conduire"
219,100,C1,anschaffen,,"to purchase, to acquire, to procure","acheter, acquérir, se procurer",1. verb,an,schaffen,"to manage, to accomplish, to create","gérer, accomplir, créer"
220,100,C1,aufbrechen,,"to leave, to set off, to start, to break, to burst","partir, se mettre en route, démarrer, rompre, éclater",1. verb,auf,brechen,to break,"casser, briser"
221,100,C1,auffordern,,"to request, to invite, to ask","demander, inviter",1. verb,auf,fordern,"to demand, to require, to call for","exiger, requérir, réclamer"
222,100,C1,aufhalten,,"to stop, to stay, to delay","arrêter, rester, retarder",1. verb,auf,halten,"to hold, to stop (a movement), to support, to keep","tenir, arrêter (un mouvement), soutenir, garder"
223,100,C1,aufheben,,"to abolish, to lift, to pick up, to keep","abolir, lever, ramasser, garder",1. verb,auf,heben,"to lift, to raise","soulever, élever"
224,100,C1,aufladen,,"to charge, to load, to burden, to impose","charger, accabler, imposer",1. verb,auf,laden,"to load, to charge, to invite","charger, inviter"
225,100,C1,auflösen,,"to dissolve, to resolve, to annul, to liquidate","dissoudre, résoudre, annuler, liquider",1. verb,auf,lösen,"to loosen, to solve, to separate, to remove","desserrer, résoudre, séparer, enlever"
226,100,C1,aufsteigen,,"to rise, to ascend, to advance, to climb","s'élever, monter, avancer, grimper",1. verb,auf,steigen,"to ascend, to climb, to rise","monter, grimper, s'élever"
227,100,C1,einfügen,,"to insert, to infix, to conform","insérer, infixer, se conformer",1. verb,ein,fügen,"to acquiesce, to comply, to fit together","acquiescer, se conformer, s'adapter"
228,100,C1,einleiten,,"to introduce, to initiate, to commence","introduire, initier, commencer",1. verb,ein,leiten,"to lead, to manage, to conduct","diriger, gérer, conduire"
229,100,C1,eintragen,,"to register, to enter, to record, to enrol","inscrire, entrer, enregistrer, inscrire",1. verb,ein,tragen,"to wear (clothing), to carry, to hold","porter (des vêtements), transporter, tenir"
230,100,C1,eintreten,,"to enter, to join, to occur","entrer, se joindre, se produire",1. verb,ein,treten,"to step, to kick, to enter","marcher, donner un coup de pied, entrer"
231,100,C1,nachweisen,,"to prove, to account for, to demonstrate","prouver, rendre compte de, démontrer",1. verb,nach,weisen,"to point, to direct, to indicate","pointer, diriger, indiquer"
232,100,C1,vorlegen,,"to present, to submit, to bring forward","présenter, soumettre, avancer",1. verb,vor,legen,"to lay, to lean, to lie down","poser, se pencher, s'allonger"
233,100,C1,vorkommen,,"to occur, to happen, to advance","se produire, arriver, progresser",1. verb,vor,kommen,"to come, to make it (e.g. over something), to go to, to occur","venir, aller à, se produire"
234,100,C1,voraussetzen,,"to presume, to require, to assume","présumer, exiger, supposer",1. verb,voraus,setzen,"to set, to sit down (refl.)",s'asseoir (réfl.)
235,100,C1,weitergeben,,"to pass on, to impart, to relay","transmettre, relayer",1. verb,weiter,geben,to give,donner
236,100,C1,zuordnen,,"to assign, to allocate","attribuer, allouer",1. verb,zu,ordnen,"to arrange, to organize, to classify","arranger, organiser, classer"
237,100,C1,zugehen,,"to approach, to close, to happen","s'approcher, se fermer, se produire",1. verb,zu,gehen,"to go, to leave, to work, to function (coll.)","aller, partir, fonctionner (familier)"
238,100,C1,zurückgeben,,"to return, to give back, to answer back","rendre, répondre",1. verb,zurück,geben,to give,donner
239,100,C1,zurückhalten,,"to restrain, to hold back, to withhold","restreindre, retenir",1. verb,zurück,halten,"to hold, to stop (a movement), to support, to keep","tenir, arrêter (un mouvement), soutenir, garder"
240,100,C1,beherrschen,,"to dominate, to master, to control, to rule","dominer, maîtriser, contrôler, régner",1. verb,be,herrschen,"to rule, to prevail, to control","gouverner, prévaloir, contrôler"
241,100,C1,beklagen,,"to complain, to lament, to air grievances","se plaindre, se lamenter, exprimer des griefs",1. verb,be,klagen,"to complain, to lament, to sue","se plaindre, se lamenter, poursuivre en justice"
242,100,C1,benennen,,"to name, to designate, to appoint","nommer, désigner",1. verb,be,nennen,"to name, to call someone something, to mention","nommer, appeler quelqu'un par quelque chose, mentionner"
243,100,C1,besetzen,,"to occupy, to border, to cast","occuper, border, jeter",1. verb,be,setzen,"to set, to sit down (refl.)",s'asseoir (réfl.)
244,100,C1,erfordern,,"to require, to demand, to necessitate","exiger, nécessiter",1. verb,er,fordern,"to demand, to require, to call for","exiger, requérir, réclamer"
245,100,C1,ergreifen,,"to seize, to grasp, to take hold of","saisir, s'emparer de",1. verb,er,greifen,"to grab, to grasp, to seize","saisir, s'emparer"
246,100,C1,erarbeiten,,"to develop, to elaborate, to work out, to acquire","développer, élaborer, acquérir",1. verb,er,arbeiten,to work,travailler
247,100,C1,versehen,,"to provide, to equip, to supply","fournir, équiper, approvisionner",1. verb,ver,sehen,"to see, to realise","voir, se rendre compte"
248,100,C1,verpacken,,"to pack, to wrap, to package","emballer, envelopper, conditionner",1. verb,ver,packen,"to pack, to grab, to manage","emballer, saisir, gérer"
249,100,C1,verschreiben,,"to prescribe, to commit oneself to, to misspell by accident","prescrire, s'engager à, faire une faute d'orthographe par accident",1. verb,ver,schreiben,to write,écrire
250,100,C1,versichern,,"to assure, to insure, to cover","assurer, couvrir",1. verb,ver,sichern,"to secure, to safeguard, to back up","sécuriser, sauvegarder"
251,100,C1,vertreiben,,"to expel, to dislodge, to displace","expulser, déloger, déplacer",1. verb,ver,treiben,"to practice (sport), to propel, to put forth, to urge (figuratively), to fuck, to float, to sprout, to get up to","pratiquer (sport), propulser, mettre en avant, pousser (au sens figuré), baiser, flotter, germer, se lever"
252,100,C1,anlegen,,"to create, to invest","créer, investir",1. verb,an,legen,"to lay, to lean, to lie down","poser, se pencher, s'allonger"
253,100,C1,eingehen,,"to shrink (textile), to wither, to die (plants, animals), to assume something","rétrécir (textile), se faner, mourir (plantes, animaux), prendre quelque chose",1. verb,ein,gehen,"to go, to leave, to work, to function (coll.)","aller, partir, fonctionner (familier)"
254,100,C1,abrufen,,"to retrieve, to access, to call away","récupérer, accéder, appeler",1. verb,ab,rufen,"to call, to shout, to summon","appeler, crier, convoquer"
255,100,C1,aufweisen,,"to exhibit, to feature, to show, to boast","exposer, mettre en valeur, montrer, se vanter",1. verb,auf,weisen,"to point, to direct, to indicate","pointer, diriger, indiquer"
256,100,C1,einschließen,,"to include, to enclose, to lock up, to surround","inclure, enfermer, entourer",1. verb,ein,schließen,"to shut, to close, to lock, to conclude","fermer, clore, verrouiller, conclure"
257,100,C1,eingeben,,"to enter, to input, to give, to supply","entrer, saisir, donner, fournir",1. verb,ein,geben,to give,donner
258,100,C1,vorliegen,,"to exist, to be available","exister, être disponible",1. verb,vor,liegen,"to lie, to be located","être allongé, être localisé"
259,100,C1,vornehmen,,"to undertake, to carry out","entreprendre, réaliser",1. verb,vor,nehmen,"to take, to cause oneself to be (in some state)","prendre, se mettre (dans un état)"
260,100,C1,vorgehen,,"to proceed, to advance, to go ahead","procéder, avancer, aller de l'avant",1. verb,vor,gehen,"to go, to leave, to work, to function (coll.)","aller, partir, fonctionner (familier)"
261,100,C1,vorwerfen,,"to reproach, to accuse of, to allege","reprocher, accuser de, alléguer",1. verb,vor,werfen,to throw,"jeter, lancer"
262,100,C1,betreffen,,"to concern, to affect","concerner, affecter",1. verb,be,treffen,"to meet, to encounter","rencontrer, se rencontrer"
263,100,C1,beziehen,,"to refer, to obtain","se référer, obtenir",1. verb,be,ziehen,"to pull, to drag, to move","tirer, traîner, déplacer"
264,100,C1,bedenken,,"to consider, to reflect, to give, to allow for","considérer, réfléchir, donner, permettre",1. verb,be,denken,"to think, to consider","penser, considérer"
265,100,C1,befassen,,"to address, to deal with, to attend to","s'adresser à, traiter, s'occuper de",1. verb,be,fassen,"to grasp, to seize, to capture, to comprehend","saisir, capturer, comprendre"
266,100,C1,erfassen,,"to record, to capture","enregistrer, capturer",1. verb,er,fassen,"to grasp, to seize, to capture, to comprehend","saisir, capturer, comprendre"
267,100,C1,erweisen,,"to prove (passively), to turn out to be, to show","prouver (passivement), s'avérer être, montrer",1. verb,er,weisen,"to point, to direct, to indicate","pointer, diriger, indiquer"
268,100,C1,verstärken,,"to amplify, to intensify, to strengthen","amplifier, intensifier, renforcer",1. verb,ver,stärken,"to strengthen, to reinforce","renforcer, consolider"
269,100,C1,übergeben,,"to hand over, to vomit (refl.)","remettre, vomir (réfl.)",1. verb,über,geben,to give,donner
270,100,C1,überschreiten,,"to exceed, to overstep, to surpass","dépasser, outrepasser, surpasser",1. verb,über,schreiten,"to stride, to proceed, to step (formal)","marcher à grands pas, avancer, faire un pas (formel)"
