Nr,exercise,question,answer,combination,german,english,french,gender_english,gender_french,expression,case_preposition,explanation_english,explanation_french,verb,level verb NVV,level verb root,level chatgpt,NVV,is_NVV,root_verb
85,7,"Nach mehreren Monaten Training ist sie endlich _____, den Marathon ohne Pause zu laufen.",in der Lage,in der Lage sein,"Nach mehreren Monaten Training ist sie endlich in der Lage, den Marathon ohne Pause zu laufen.","After several months of training, she is finally able to run the marathon without stopping.","Après plusieurs mois d’entraînement, elle est enfin capable de courir le marathon sans s’arrêter.",,,,,"in der Lage sein = to be able to, to be in a position to","in der Lage sein = pourvoir, être capable de",,,,,,,
86,7,"Wir müssen sicherstellen, dass das Team _____ ist, das Projekt rechtzeitig abzuschließen.",in der Lage,in der Lage sein,"Wir müssen sicherstellen, dass das Team in der Lage ist, das Projekt rechtzeitig abzuschließen.",We need to make sure that the team is able to finish the project on time.,Nous devons nous assurer que l’équipe est capable de terminer le projet à temps.,,,,,"in der Lage sein = to be able to, to be in a position to","in der Lage sein = pourvoir, être capable de",,,,,,,
87,7,"Sag mir bitte _____, sobald du entschieden hast, ob du mit uns in den Urlaub kommst.",Bescheid,"Bescheid sagen, Bescheid geben","Sag mir bitte Bescheid, sobald du entschieden hast, ob du mit uns in den Urlaub kommst.",Please let me know as soon as you have decided whether you are coming on vacation with us.,Dis-moi dès que tu as décidé si tu viens en vacances avec nous.,,,,,jdm. Bescheid sagen/geben = to let somebody know,jdm. Bescheid sagen/geben = faire passer un message,,,,,,,
88,7,"Könntest du mir _____ sagen, falls das Meeting früher beginnt?",Bescheid,"Bescheid sagen, Bescheid geben","Könntest du mir Bescheid sagen, falls das Meeting früher beginnt?",Could you let me know if the meeting starts earlier?,Peux-tu me prévenir si la réunion commence plus tôt?,,,,,jdm. Bescheid sagen/geben = to let somebody know,jdm. Bescheid sagen/geben = faire passer un message,,,,,,,
89,7,"Wir müssen rechtzeitig _____ treffen, damit die Veranstaltung reibungslos abläuft.",Vorbereitungen,Vorbereitungen treffen,"Wir müssen rechtzeitig Vorbereitungen treffen, damit die Veranstaltung reibungslos abläuft.",We need to make preparations in time so that the event runs smoothly.,Nous devons faire les préparatifs à temps pour que l’événement se déroule sans problème.,,,,,"Vorbereitungen treffen = to prepare, to make preparations","Vorbereitungen treffen = préparer, faire des préparatifs",,,,,,,
90,7,"Sie hat bereits alle _____ getroffen, um nächste Woche umzuziehen.",Vorbereitungen,Vorbereitungen treffen,"Sie hat bereits alle Vorbereitungen getroffen, um nächste Woche umzuziehen.",She has already made all the preparations to move next week.,Elle a déjà fait tous les préparatifs pour déménager la semaine prochaine.,,,,,"Vorbereitungen treffen = to prepare, to make preparations","Vorbereitungen treffen = préparer, faire des préparatifs",,,,,,,
91,7,"Wenn man sich _____ gibt, kann man auch schwierige Ziele erreichen.",Mühe,sich Mühe geben,"Wenn man sich Mühe gibt, kann man auch schwierige Ziele erreichen.","If you make an effort, you can achieve even difficult goals.","Si on fait des efforts, on peut atteindre même des objectifs difficiles.",,,,,"sich<sup>Acc/Dat</sup> Mühe geben = to take care, to make an effort",sich<sup>Acc/Dat</sup> Mühe geben = faire un effort,,,,,,,
92,7,Er hat sich bei der Präsentation wirklich _____ gegeben und alles klar erklärt.,Mühe,sich Mühe geben,Er hat sich bei der Präsentation wirklich Mühe gegeben und alles klar erklärt.,He really made an effort during the presentation and explained everything clearly.,Il a vraiment fait un effort pendant la présentation et a tout expliqué clairement.,,,,,"sich<sup>Acc/Dat</sup> Mühe geben = to take care, to make an effort",sich<sup>Acc/Dat</sup> Mühe geben = faire un effort,,,,,,,
93,7,"Das Unternehmen machte der Stadt ein großzügiges _____, um das Bauprojekt schneller genehmigt zu bekommen.",Angebot,ein Angebot machen,"Das Unternehmen machte der Stadt ein großzügiges Angebot, um das Bauprojekt schneller genehmigt zu bekommen.",The company made the city a generous offer to obtain faster approval for the construction project.,L’entreprise a fait une offre généreuse à la ville afin d’obtenir une approbation plus rapide du projet de construction.,,,,,ein Angebot machen = to make an offer,ein Angebot machen = faire une offre,,,,,,,
94,7,"Er wollte ihr ein faires _____ machen, das sowohl ihre Erfahrung als auch die aktuelle Marktlage widerspiegelt.",Angebot,ein Angebot machen,"Er wollte ihr ein faires Angebot machen, das sowohl ihre Erfahrung als auch die aktuelle Marktlage widerspiegelt.",He wanted to make her a fair offer that reflects both her experience and the current market situation.,Il voulait lui faire une offre équitable qui reflète à la fois son expérience et la situation actuelle du marché.,,,,,ein Angebot machen = to make an offer,ein Angebot machen = faire une offre,,,,,,,
95,7,"Ich wollte nur kurz nachfragen, damit ich _____ weiß, wie es weitergeht.",Bescheid,Bescheid wissen,"Ich wollte nur kurz nachfragen, damit ich Bescheid weiß, wie es weitergeht.",I just wanted to check quickly so I know how things will continue.,Je voulais juste demander rapidement pour savoir comment la suite va se passer.,,,,,Bescheid wissen = to be in the know,Bescheid wissen = être au courant,,,,,,,
96,7,"Wenn du über die Regeln _____ weißt, kannst du sicher teilnehmen.",Bescheid,Bescheid wissen,"Wenn du über die Regeln Bescheid weißt, kannst du sicher teilnehmen.","If you know the rules, you can take part safely.","Si tu connais les règles, tu peux participer en toute sécurité.",,,,,Bescheid wissen = to be in the know,Bescheid wissen = être au courant,,,,,,,
97,7,Bei dem schweren Unfall sind mehrere Menschen _____ gekommen.,ums Leben,ums Leben kommen,Bei dem schweren Unfall sind mehrere Menschen ums Leben gekommen.,Several people lost their lives in the serious accident.,Plusieurs personnes ont perdu la vie dans le grave accident.,,,,,"ums Leben kommen = to perish, to lose one's life","ums Leben kommen = mourir, périr",,,,,,,
98,7,Während des Sturms kamen leider einige Menschen _____.,ums Leben,ums Leben kommen,Während des Sturms kamen leider einige Menschen ums Leben.,"Unfortunately, some people lost their lives during the storm.","Malheureusement, certaines personnes ont perdu la vie pendant la tempête.",,,,,"ums Leben kommen = to perish, to lose one's life","ums Leben kommen = mourir, périr",,,,,,,
99,7,"Wenn du in der Innenstadt wohnen willst, musst du höhere Mieten _____ nehmen.",in Kauf,in Kauf nehmen,"Wenn du in der Innenstadt wohnen willst, musst du höhere Mieten in Kauf nehmen.","If you want to live in the city center, you have to accept higher rent.","Si tu veux vivre en centre-ville, tu dois accepter des loyers plus élevés.",,,,,"in Kauf nehmen = to accept, to take the risk",in Kauf nehmen = accepter,,,,,,,
100,7,"Viele Pendler nehmen lange Fahrzeiten _____, um ein ruhigeres Leben auf dem Land zu führen.",in Kauf,in Kauf nehmen,"Viele Pendler nehmen lange Fahrzeiten in Kauf, um ein ruhigeres Leben auf dem Land zu führen.",Many commuters accept long travel times in order to live a quieter life in the countryside.,Beaucoup de gens qui font la navette acceptent de longs trajets pour vivre plus tranquillement à la campagne.,,,,,"in Kauf nehmen = to accept, to take the risk",in Kauf nehmen = accepter,,,,,,,
101,8,In dem Film _____ sie die Hauptrolle.,spielt,eine Rolle spielen,In dem Film spielt sie die Hauptrolle.,"In the movie, she plays the main role.","Dans le film, elle joue le rôle principal.",,,,,"eine Rolle spielen = to be important, to play a role","eine Rolle spielen = être important, jouer un rôle",,,,,,,
102,8,Vertrauen _____ in jeder Beziehung eine große Rolle.,spielt,eine Rolle spielen,Vertrauen spielt in jeder Beziehung eine große Rolle.,Trust plays a big role in every relationship.,La confiance joue un grand rôle dans chaque relation.,,,,,"eine Rolle spielen = to be important, to play a role","eine Rolle spielen = être important, jouer un rôle",,,,,,,
103,8,"Wir _____ ständig auf der Suche nach neuen Ideen, um unser Produkt interessanter zu machen.",sind,auf der Suche sein,"Wir sind ständig auf der Suche nach neuen Ideen, um unser Produkt interessanter zu machen.",We are constantly looking for new ideas to make our product more interesting.,Nous sommes constamment à la recherche de nouvelles idées pour rendre notre produit plus intéressant.,,,,,"nach jdm./etw.<sup>Dat</sup> auf der Suche sein = to look for, to search","nach jdm./etw.<sup>Dat</sup> auf der Suche sein = chercher, être à la recherche de",,,,,,,
104,8,"Nach dem Unfall _____ die Polizei auf der Suche nach Zeugen, die den Ablauf genau gesehen haben.",war,auf der Suche sein,"Nach dem Unfall war die Polizei auf der Suche nach Zeugen, die den Ablauf genau gesehen haben.","After the accident, the police were looking for witnesses who saw the incident clearly.","Après l’accident, la police était à la recherche de témoins qui avaient vu la scène clairement.",,,,,"nach jdm./etw.<sup>Dat</sup> auf der Suche sein = to look for, to search","nach jdm./etw.<sup>Dat</sup> auf der Suche sein = chercher, être à la recherche de",,,,,,,
105,8,"Dank des neuen Programms _____ die Schüler nun in der Lage, komplexe Probleme selbstständig zu lösen.",sind,in der Lage sein,"Dank des neuen Programms sind die Schüler nun in der Lage, komplexe Probleme selbstständig zu lösen.","Thanks to the new program, the students are now able to solve complex problems independently.","Grâce au nouveau programme, les élèves sont désormais capables de résoudre des problèmes complexes de manière autonome.",,,,,"in der Lage sein = to be able to, to be in a position to","in der Lage sein = pourvoir, être capable de",,,,,,,
106,8,"Wenn man genug übt, _____ man irgendwann in der Lage, auch schwierige Aufgaben ohne Stress zu bewältigen.",ist,in der Lage sein,"Wenn man genug übt, ist man irgendwann in der Lage, auch schwierige Aufgaben ohne Stress zu bewältigen.","If you practice enough, you are eventually able to handle even difficult tasks without stress.","Si on s’entraîne assez, on est finalement capable de gérer même des tâches difficiles sans stress.",,,,,"in der Lage sein = to be able to, to be in a position to","in der Lage sein = pourvoir, être capable de",,,,,,,
107,8,"Ich _____ dir Bescheid, sobald ich eine Rückmeldung vom Chef bekomme.",sage/gebe,"Bescheid sagen, Bescheid geben","Ich sage dir Bescheid, sobald ich eine Rückmeldung vom Chef bekomme.",I will let you know as soon as I get feedback from the boss.,Je te tiens au courant dès que j’ai un retour du chef.,,,,,jdm. Bescheid sagen/geben = to let somebody know,jdm. Bescheid sagen/geben = faire passer un message,,,,,,,
108,8,"Falls du morgen nicht kommen kannst, _____ bitte rechtzeitig Bescheid.",sag/gib,"Bescheid sagen, Bescheid geben","Falls du morgen nicht kommen kannst, sag bitte rechtzeitig Bescheid.","If you can't come tomorrow, please let me know in advance.","Si tu ne peux pas venir demain, préviens-moi à l’avance.",,,,,jdm. Bescheid sagen/geben = to let somebody know,jdm. Bescheid sagen/geben = faire passer un message,,,,,,,
109,8,"Bevor man eine lange Reise macht, sollte man sorgfältig Vorbereitungen _____.",treffen,Vorbereitungen treffen,"Bevor man eine lange Reise macht, sollte man sorgfältig Vorbereitungen treffen.","Before going on a long trip, one should carefully make preparations.","Avant de faire un long voyage, il faut faire les préparatifs avec soin.",,,,,"Vorbereitungen treffen = to prepare, to make preparations","Vorbereitungen treffen = préparer, faire des préparatifs",,,,,,,
110,8,Das Team _____ gerade die letzten Vorbereitungen für die Präsentation morgen.,trifft,Vorbereitungen treffen,Das Team trifft gerade die letzten Vorbereitungen für die Präsentation morgen.,The team is currently making the final preparations for tomorrow’s presentation.,L’équipe est en train de faire les derniers préparatifs pour la présentation de demain.,,,,,"Vorbereitungen treffen = to prepare, to make preparations","Vorbereitungen treffen = préparer, faire des préparatifs",,,,,,,
111,8,"Sie _____ sich große Mühe, ihr Deutsch zu verbessern, und macht jeden Tag Fortschritte.",gibt,sich Mühe geben,"Sie gibt sich große Mühe, ihr Deutsch zu verbessern, und macht jeden Tag Fortschritte.",She is making a great effort to improve her German and is making progress every day.,Elle fait beaucoup d’efforts pour améliorer son allemand et elle progresse chaque jour.,,,,,"sich<sup>Acc/Dat</sup> Mühe geben = to take care, to make an effort",sich<sup>Acc/Dat</sup> Mühe geben = faire un effort,,,,,,,
112,8,"Wenn sich beide Parteien Mühe _____, kann eine Beziehung lange funktionieren.",geben,sich Mühe geben,"Wenn sich beide Parteien Mühe geben, kann eine Beziehung lange funktionieren.","If both parties make an effort, a relationship can work for a long time.","Si les deux parties font des efforts, une relation peut durer longtemps.",,,,,"sich<sup>Acc/Dat</sup> Mühe geben = to take care, to make an effort",sich<sup>Acc/Dat</sup> Mühe geben = faire un effort,,,,,,,
113,8,"Die Bank _____ dem Kunden ein unverbindliches Angebot, das er in Ruhe prüfen konnte.",machte,ein Angebot machen,"Die Bank machte dem Kunden ein unverbindliches Angebot, das er in Ruhe prüfen konnte.",The bank made the client a non-binding offer that he could review at his leisure.,La banque a fait au client une offre sans engagement qu’il pouvait examiner tranquillement.,,,,,ein Angebot machen = to make an offer,ein Angebot machen = faire une offre,,,,,,,
114,8,"Nachdem mehrere Interessenten abgesprungen waren, _____ der Verkäufer schließlich ein deutlich attraktiveres Angebot.",machte,ein Angebot machen,"Nachdem mehrere Interessenten abgesprungen waren, machte der Verkäufer schließlich ein deutlich attraktiveres Angebot.","After several interested parties had withdrawn, the seller finally made a significantly more attractive offer.","Après que plusieurs intéressés se sont désistés, le vendeur a finalement fait une offre nettement plus attractive.",,,,,ein Angebot machen = to make an offer,ein Angebot machen = faire une offre,,,,,,,
115,8,"Sie hat erst spät Bescheid _____, dass das Meeting verschoben wurde.",gewusst,Bescheid wissen,"Sie hat erst spät Bescheid gewusst, dass das Meeting verschoben wurde.",She only found out late that the meeting had been postponed.,Elle a appris tard que la réunion avait été reportée.,,,,,Bescheid wissen = to be in the know,Bescheid wissen = être au courant,,,,,,,
116,8,"Sobald wir mehr Bescheid _____, informieren wir alle Beteiligten.",wissen,Bescheid wissen,"Sobald wir mehr Bescheid wissen, informieren wir alle Beteiligten.","As soon as we know more, we will inform everyone involved.","Dès que nous en saurons plus, nous informerons toutes les personnes concernées.",,,,,Bescheid wissen = to be in the know,Bescheid wissen = être au courant,,,,,,,
117,8,Durch das Feuer in dem Wohnhaus sind zwei Bewohner ums Leben _____.,gekommen,ums Leben kommen,Durch das Feuer in dem Wohnhaus sind zwei Bewohner ums Leben gekommen.,Two residents lost their lives in the fire in the apartment building.,Deux habitants ont perdu la vie dans l’incendie de l’immeuble.,,,,,"ums Leben kommen = to perish, to lose one's life","ums Leben kommen = mourir, périr",,,,,,,
118,8,"Bei der Katastrophe _____ viele Menschen ums Leben, und zahlreiche weitere wurden verletzt.",kamen,ums Leben kommen,"Bei der Katastrophe kamen viele Menschen ums Leben, und zahlreiche weitere wurden verletzt.","Many people lost their lives in the disaster, and many others were injured.","De nombreuses personnes ont perdu la vie lors de la catastrophe, et beaucoup d’autres ont été blessées.",,,,,"ums Leben kommen = to perish, to lose one's life","ums Leben kommen = mourir, périr",,,,,,,
119,8,Für seine Karriere hat er häufige Geschäftsreisen in Kauf _____.,genommen,in Kauf nehmen,Für seine Karriere hat er häufige Geschäftsreisen in Kauf genommen.,"For his career, he accepted frequent business trips.","Pour sa carrière, il a accepté de nombreux voyages d’affaires.",,,,,"in Kauf nehmen = to accept, to take the risk",in Kauf nehmen = accepter,,,,,,,
120,8,"Um das Projekt erfolgreich abzuschließen, müssen wir jetzt mehr Stress und Überstunden in Kauf _____.",nehmen,in Kauf nehmen,"Um das Projekt erfolgreich abzuschließen, müssen wir jetzt mehr Stress und Überstunden in Kauf nehmen.","To complete the project successfully, we now have to accept more stress and overtime.","Pour terminer le projet avec succès, nous devons maintenant accepter plus de stress et d’heures supplémentaires.",,,,,"in Kauf nehmen = to accept, to take the risk",in Kauf nehmen = accepter,,,,,,,
121,9,_____ treffen,Maßnahmen,"Maßnahmen treffen, Maßnahmen ergreifen","Maßnahmen treffen, Maßnahmen ergreifen","to do something, to take action, to take measures","agir, prendre des mesures",Plural,Pluriel,,,"Maßnahmen treffen, Maßnahmen ergreifen = to do something, to take action, to take measures","Maßnahmen treffen, Maßnahmen ergreifen = agir, prendre des mesures",,,,B2,"Maßnahmen treffen, Maßnahmen ergreifen",yes,"Maßnahmen ergreifen, handeln"
