Nr,exercise,question,answer,konnektor,german,english,french,case_english,case_french,explanation_english,explanation_french
104,6,"Ich lerne jeden Tag Deutsch, _____ ich mich besser verständigen kann.",damit,damit,"Ich lerne jeden Tag Deutsch, damit ich mich besser verständigen kann.",I study German every day so that I can communicate better.,J'étudie l'allemand tous les jours pour pouvoir mieux communiquer.,,,"damit = so that, in order to ● Subordinating conjunction","damit = pour que, afin que ● Conjonctions de subordination"
105,6,"Er arbeitet hart, _____ er sich eine Reise nach Japan leisten kann.",damit,damit,"Er arbeitet hart, damit er sich eine Reise nach Japan leisten kann.",He works hard so that he can afford a trip to Japan.,Il travaille dur pour pouvoir s'offrir un voyage au Japon.,,,"damit = so that, in order to ● Subordinating conjunction","damit = pour que, afin que ● Conjonctions de subordination"
106,6,"Wir fahren früher los, _____ wir nicht im Stau stehen.",damit,damit,"Wir fahren früher los, damit wir nicht im Stau stehen.",We are leaving earlier so that we don’t get stuck in traffic.,Nous partons plus tôt pour ne pas rester coincés dans les embouteillages.,,,"damit = so that, in order to ● Subordinating conjunction","damit = pour que, afin que ● Conjonctions de subordination"
107,6,"Sie schreibt alles auf, _____ sie nichts vergisst.",damit,damit,"Sie schreibt alles auf, damit sie nichts vergisst.",She writes everything down so that she doesn’t forget anything.,Elle écrit tout pour ne rien oublier.,,,"damit = so that, in order to ● Subordinating conjunction","damit = pour que, afin que ● Conjonctions de subordination"
108,6,"Ich trainiere regelmäßig, _____ ich fit bleibe.",damit,damit,"Ich trainiere regelmäßig, damit ich fit bleibe.",I train regularly so that I stay fit.,Je m'entraîne régulièrement pour rester en forme.,,,"damit = so that, in order to ● Subordinating conjunction","damit = pour que, afin que ● Conjonctions de subordination"
109,7,,sondern,sondern,,but rather,mais plutôt,Coordinating conjunction,Conjonction de coordination,sondern = but rather ● Coordinating conjunction,sondern = mais plutôt ● Conjonction de coordination
110,7,,ob,ob,,whether,si,Subordinating conjunction,Conjonctions de subordination,ob = whether ● Subordinating conjunction,ob = si ● Conjonctions de subordination
111,7,,seitdem,seitdem,,"since, since then","depuis, depuis lors",Subordinating conjunction,Conjonctions de subordination,"seitdem = since, since then ● Subordinating conjunction","seitdem = depuis, depuis lors ● Conjonctions de subordination"
112,7,,bis,bis,,until,jusqu'à ce que,Subordinating conjunction,Conjonctions de subordination,bis = until ● Subordinating conjunction,bis = jusqu'à ce que ● Conjonctions de subordination
113,7,,bevor,bevor,,before,avant que,Subordinating conjunction,Conjonctions de subordination,bevor = before ● Subordinating conjunction,bevor = avant que ● Conjonctions de subordination
114,7,,nachdem,nachdem,,after,après que,Subordinating conjunction,Conjonctions de subordination,nachdem = after ● Subordinating conjunction,nachdem = après que ● Conjonctions de subordination
115,7,,vorher,vorher,,"before, beforehand","avant, avant cela, préalablement",Adverb,Adverbe,"vorher = before, beforehand ● Adverb","vorher = avant, avant cela, préalablement ● Adverbe"
116,7,,danach,danach,,"after, afterwards, thereafter","après, par la suite",Adverb,Adverbe,"danach = after, afterwards, thereafter ● Adverb","danach = après, par la suite ● Adverbe"
117,8,"Ich trinke keinen Kaffee, _____ Tee.",sondern,sondern,"Ich trinke keinen Kaffee, sondern Tee.","I don’t drink coffee, but rather tea.","Je ne bois pas de café, mais plutôt du thé.",,,sondern = but rather ● Coordinating conjunction,sondern = mais plutôt ● Conjonction de coordination
118,8,"Er ist nicht müde, _____ einfach nur gelangweilt.",sondern,sondern,"Er ist nicht müde, sondern einfach nur gelangweilt.","He is not tired, but rather just bored.","Il n’est pas fatigué, mais simplement ennuyé.",,,sondern = but rather ● Coordinating conjunction,sondern = mais plutôt ● Conjonction de coordination
119,8,"Wir haben nicht den Bus genommen, _____ sind zu Fuß gegangen.",sondern,sondern,"Wir haben nicht den Bus genommen, sondern sind zu Fuß gegangen.","We didn’t take the bus, but rather walked.","Nous n’avons pas pris le bus, mais plutôt marché.",,,sondern = but rather ● Coordinating conjunction,sondern = mais plutôt ● Conjonction de coordination
120,8,"Sie spricht kein Deutsch, _____ Französisch.",sondern,sondern,"Sie spricht kein Deutsch, sondern Französisch.","She doesn't speak German, but rather French.","Elle ne parle pas allemand, mais plutôt français.",,,sondern = but rather ● Coordinating conjunction,sondern = mais plutôt ● Conjonction de coordination
121,8,"Das Problem ist nicht kompliziert, _____ leicht zu lösen.",sondern,sondern,"Das Problem ist nicht kompliziert, sondern leicht zu lösen.","The problem is not complicated, but rather easy to solve.","Le problème n’est pas compliqué, mais plutôt facile à résoudre.",,,sondern = but rather ● Coordinating conjunction,sondern = mais plutôt ● Conjonction de coordination
122,8,"Ich weiß nicht, _____ er heute zur Party kommt.",ob,ob,"Ich weiß nicht, ob er heute zur Party kommt.",I don’t know whether he is coming to the party today.,Je ne sais pas s’il viendra à la fête aujourd’hui.,,,ob = whether ● Subordinating conjunction,ob = si ● Conjonctions de subordination
123,8,"Sie fragt mich, _____ ich ihr helfen kann.",ob,ob,"Sie fragt mich, ob ich ihr helfen kann.",She asks me if I can help her.,Elle me demande si je peux l'aider.,,,ob = whether ● Subordinating conjunction,ob = si ● Conjonctions de subordination
124,8,"Er ist unsicher, _____ er den neuen Job annehmen soll.",ob,ob,"Er ist unsicher, ob er den neuen Job annehmen soll.",He is unsure whether he should take the new job.,Il n’est pas sûr de devoir accepter ce nouvel emploi.,,,ob = whether ● Subordinating conjunction,ob = si ● Conjonctions de subordination
125,8,"Wir überlegen, _____ wir dieses Jahr in den Urlaub fahren.",ob,ob,"Wir überlegen, ob wir dieses Jahr in den Urlaub fahren.",We are considering whether we should go on vacation this year.,Nous réfléchissons à la possibilité de partir en vacances cette année.,,,ob = whether ● Subordinating conjunction,ob = si ● Conjonctions de subordination
126,8,"Ich weiß nicht, _____ das eine gute Idee ist.",ob,ob,"Ich weiß nicht, ob das eine gute Idee ist.",I don’t know if that is a good idea.,Je ne sais pas si c’est une bonne idée.,,,ob = whether ● Subordinating conjunction,ob = si ● Conjonctions de subordination
127,8,"Ich warte, _____ du fertig bist.",bis,bis,"Ich warte, bis du fertig bist.",I wait until you are finished.,J'attends jusqu'à ce que tu aies fini.,,,bis = until ● Subordinating conjunction,bis = jusqu'à ce que ● Conjonctions de subordination
128,8,"Er bleibt im Büro, _____ er seine Arbeit beendet hat.",bis,bis,"Er bleibt im Büro, bis er seine Arbeit beendet hat.",He stays in the office until he has finished his work.,Il reste au bureau jusqu'à ce qu'il ait fini son travail.,,,bis = until ● Subordinating conjunction,bis = jusqu'à ce que ● Conjonctions de subordination
129,8,"Wir spielen draussen, _____ es dunkel wird.",bis,bis,"Wir spielen draussen, bis es dunkel wird.",We play outside until it gets dark.,Nous jouons dehors jusqu’à ce qu’il fasse nuit.,,,bis = until ● Subordinating conjunction,bis = jusqu'à ce que ● Conjonctions de subordination
130,8,"Sie liest ein Buch, _____ sie müde wird.",bis,bis,"Sie liest ein Buch, bis sie müde wird.",She reads a book until she gets tired.,Elle lit un livre jusqu'à ce qu'elle soit fatiguée.,,,bis = until ● Subordinating conjunction,bis = jusqu'à ce que ● Conjonctions de subordination
131,8,"Ich bleibe hier, _____ du zurückkommst.",bis,bis,"Ich bleibe hier, bis du zurückkommst.",I stay here until you come back.,Je reste ici jusqu'à ton retour.,,,bis = until ● Subordinating conjunction,bis = jusqu'à ce que ● Conjonctions de subordination
132,8,"Ich mache mehr Sport, _____ ich im Fitnessstudio angemeldet bin.",seitdem,seitdem,"Ich mache mehr Sport, seitdem ich im Fitnessstudio angemeldet bin.",I exercise more since I signed up for the gym.,Je fais plus d’exercice depuis que je me suis inscrit à la salle de sport.,,,"seitdem = since, since then ● Subordinating conjunction","seitdem = depuis, depuis lors ● Conjonctions de subordination"
133,8,"Er fühlt sich besser, _____ er gesünder isst.",seitdem,seitdem,"Er fühlt sich besser, seitdem er gesünder isst.",He feels better since he started eating healthier.,Il se sent mieux depuis qu’il a commencé à manger plus sainement.,,,"seitdem = since, since then ● Subordinating conjunction","seitdem = depuis, depuis lors ● Conjonctions de subordination"
134,8,"Wir sind glücklich, _____ wir in diese Stadt gezogen sind.",seitdem,seitdem,"Wir sind glücklich, seitdem wir in diese Stadt gezogen sind.",We have been happy since we moved to this city.,Nous sommes heureux depuis que nous avons déménagé dans cette ville.,,,"seitdem = since, since then ● Subordinating conjunction","seitdem = depuis, depuis lors ● Conjonctions de subordination"
135,8,"Sie spricht fliessend Deutsch, _____ sie in Deutschland lebt.",seitdem,seitdem,"Sie spricht fliessend Deutsch, seitdem sie in Deutschland lebt.",She speaks fluent German since she has been living in Germany.,Elle parle couramment l'allemand depuis qu'elle vit en Allemagne.,,,"seitdem = since, since then ● Subordinating conjunction","seitdem = depuis, depuis lors ● Conjonctions de subordination"
136,8,"Ich habe weniger Stress, _____ ich regelmässig meditiere.",seitdem,seitdem,"Ich habe weniger Stress, seitdem ich regelmässig meditiere.",I have less stress since I started meditating regularly.,J'ai moins de stress depuis que j'ai commencé à méditer régulièrement.,,,"seitdem = since, since then ● Subordinating conjunction","seitdem = depuis, depuis lors ● Conjonctions de subordination"
137,8,"Ich wasche mir die Hände, _____ ich esse.",bevor,bevor,"Ich wasche mir die Hände, bevor ich esse.",I wash my hands before I eat.,Je me lave les mains avant de manger.,,,bevor = before ● Subordinating conjunction,bevor = avant que ● Conjonctions de subordination
138,8,"Er macht seine Hausaufgaben, _____ er fern sieht.",bevor,bevor,"Er macht seine Hausaufgaben, bevor er fern sieht.",He does his homework before he watches TV.,Il fait ses devoirs avant de regarder la télévision.,,,bevor = before ● Subordinating conjunction,bevor = avant que ● Conjonctions de subordination
139,8,"Wir gehen spazieren, _____ es dunkel wird.",bevor,bevor,"Wir gehen spazieren, bevor es dunkel wird.",We go for a walk before it gets dark.,Nous allons nous promener avant qu'il fasse nuit.,,,bevor = before ● Subordinating conjunction,bevor = avant que ● Conjonctions de subordination
140,8,"Sie ruft ihre Mutter an, _____ sie ins Bett geht.",bevor,bevor,"Sie ruft ihre Mutter an, bevor sie ins Bett geht.",She calls her mother before she goes to bed.,Elle appelle sa mère avant d'aller se coucher.,,,bevor = before ● Subordinating conjunction,bevor = avant que ● Conjonctions de subordination
141,8,"Ich packe meinen Koffer, _____ ich in den Urlaub fahre.",bevor,bevor,"Ich packe meinen Koffer, bevor ich in den Urlaub fahre.",I pack my suitcase before I go on vacation.,Je fais ma valise avant de partir en vacances.,,,bevor = before ● Subordinating conjunction,bevor = avant que ● Conjonctions de subordination
142,8,"Ich esse Frühstück, _____ ich aufgestanden bin.",nachdem,nachdem,"Ich esse Frühstück, nachdem ich aufgestanden bin.",I eat breakfast after I have gotten up.,Je prends mon petit-déjeuner après m'être levé.,,,nachdem = after ● Subordinating conjunction,nachdem = après que ● Conjonctions de subordination
143,8,"Er geht ins Kino, _____ er seine Arbeit beendet hat.",nachdem,nachdem,"Er geht ins Kino, nachdem er seine Arbeit beendet hat.",He goes to the cinema after he has finished his work.,Il va au cinéma après avoir fini son travail.,,,nachdem = after ● Subordinating conjunction,nachdem = après que ● Conjonctions de subordination
144,8,"Wir spielen Fussball, _____ wir die Hausaufgaben gemacht haben.",nachdem,nachdem,"Wir spielen Fussball, nachdem wir die Hausaufgaben gemacht haben.",We play football after we have done our homework.,Nous jouons au football après avoir fait nos devoirs.,,,nachdem = after ● Subordinating conjunction,nachdem = après que ● Conjonctions de subordination
145,8,"Sie geht schlafen, _____ sie ein Buch gelesen hat.",nachdem,nachdem,"Sie geht schlafen, nachdem sie ein Buch gelesen hat.",She goes to sleep after she has read a book.,Elle va dormir après avoir lu un livre.,,,nachdem = after ● Subordinating conjunction,nachdem = après que ● Conjonctions de subordination
146,8,"Ich trinke einen Kaffee, _____ ich zur Arbeit gekommen bin.",nachdem,nachdem,"Ich trinke einen Kaffee, nachdem ich zur Arbeit gekommen bin.",I drink a coffee after I have arrived at work.,Je bois un café après être arrivé au travail.,,,nachdem = after ● Subordinating conjunction,nachdem = après que ● Conjonctions de subordination
147,8,"Ich muss meine E-Mails checken, _____ kann ich nicht gehen.",vorher,vorher,"Ich muss meine E-Mails checken, vorher kann ich nicht gehen.","I have to check my emails, before that I can’t leave.","Je dois vérifier mes emails, avant cela je ne peux pas partir.",,,"vorher = before, beforehand ● Adverb","vorher = avant, avant cela, préalablement ● Adverbe"
148,8,"Sie hatte noch nie Sushi probiert, _____ mochte sie es nicht.",vorher,vorher,"Sie hatte noch nie Sushi probiert, vorher mochte sie es nicht.","She had never tried sushi before, before that she didn’t like it.","Elle n’avait jamais goûté aux sushis auparavant, avant cela elle ne les aimait pas.",,,"vorher = before, beforehand ● Adverb","vorher = avant, avant cela, préalablement ● Adverbe"
149,8,"Wir sollten die Tickets kaufen, _____ könnten sie ausverkauft sein.",vorher,vorher,"Wir sollten die Tickets kaufen, vorher könnten sie ausverkauft sein.","We should buy the tickets, before that they might sell out.","Nous devrions acheter les billets, avant qu'ils ne soient tous vendus.",,,"vorher = before, beforehand ● Adverb","vorher = avant, avant cela, préalablement ● Adverbe"
